B12002B_001E,B12002B_001EA,B12002B_001M,B12002B_001MA,B12002B_002E,B12002B_002EA,B12002B_002M,B12002B_002MA,B12002B_003E,B12002B_003EA,B12002B_003M,B12002B_003MA,B12002B_004E,B12002B_004EA,B12002B_004M,B12002B_004MA,B12002B_005E,B12002B_005EA,B12002B_005M,B12002B_005MA,B12002B_006E,B12002B_006EA,B12002B_006M,B12002B_006MA,B12002B_007E,B12002B_007EA,B12002B_007M,B12002B_007MA,B12002B_008E,B12002B_008EA,B12002B_008M,B12002B_008MA,B12002B_009E,B12002B_009EA,B12002B_009M,B12002B_009MA,B12002B_010E,B12002B_010EA,B12002B_010M,B12002B_010MA,B12002B_011E,B12002B_011EA,B12002B_011M,B12002B_011MA,B12002B_012E,B12002B_012EA,B12002B_012M,B12002B_012MA,B12002B_013E,B12002B_013EA,B12002B_013M,B12002B_013MA,GEO_ID,NAME,state
929375,null,4547,null,422539,null,3365,null,194869,null,5805,null,148964,null,6351,null,16658,null,1802,null,15484,null,2030,null,46564,null,3665,null,506836,null,3362,null,213128,null,5260,null,140558,null,5464,null,27497,null,2869,null,57082,null,3298,null,68571,null,3873,null,0400000US01,Alabama,01
20970,null,1618,null,12732,null,1424,null,4582,null,1355,null,6419,null,1323,null,458,null,508,null,0,null,237,null,1273,null,720,null,8238,null,1153,null,3373,null,1109,null,3375,null,1020,null,121,null,222,null,289,null,371,null,1080,null,609,null,0400000US02,Alaska,02
162588,null,2946,null,84982,null,1989,null,38959,null,2726,null,31190,null,2484,null,1081,null,460,null,1721,null,537,null,12031,null,1888,null,77606,null,1709,null,34219,null,2498,null,20353,null,2038,null,2650,null,845,null,6005,null,1080,null,14379,null,1746,null,0400000US04,Arizona,04
329200,null,2768,null,152110,null,2476,null,68669,null,3387,null,54659,null,3181,null,7346,null,1556,null,5480,null,929,null,15956,null,1868,null,177090,null,2159,null,77068,null,3328,null,46197,null,3486,null,10302,null,1634,null,20267,null,1712,null,23256,null,2739,null,0400000US05,Arkansas,05
1771637,null,7464,null,861936,null,5309,null,434031,null,8743,null,283220,null,8042,null,27886,null,2552,null,18967,null,2136,null,97832,null,5111,null,909701,null,5552,null,419182,null,8290,null,221359,null,6816,null,45579,null,3999,null,79676,null,3697,null,143905,null,6741,null,0400000US06,California,06
140325,null,2994,null,74162,null,2091,null,31041,null,2321,null,31170,null,2379,null,2784,null,1259,null,815,null,527,null,8352,null,1304,null,66163,null,1804,null,27681,null,2144,null,21275,null,2162,null,1524,null,697,null,3937,null,860,null,11746,null,1555,null,0400000US08,Colorado,08
250116,null,3636,null,116929,null,2399,null,59260,null,2976,null,41893,null,2915,null,3422,null,952,null,3536,null,895,null,8818,null,1403,null,133187,null,2366,null,64924,null,3123,null,35951,null,2474,null,5113,null,1124,null,10813,null,1533,null,16386,null,2030,null,0400000US09,Connecticut,09
136073,null,1604,null,62322,null,1122,null,29235,null,1934,null,24140,null,2067,null,1531,null,850,null,1237,null,490,null,6179,null,1472,null,73751,null,1146,null,31069,null,1582,null,22346,null,2215,null,3198,null,797,null,6399,null,873,null,10739,null,1560,null,0400000US10,Delaware,10
260843,null,1326,null,114523,null,854,null,64301,null,2750,null,27632,null,2816,null,5688,null,1296,null,3573,null,731,null,13329,null,1856,null,146320,null,867,null,76839,null,3187,null,25610,null,2512,null,7544,null,1389,null,19029,null,1591,null,17298,null,2069,null,0400000US11,District of Columbia,11
2112078,null,10625,null,996941,null,6159,null,471124,null,8742,null,373930,null,9780,null,33360,null,3514,null,26394,null,3291,null,92133,null,5638,null,1115137,null,6861,null,468250,null,8079,null,340407,null,8409,null,59760,null,4130,null,94004,null,4854,null,152716,null,6792,null,0400000US12,Florida,12
2159996,null,6911,null,991821,null,4716,null,475520,null,8826,null,352148,null,8504,null,35550,null,3646,null,27859,null,3335,null,100744,null,6563,null,1168175,null,5516,null,510330,null,9723,null,330270,null,8865,null,56373,null,4755,null,104081,null,4434,null,167121,null,6144,null,0400000US13,Georgia,13
20777,null,1670,null,12765,null,1264,null,4580,null,1189,null,6758,null,1199,null,556,null,479,null,0,null,271,null,871,null,527,null,8012,null,989,null,2884,null,976,null,3850,null,1071,null,65,null,108,null,268,null,258,null,945,null,604,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
1427290,null,5812,null,650517,null,4122,null,339847,null,6715,null,196720,null,6610,null,27884,null,3220,null,17795,null,2187,null,68271,null,4114,null,776773,null,3611,null,379006,null,7411,null,182861,null,7261,null,38284,null,3774,null,77984,null,3199,null,98638,null,5021,null,0400000US17,Illinois,17
412757,null,3304,null,194788,null,2298,null,90738,null,3553,null,67407,null,3444,null,6107,null,1267,null,5587,null,1117,null,24949,null,2560,null,217969,null,2634,null,97491,null,3290,null,54457,null,3296,null,9855,null,1769,null,20970,null,1980,null,35196,null,3196,null,0400000US18,Indiana,18
49790,null,2275,null,26355,null,1834,null,13188,null,1622,null,8805,null,1085,null,1290,null,515,null,559,null,396,null,2513,null,823,null,23435,null,1459,null,12028,null,1387,null,5952,null,1079,null,1406,null,624,null,1619,null,602,null,2430,null,812,null,0400000US19,Iowa,19
118058,null,3639,null,59952,null,2308,null,25889,null,2072,null,23246,null,1994,null,1656,null,742,null,1519,null,574,null,7642,null,1439,null,58106,null,2478,null,24760,null,2264,null,16130,null,1516,null,2385,null,824,null,5368,null,895,null,9463,null,1354,null,0400000US20,Kansas,20
245340,null,4031,null,116445,null,3403,null,58496,null,3144,null,36016,null,2949,null,4858,null,1335,null,2853,null,837,null,14222,null,2283,null,128895,null,2961,null,61071,null,3384,null,29676,null,2950,null,6963,null,1461,null,13220,null,1591,null,17965,null,2309,null,0400000US21,Kentucky,21
1022172,null,3913,null,471335,null,2836,null,229027,null,5648,null,159310,null,6295,null,18859,null,2669,null,18221,null,2302,null,45918,null,3448,null,550837,null,2512,null,244246,null,6020,null,150732,null,6038,null,27943,null,2645,null,59431,null,3120,null,68485,null,4683,null,0400000US22,Louisiana,22
7932,null,1302,null,4963,null,981,null,3206,null,867,null,1294,null,623,null,99,null,165,null,130,null,156,null,234,null,243,null,2969,null,831,null,1374,null,643,null,474,null,316,null,338,null,314,null,282,null,327,null,501,null,292,null,0400000US23,Maine,23
1268138,null,4775,null,574094,null,2971,null,265292,null,6432,null,222949,null,6642,null,20510,null,2919,null,12485,null,1766,null,52858,null,3944,null,694044,null,3412,null,312294,null,6974,null,204935,null,6022,null,32440,null,3272,null,61343,null,3116,null,83032,null,4943,null,0400000US24,Maryland,24
296719,null,4768,null,141850,null,3206,null,71823,null,3030,null,50601,null,3383,null,4506,null,1565,null,2404,null,831,null,12516,null,1949,null,154869,null,3030,null,79396,null,3998,null,41187,null,2983,null,8743,null,1789,null,11008,null,1811,null,14535,null,1885,null,0400000US25,Massachusetts,25
1079340,null,4872,null,497107,null,2865,null,262504,null,5020,null,146554,null,5104,null,17179,null,2206,null,14265,null,1607,null,56605,null,3580,null,582233,null,3265,null,286810,null,6183,null,128663,null,4662,null,25249,null,2277,null,56040,null,3076,null,85471,null,3406,null,0400000US26,Michigan,26
161200,null,3046,null,84512,null,2290,null,45391,null,2828,null,27500,null,2194,null,2556,null,1039,null,1225,null,677,null,7840,null,1649,null,76688,null,1818,null,37803,null,2213,null,20829,null,1693,null,3777,null,1222,null,4006,null,987,null,10273,null,1607,null,0400000US27,Minnesota,27
811680,null,4778,null,371808,null,3313,null,188342,null,4871,null,122341,null,5034,null,14980,null,2413,null,12327,null,1684,null,33818,null,3227,null,439872,null,2701,null,202254,null,4701,null,114016,null,4836,null,28961,null,3000,null,48374,null,2625,null,46267,null,3676,null,0400000US28,Mississippi,28
501344,null,4217,null,230163,null,3054,null,113452,null,3838,null,74454,null,3850,null,11806,null,1784,null,6704,null,1198,null,23747,null,2218,null,271181,null,3032,null,123900,null,4000,null,63128,null,3742,null,16041,null,2192,null,27602,null,2235,null,40510,null,3268,null,0400000US29,Missouri,29
