C19037I_001E,C19037I_001EA,C19037I_001M,C19037I_001MA,C19037I_002E,C19037I_002EA,C19037I_002M,C19037I_002MA,C19037I_003E,C19037I_003EA,C19037I_003M,C19037I_003MA,C19037I_004E,C19037I_004EA,C19037I_004M,C19037I_004MA,C19037I_005E,C19037I_005EA,C19037I_005M,C19037I_005MA,C19037I_006E,C19037I_006EA,C19037I_006M,C19037I_006MA,C19037I_007E,C19037I_007EA,C19037I_007M,C19037I_007MA,C19037I_008E,C19037I_008EA,C19037I_008M,C19037I_008MA,C19037I_009E,C19037I_009EA,C19037I_009M,C19037I_009MA,C19037I_010E,C19037I_010EA,C19037I_010M,C19037I_010MA,C19037I_011E,C19037I_011EA,C19037I_011M,C19037I_011MA,C19037I_012E,C19037I_012EA,C19037I_012M,C19037I_012MA,C19037I_013E,C19037I_013EA,C19037I_013M,C19037I_013MA,C19037I_014E,C19037I_014EA,C19037I_014M,C19037I_014MA,C19037I_015E,C19037I_015EA,C19037I_015M,C19037I_015MA,C19037I_016E,C19037I_016EA,C19037I_016M,C19037I_016MA,C19037I_017E,C19037I_017EA,C19037I_017M,C19037I_017MA,C19037I_018E,C19037I_018EA,C19037I_018M,C19037I_018MA,C19037I_019E,C19037I_019EA,C19037I_019M,C19037I_019MA,C19037I_020E,C19037I_020EA,C19037I_020M,C19037I_020MA,C19037I_021E,C19037I_021EA,C19037I_021M,C19037I_021MA,C19037I_022E,C19037I_022EA,C19037I_022M,C19037I_022MA,C19037I_023E,C19037I_023EA,C19037I_023M,C19037I_023MA,C19037I_024E,C19037I_024EA,C19037I_024M,C19037I_024MA,C19037I_025E,C19037I_025EA,C19037I_025M,C19037I_025MA,C19037I_026E,C19037I_026EA,C19037I_026M,C19037I_026MA,C19037I_027E,C19037I_027EA,C19037I_027M,C19037I_027MA,C19037I_028E,C19037I_028EA,C19037I_028M,C19037I_028MA,C19037I_029E,C19037I_029EA,C19037I_029M,C19037I_029MA,C19037I_030E,C19037I_030EA,C19037I_030M,C19037I_030MA,C19037I_031E,C19037I_031EA,C19037I_031M,C19037I_031MA,C19037I_032E,C19037I_032EA,C19037I_032M,C19037I_032MA,C19037I_033E,C19037I_033EA,C19037I_033M,C19037I_033MA,C19037I_034E,C19037I_034EA,C19037I_034M,C19037I_034MA,C19037I_035E,C19037I_035EA,C19037I_035M,C19037I_035MA,C19037I_036E,C19037I_036EA,C19037I_036M,C19037I_036MA,C19037I_037E,C19037I_037EA,C19037I_037M,C19037I_037MA,C19037I_038E,C19037I_038EA,C19037I_038M,C19037I_038MA,C19037I_039E,C19037I_039EA,C19037I_039M,C19037I_039MA,C19037I_040E,C19037I_040EA,C19037I_040M,C19037I_040MA,C19037I_041E,C19037I_041EA,C19037I_041M,C19037I_041MA,C19037I_042E,C19037I_042EA,C19037I_042M,C19037I_042MA,C19037I_043E,C19037I_043EA,C19037I_043M,C19037I_043MA,C19037I_044E,C19037I_044EA,C19037I_044M,C19037I_044MA,C19037I_045E,C19037I_045EA,C19037I_045M,C19037I_045MA,GEO_ID,NAME,state
32346,null,2032,null,5542,null,1184,null,714,null,460,null,418,null,407,null,1644,null,669,null,1002,null,492,null,516,null,345,null,1159,null,524,null,46,null,54,null,43,null,49,null,0,null,267,null,0,null,267,null,17275,null,2030,null,1016,null,462,null,1104,null,601,null,3769,null,934,null,3545,null,1010,null,2842,null,856,null,3079,null,939,null,1078,null,495,null,446,null,281,null,256,null,232,null,140,null,139,null,7145,null,1305,null,689,null,436,null,354,null,372,null,870,null,590,null,577,null,432,null,1066,null,512,null,1420,null,641,null,816,null,409,null,657,null,364,null,341,null,303,null,355,null,536,null,2384,null,847,null,428,null,378,null,23,null,27,null,309,null,252,null,559,null,454,null,159,null,119,null,419,null,295,null,224,null,183,null,182,null,194,null,38,null,66,null,43,null,74,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
478792,null,7287,null,33478,null,2912,null,5016,null,1342,null,2630,null,827,null,6446,null,1496,null,4960,null,1094,null,7124,null,1717,null,4814,null,1165,null,1263,null,610,null,549,null,368,null,397,null,359,null,279,null,285,null,262013,null,6644,null,16263,null,2240,null,12696,null,1960,null,40459,null,3540,null,44674,null,4065,null,47209,null,4006,null,50722,null,3758,null,28272,null,3092,null,16041,null,1790,null,3990,null,1235,null,1687,null,715,null,138362,null,4688,null,8549,null,1518,null,8209,null,1480,null,18331,null,2038,null,16936,null,2274,null,23471,null,2527,null,30047,null,2869,null,15293,null,2132,null,12653,null,1999,null,2757,null,811,null,2116,null,914,null,44939,null,2483,null,7443,null,1403,null,5919,null,1256,null,7802,null,1303,null,7186,null,1256,null,5465,null,1081,null,6380,null,1346,null,2467,null,738,null,1176,null,400,null,490,null,336,null,611,null,406,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
3220448,null,15125,null,172236,null,6177,null,18664,null,2179,null,14298,null,2330,null,28918,null,2850,null,28872,null,2399,null,30963,null,2804,null,28676,null,2800,null,13297,null,2203,null,5978,null,1441,null,1509,null,732,null,1061,null,590,null,1705361,null,12282,null,72663,null,4573,null,73231,null,4231,null,214192,null,8358,null,232963,null,9749,null,309948,null,9612,null,368033,null,10234,null,201782,null,7186,null,166118,null,6932,null,41426,null,3471,null,25005,null,2676,null,1026331,null,11483,null,49207,null,4501,null,43900,null,3427,null,104523,null,5226,null,118770,null,4972,null,167473,null,6159,null,209534,null,6663,null,133514,null,5423,null,135034,null,5411,null,38843,null,3286,null,25533,null,2669,null,316520,null,6521,null,34200,null,2826,null,47106,null,3396,null,63202,null,3607,null,38581,null,2930,null,44606,null,3275,null,41549,null,2860,null,21154,null,2161,null,16803,null,1924,null,5583,null,1213,null,3736,null,928,null,0400000US06,California,06
277061,null,5248,null,21079,null,2139,null,2952,null,861,null,2189,null,796,null,3993,null,1129,null,3715,null,996,null,3779,null,939,null,2839,null,900,null,1186,null,588,null,399,null,485,null,0,null,275,null,27,null,45,null,149056,null,5203,null,13644,null,2032,null,9113,null,1849,null,25689,null,3375,null,21144,null,2768,null,24747,null,2701,null,27560,null,2826,null,14535,null,1986,null,9633,null,1623,null,2498,null,911,null,493,null,341,null,80936,null,3498,null,7954,null,1340,null,5096,null,1155,null,10024,null,1615,null,9097,null,1572,null,14574,null,2386,null,14646,null,1825,null,9462,null,1583,null,7184,null,1436,null,2004,null,731,null,895,null,424,null,25990,null,1682,null,3764,null,886,null,4087,null,852,null,5018,null,907,null,4444,null,992,null,3153,null,848,null,3058,null,805,null,1391,null,534,null,679,null,351,null,219,null,215,null,177,null,136,null,0400000US08,Colorado,08
125632,null,2846,null,7894,null,1318,null,1404,null,639,null,525,null,382,null,1777,null,631,null,1082,null,648,null,1229,null,636,null,1420,null,666,null,277,null,312,null,180,null,299,null,0,null,273,null,0,null,273,null,69827,null,2574,null,6337,null,1357,null,4538,null,1264,null,9733,null,1944,null,8384,null,1585,null,12025,null,2143,null,11538,null,1549,null,7901,null,1445,null,5977,null,1327,null,1448,null,514,null,1946,null,777,null,37870,null,2062,null,4288,null,1146,null,1040,null,583,null,4645,null,1353,null,3425,null,819,null,4750,null,1078,null,8261,null,1315,null,3954,null,1098,null,5276,null,1169,null,901,null,445,null,1330,null,582,null,10041,null,1150,null,3392,null,829,null,1608,null,652,null,1482,null,577,null,541,null,378,null,1078,null,499,null,789,null,376,null,464,null,261,null,343,null,254,null,151,null,219,null,193,null,171,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
1207727,null,9183,null,63960,null,3920,null,6795,null,1355,null,4259,null,1090,null,11086,null,1803,null,9593,null,1669,null,13149,null,2108,null,12252,null,2382,null,4121,null,1153,null,2353,null,1126,null,156,null,155,null,196,null,278,null,557992,null,7903,null,27233,null,2989,null,21975,null,2775,null,67595,null,5172,null,77234,null,4770,null,101001,null,5772,null,123518,null,5752,null,66043,null,4372,null,49440,null,3825,null,13323,null,1935,null,10630,null,1709,null,396116,null,6303,null,23367,null,2905,null,19430,null,2771,null,49023,null,3978,null,49607,null,3927,null,63960,null,4411,null,76805,null,4606,null,44020,null,3104,null,41135,null,3679,null,15933,null,2199,null,12836,null,1542,null,189659,null,4950,null,38356,null,3142,null,29036,null,2754,null,42041,null,3833,null,20688,null,2285,null,21864,null,2205,null,18351,null,2094,null,7804,null,1523,null,7058,null,1318,null,1964,null,783,null,2497,null,726,null,0400000US12,Florida,12
