B23002G_001E,B23002G_001EA,B23002G_001M,B23002G_001MA,B23002G_002E,B23002G_002EA,B23002G_002M,B23002G_002MA,B23002G_003E,B23002G_003EA,B23002G_003M,B23002G_003MA,B23002G_004E,B23002G_004EA,B23002G_004M,B23002G_004MA,B23002G_005E,B23002G_005EA,B23002G_005M,B23002G_005MA,B23002G_006E,B23002G_006EA,B23002G_006M,B23002G_006MA,B23002G_007E,B23002G_007EA,B23002G_007M,B23002G_007MA,B23002G_008E,B23002G_008EA,B23002G_008M,B23002G_008MA,B23002G_009E,B23002G_009EA,B23002G_009M,B23002G_009MA,B23002G_010E,B23002G_010EA,B23002G_010M,B23002G_010MA,B23002G_011E,B23002G_011EA,B23002G_011M,B23002G_011MA,B23002G_012E,B23002G_012EA,B23002G_012M,B23002G_012MA,B23002G_013E,B23002G_013EA,B23002G_013M,B23002G_013MA,B23002G_014E,B23002G_014EA,B23002G_014M,B23002G_014MA,B23002G_015E,B23002G_015EA,B23002G_015M,B23002G_015MA,B23002G_016E,B23002G_016EA,B23002G_016M,B23002G_016MA,B23002G_017E,B23002G_017EA,B23002G_017M,B23002G_017MA,B23002G_018E,B23002G_018EA,B23002G_018M,B23002G_018MA,B23002G_019E,B23002G_019EA,B23002G_019M,B23002G_019MA,B23002G_020E,B23002G_020EA,B23002G_020M,B23002G_020MA,B23002G_021E,B23002G_021EA,B23002G_021M,B23002G_021MA,B23002G_022E,B23002G_022EA,B23002G_022M,B23002G_022MA,B23002G_023E,B23002G_023EA,B23002G_023M,B23002G_023MA,B23002G_024E,B23002G_024EA,B23002G_024M,B23002G_024MA,B23002G_025E,B23002G_025EA,B23002G_025M,B23002G_025MA,B23002G_026E,B23002G_026EA,B23002G_026M,B23002G_026MA,B23002G_027E,B23002G_027EA,B23002G_027M,B23002G_027MA,B23002G_028E,B23002G_028EA,B23002G_028M,B23002G_028MA,B23002G_029E,B23002G_029EA,B23002G_029M,B23002G_029MA,B23002G_030E,B23002G_030EA,B23002G_030M,B23002G_030MA,B23002G_031E,B23002G_031EA,B23002G_031M,B23002G_031MA,B23002G_032E,B23002G_032EA,B23002G_032M,B23002G_032MA,B23002G_033E,B23002G_033EA,B23002G_033M,B23002G_033MA,B23002G_034E,B23002G_034EA,B23002G_034M,B23002G_034MA,B23002G_035E,B23002G_035EA,B23002G_035M,B23002G_035MA,B23002G_036E,B23002G_036EA,B23002G_036M,B23002G_036MA,B23002G_037E,B23002G_037EA,B23002G_037M,B23002G_037MA,B23002G_038E,B23002G_038EA,B23002G_038M,B23002G_038MA,B23002G_039E,B23002G_039EA,B23002G_039M,B23002G_039MA,B23002G_040E,B23002G_040EA,B23002G_040M,B23002G_040MA,B23002G_041E,B23002G_041EA,B23002G_041M,B23002G_041MA,B23002G_042E,B23002G_042EA,B23002G_042M,B23002G_042MA,B23002G_043E,B23002G_043EA,B23002G_043M,B23002G_043MA,B23002G_044E,B23002G_044EA,B23002G_044M,B23002G_044MA,B23002G_045E,B23002G_045EA,B23002G_045M,B23002G_045MA,B23002G_046E,B23002G_046EA,B23002G_046M,B23002G_046MA,B23002G_047E,B23002G_047EA,B23002G_047M,B23002G_047MA,B23002G_048E,B23002G_048EA,B23002G_048M,B23002G_048MA,B23002G_049E,B23002G_049EA,B23002G_049M,B23002G_049MA,B23002G_050E,B23002G_050EA,B23002G_050M,B23002G_050MA,B23002G_051E,B23002G_051EA,B23002G_051M,B23002G_051MA,B23002G_052E,B23002G_052EA,B23002G_052M,B23002G_052MA,B23002G_053E,B23002G_053EA,B23002G_053M,B23002G_053MA,B23002G_054E,B23002G_054EA,B23002G_054M,B23002G_054MA,B23002G_055E,B23002G_055EA,B23002G_055M,B23002G_055MA,B23002G_056E,B23002G_056EA,B23002G_056M,B23002G_056MA,B23002G_057E,B23002G_057EA,B23002G_057M,B23002G_057MA,B23002G_058E,B23002G_058EA,B23002G_058M,B23002G_058MA,B23002G_059E,B23002G_059EA,B23002G_059M,B23002G_059MA,B23002G_060E,B23002G_060EA,B23002G_060M,B23002G_060MA,B23002G_061E,B23002G_061EA,B23002G_061M,B23002G_061MA,B23002G_062E,B23002G_062EA,B23002G_062M,B23002G_062MA,B23002G_063E,B23002G_063EA,B23002G_063M,B23002G_063MA,B23002G_064E,B23002G_064EA,B23002G_064M,B23002G_064MA,B23002G_065E,B23002G_065EA,B23002G_065M,B23002G_065MA,B23002G_066E,B23002G_066EA,B23002G_066M,B23002G_066MA,B23002G_067E,B23002G_067EA,B23002G_067M,B23002G_067MA,B23002G_068E,B23002G_068EA,B23002G_068M,B23002G_068MA,B23002G_069E,B23002G_069EA,B23002G_069M,B23002G_069MA,B23002G_070E,B23002G_070EA,B23002G_070M,B23002G_070MA,B23002G_071E,B23002G_071EA,B23002G_071M,B23002G_071MA,B23002G_072E,B23002G_072EA,B23002G_072M,B23002G_072MA,B23002G_073E,B23002G_073EA,B23002G_073M,B23002G_073MA,B23002G_074E,B23002G_074EA,B23002G_074M,B23002G_074MA,B23002G_075E,B23002G_075EA,B23002G_075M,B23002G_075MA,B23002G_076E,B23002G_076EA,B23002G_076M,B23002G_076MA,B23002G_077E,B23002G_077EA,B23002G_077M,B23002G_077MA,B23002G_078E,B23002G_078EA,B23002G_078M,B23002G_078MA,B23002G_079E,B23002G_079EA,B23002G_079M,B23002G_079MA,GEO_ID,NAME,state
34769,null,3240,null,15995,null,2027,null,2006,null,658,null,1442,null,541,null,0,null,267,null,1442,null,541,null,957,null,423,null,485,null,343,null,564,null,321,null,1888,null,679,null,1509,null,624,null,0,null,267,null,1509,null,624,null,1361,null,587,null,148,null,167,null,379,null,288,null,7904,null,1381,null,6020,null,1247,null,84,null,115,null,5936,null,1213,null,5513,null,1141,null,423,null,364,null,1884,null,739,null,2452,null,674,null,1175,null,442,null,0,null,267,null,1175,null,442,null,1175,null,442,null,0,null,267,null,1277,null,488,null,697,null,352,null,65,null,75,null,65,null,75,null,0,null,267,null,632,null,337,null,1048,null,590,null,169,null,183,null,169,null,183,null,0,null,267,null,879,null,551,null,18774,null,2307,null,2569,null,1018,null,855,null,496,null,0,null,267,null,855,null,496,null,527,null,381,null,328,null,252,null,1714,null,847,null,2985,null,992,null,2087,null,707,null,0,null,267,null,2087,null,707,null,1692,null,619,null,395,null,309,null,898,null,656,null,8283,null,1284,null,5801,null,1104,null,0,null,267,null,5801,null,1104,null,5556,null,1081,null,245,null,193,null,2482,null,756,null,2534,null,791,null,1378,null,593,null,0,null,267,null,1378,null,593,null,1120,null,483,null,258,null,268,null,1156,null,497,null,746,null,324,null,140,null,149,null,140,null,149,null,0,null,267,null,606,null,305,null,1657,null,607,null,70,null,115,null,70,null,115,null,0,null,267,null,1587,null,568,null,0400000US01,Alabama,01
24794,null,2434,null,12160,null,1835,null,2116,null,733,null,503,null,241,null,63,null,115,null,440,null,233,null,226,null,178,null,214,null,172,null,1613,null,758,null,1965,null,655,null,1661,null,626,null,199,null,249,null,1462,null,569,null,1341,null,550,null,121,null,109,null,304,null,279,null,6502,null,1287,null,5495,null,1211,null,39,null,67,null,5456,null,1215,null,5148,null,1173,null,308,null,225,null,1007,null,441,null,985,null,371,null,701,null,333,null,0,null,237,null,701,null,333,null,508,null,261,null,193,null,185,null,284,null,209,null,232,null,147,null,49,null,41,null,49,null,41,null,0,null,237,null,183,null,142,null,360,null,245,null,121,null,168,null,121,null,168,null,0,null,237,null,239,null,166,null,12634,null,1357,null,2338,null,788,null,1740,null,729,null,0,null,237,null,1740,null,729,null,971,null,657,null,769,null,650,null,598,null,265,null,1981,null,511,null,1231,null,447,null,49,null,81,null,1182,null,466,null,996,null,428,null,186,null,243,null,750,null,403,null,7003,null,1120,null,5328,null,910,null,247,null,305,null,5081,null,992,null,4287,null,864,null,794,null,523,null,1675,null,657,null,625,null,357,null,255,null,199,null,0,null,237,null,255,null,199,null,255,null,199,null,0,null,237,null,370,null,311,null,338,null,209,null,155,null,112,null,95,null,105,null,60,null,98,null,183,null,158,null,349,null,223,null,13,null,21,null,13,null,21,null,0,null,237,null,336,null,221,null,0400000US02,Alaska,02
78697,null,5856,null,37586,null,3538,null,6629,null,1560,null,3259,null,1039,null,53,null,61,null,3206,null,1040,null,2545,null,883,null,661,null,469,null,3370,null,1056,null,6129,null,1497,null,4737,null,1354,null,85,null,93,null,4652,null,1359,null,4442,null,1324,null,210,null,208,null,1392,null,752,null,19629,null,2547,null,15454,null,2204,null,279,null,300,null,15175,null,2173,null,14489,null,2090,null,686,null,387,null,4175,null,1094,null,2872,null,803,null,1746,null,561,null,0,null,292,null,1746,null,561,null,1705,null,569,null,41,null,72,null,1126,null,543,null,562,null,328,null,155,null,180,null,67,null,113,null,88,null,146,null,407,null,273,null,1765,null,573,null,269,null,226,null,269,null,226,null,0,null,292,null,1496,null,517,null,41111,null,3544,null,6511,null,1343,null,3411,null,1032,null,0,null,292,null,3411,null,1032,null,2509,null,749,null,902,null,546,null,3100,null,911,null,7541,null,1891,null,5852,null,1495,null,47,null,78,null,5805,null,1504,null,5568,null,1482,null,237,null,224,null,1689,null,827,null,20534,null,2223,null,14167,null,1854,null,19,null,32,null,14148,null,1850,null,13242,null,1789,null,906,null,413,null,6367,null,1269,null,3833,null,876,null,1527,null,714,null,0,null,292,null,1527,null,714,null,1478,null,710,null,49,null,94,null,2306,null,754,null,1010,null,337,null,163,null,143,null,110,null,152,null,53,null,93,null,847,null,314,null,1682,null,611,null,0,null,292,null,0,null,292,null,0,null,292,null,1682,null,611,null,0400000US04,Arizona,04
27485,null,2591,null,12943,null,1767,null,1451,null,551,null,433,null,244,null,0,null,267,null,433,null,244,null,330,null,235,null,103,null,62,null,1018,null,486,null,1723,null,759,null,1203,null,571,null,0,null,267,null,1203,null,571,null,1116,null,550,null,87,null,139,null,520,null,427,null,6530,null,1270,null,5250,null,1173,null,27,null,48,null,5223,null,1168,null,4924,null,1142,null,299,null,208,null,1280,null,411,null,1382,null,407,null,903,null,383,null,0,null,267,null,903,null,383,null,903,null,383,null,0,null,267,null,479,null,295,null,861,null,420,null,395,null,248,null,395,null,248,null,0,null,267,null,466,null,325,null,996,null,444,null,77,null,91,null,77,null,91,null,0,null,267,null,919,null,429,null,14542,null,1642,null,2445,null,781,null,782,null,438,null,0,null,267,null,782,null,438,null,580,null,349,null,202,null,261,null,1663,null,633,null,1267,null,495,null,868,null,425,null,0,null,267,null,868,null,425,null,791,null,428,null,77,null,94,null,399,null,259,null,6946,null,1166,null,4618,null,1013,null,0,null,267,null,4618,null,1013,null,4014,null,919,null,604,null,318,null,2328,null,731,null,1365,null,476,null,535,null,243,null,0,null,267,null,535,null,243,null,512,null,233,null,23,null,69,null,830,null,396,null,770,null,361,null,147,null,150,null,147,null,150,null,0,null,267,null,623,null,353,null,1749,null,555,null,38,null,63,null,38,null,63,null,0,null,267,null,1711,null,557,null,0400000US05,Arkansas,05
713405,null,16347,null,354844,null,10502,null,56969,null,4618,null,21834,null,3054,null,405,null,291,null,21429,null,3001,null,15203,null,2519,null,6226,null,1229,null,35135,null,3111,null,52145,null,4129,null,39086,null,3616,null,2567,null,1441,null,36519,null,3314,null,32276,null,3013,null,4243,null,981,null,13059,null,2160,null,197110,null,7515,null,162494,null,6894,null,2730,null,953,null,159764,null,6812,null,148471,null,6905,null,11293,null,2174,null,34616,null,2853,null,26695,null,2286,null,17244,null,1978,null,0,null,292,null,17244,null,1978,null,16457,null,2002,null,787,null,418,null,9451,null,1374,null,8845,null,1297,null,3262,null,877,null,2860,null,829,null,402,null,242,null,5583,null,1101,null,13080,null,1542,null,1870,null,639,null,1796,null,610,null,74,null,125,null,11210,null,1409,null,358561,null,10302,null,56937,null,3546,null,23095,null,2414,null,529,null,464,null,22566,null,2428,null,17170,null,1827,null,5396,null,1264,null,33842,null,3042,null,49549,null,4376,null,37603,null,3747,null,306,null,224,null,37297,null,3758,null,33656,null,3663,null,3641,null,980,null,11946,null,2295,null,190110,null,6920,null,142244,null,5892,null,185,null,272,null,142059,null,5870,null,133040,null,5783,null,9019,null,1352,null,47866,null,3572,null,32938,null,2985,null,18207,null,2216,null,0,null,292,null,18207,null,2216,null,17325,null,2102,null,882,null,515,null,14731,null,1918,null,8750,null,1189,null,2950,null,877,null,2878,null,864,null,72,null,120,null,5800,null,1049,null,20277,null,2317,null,1334,null,500,null,1334,null,500,null,0,null,292,null,18943,null,2240,null,0400000US06,California,06
72525,null,5518,null,35978,null,3637,null,5390,null,1178,null,2310,null,899,null,75,null,88,null,2235,null,901,null,1490,null,633,null,745,null,558,null,3080,null,854,null,6042,null,1851,null,4351,null,1389,null,262,null,214,null,4089,null,1354,null,3875,null,1313,null,214,null,223,null,1691,null,833,null,20526,null,2184,null,17281,null,2143,null,215,null,197,null,17066,null,2154,null,16106,null,2206,null,960,null,417,null,3245,null,824,null,2310,null,689,null,1552,null,587,null,0,null,275,null,1552,null,587,null,1482,null,580,null,70,null,93,null,758,null,389,null,745,null,349,null,243,null,208,null,243,null,208,null,0,null,275,null,502,null,256,null,965,null,505,null,155,null,122,null,155,null,122,null,0,null,275,null,810,null,497,null,36547,null,3340,null,5490,null,1221,null,2293,null,793,null,0,null,275,null,2293,null,793,null,1463,null,580,null,830,null,470,null,3197,null,939,null,4478,null,1016,null,3574,null,963,null,0,null,275,null,3574,null,963,null,2858,null,809,null,716,null,543,null,904,null,550,null,21005,null,2416,null,16166,null,2013,null,62,null,101,null,16104,null,2035,null,15249,null,2009,null,855,null,459,null,4839,null,1387,null,2909,null,871,null,1750,null,641,null,0,null,275,null,1750,null,641,null,1750,null,641,null,0,null,275,null,1159,null,529,null,862,null,379,null,249,null,250,null,249,null,250,null,0,null,275,null,613,null,322,null,1803,null,535,null,196,null,286,null,196,null,286,null,0,null,275,null,1607,null,555,null,0400000US08,Colorado,08
38802,null,3996,null,18593,null,2640,null,3903,null,1514,null,2771,null,1469,null,324,null,272,null,2447,null,1410,null,2131,null,1403,null,316,null,283,null,1132,null,525,null,3168,null,990,null,1827,null,641,null,0,null,273,null,1827,null,641,null,1577,null,592,null,250,null,304,null,1341,null,741,null,9061,null,1612,null,7829,null,1511,null,64,null,122,null,7765,null,1502,null,6789,null,1384,null,976,null,591,null,1232,null,519,null,1748,null,627,null,959,null,499,null,0,null,273,null,959,null,499,null,959,null,499,null,0,null,273,null,789,null,404,null,431,null,270,null,215,null,200,null,215,null,200,null,0,null,273,null,216,null,209,null,282,null,232,null,69,null,78,null,69,null,78,null,0,null,273,null,213,null,211,null,20209,null,2617,null,3133,null,844,null,1910,null,694,null,0,null,273,null,1910,null,694,null,1459,null,583,null,451,null,353,null,1223,null,520,null,2485,null,830,null,1584,null,615,null,0,null,273,null,1584,null,615,null,1535,null,613,null,49,null,78,null,901,null,564,null,10950,null,1662,null,8907,null,1523,null,0,null,273,null,8907,null,1523,null,8260,null,1482,null,647,null,389,null,2043,null,704,null,1800,null,614,null,1270,null,532,null,0,null,273,null,1270,null,532,null,1270,null,532,null,0,null,273,null,530,null,362,null,859,null,448,null,222,null,240,null,150,null,180,null,72,null,123,null,637,null,376,null,982,null,454,null,34,null,64,null,34,null,64,null,0,null,273,null,948,null,455,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
187132,null,8744,null,91057,null,5088,null,11386,null,1845,null,5549,null,1246,null,0,null,303,null,5549,null,1246,null,4536,null,1156,null,1013,null,551,null,5837,null,1181,null,12449,null,2155,null,9798,null,1978,null,320,null,256,null,9478,null,1943,null,7933,null,1701,null,1545,null,658,null,2651,null,810,null,47538,null,3470,null,39097,null,3414,null,411,null,294,null,38686,null,3461,null,36709,null,3398,null,1977,null,640,null,8441,null,1423,null,9584,null,1477,null,5520,null,1026,null,0,null,303,null,5520,null,1026,null,4998,null,973,null,522,null,376,null,4064,null,972,null,3624,null,996,null,996,null,562,null,818,null,516,null,178,null,284,null,2628,null,938,null,6476,null,1323,null,420,null,288,null,346,null,262,null,74,null,130,null,6056,null,1305,null,96075,null,6023,null,12889,null,2348,null,5651,null,1227,null,0,null,303,null,5651,null,1227,null,5053,null,1150,null,598,null,314,null,7238,null,1833,null,9759,null,1844,null,7968,null,1724,null,263,null,199,null,7705,null,1701,null,6646,null,1489,null,1059,null,629,null,1791,null,687,null,49845,null,3738,null,37408,null,3356,null,99,null,127,null,37309,null,3358,null,35234,null,3240,null,2075,null,608,null,12437,null,1897,null,11519,null,1575,null,5317,null,954,null,0,null,303,null,5317,null,954,null,4952,null,919,null,365,null,293,null,6202,null,1197,null,3583,null,888,null,566,null,306,null,566,null,306,null,0,null,303,null,3017,null,889,null,8480,null,1323,null,920,null,390,null,846,null,372,null,74,null,135,null,7560,null,1257,null,0400000US12,Florida,12
