B21001C_001E,B21001C_001EA,B21001C_001M,B21001C_001MA,B21001C_002E,B21001C_002EA,B21001C_002M,B21001C_002MA,B21001C_003E,B21001C_003EA,B21001C_003M,B21001C_003MA,B21001C_004E,B21001C_004EA,B21001C_004M,B21001C_004MA,B21001C_005E,B21001C_005EA,B21001C_005M,B21001C_005MA,B21001C_006E,B21001C_006EA,B21001C_006M,B21001C_006MA,B21001C_007E,B21001C_007EA,B21001C_007M,B21001C_007MA,B21001C_008E,B21001C_008EA,B21001C_008M,B21001C_008MA,B21001C_009E,B21001C_009EA,B21001C_009M,B21001C_009MA,B21001C_010E,B21001C_010EA,B21001C_010M,B21001C_010MA,B21001C_011E,B21001C_011EA,B21001C_011M,B21001C_011MA,B21001C_012E,B21001C_012EA,B21001C_012M,B21001C_012MA,B21001C_013E,B21001C_013EA,B21001C_013M,B21001C_013MA,B21001C_014E,B21001C_014EA,B21001C_014M,B21001C_014MA,B21001C_015E,B21001C_015EA,B21001C_015M,B21001C_015MA,B21001C_016E,B21001C_016EA,B21001C_016M,B21001C_016MA,B21001C_017E,B21001C_017EA,B21001C_017M,B21001C_017MA,B21001C_018E,B21001C_018EA,B21001C_018M,B21001C_018MA,B21001C_019E,B21001C_019EA,B21001C_019M,B21001C_019MA,B21001C_020E,B21001C_020EA,B21001C_020M,B21001C_020MA,B21001C_021E,B21001C_021EA,B21001C_021M,B21001C_021MA,B21001C_022E,B21001C_022EA,B21001C_022M,B21001C_022MA,B21001C_023E,B21001C_023EA,B21001C_023M,B21001C_023MA,B21001C_024E,B21001C_024EA,B21001C_024M,B21001C_024MA,B21001C_025E,B21001C_025EA,B21001C_025M,B21001C_025MA,B21001C_026E,B21001C_026EA,B21001C_026M,B21001C_026MA,B21001C_027E,B21001C_027EA,B21001C_027M,B21001C_027MA,B21001C_028E,B21001C_028EA,B21001C_028M,B21001C_028MA,B21001C_029E,B21001C_029EA,B21001C_029M,B21001C_029MA,B21001C_030E,B21001C_030EA,B21001C_030M,B21001C_030MA,B21001C_031E,B21001C_031EA,B21001C_031M,B21001C_031MA,B21001C_032E,B21001C_032EA,B21001C_032M,B21001C_032MA,B21001C_033E,B21001C_033EA,B21001C_033M,B21001C_033MA,GEO_ID,NAME,state
16083,null,1748,null,7974,null,1214,null,2726,null,741,null,292,null,295,null,2434,null,760,null,3366,null,741,null,353,null,242,null,3013,null,671,null,1133,null,512,null,613,null,397,null,520,null,323,null,378,null,272,null,311,null,264,null,67,null,62,null,371,null,265,null,191,null,217,null,180,null,174,null,8109,null,1249,null,1867,null,693,null,0,null,267,null,1867,null,693,null,4134,null,790,null,59,null,77,null,4075,null,780,null,1417,null,521,null,48,null,60,null,1369,null,529,null,205,null,119,null,46,null,77,null,159,null,117,null,486,null,297,null,0,null,267,null,486,null,297,null,0400000US01,Alabama,01
62258,null,1971,null,30376,null,1621,null,12027,null,1405,null,430,null,320,null,11597,null,1372,null,11335,null,1149,null,1688,null,579,null,9647,null,1051,null,4068,null,563,null,1685,null,433,null,2383,null,567,null,1463,null,295,null,400,null,258,null,1063,null,250,null,1483,null,495,null,662,null,307,null,821,null,399,null,31882,null,1202,null,11852,null,993,null,119,null,140,null,11733,null,959,null,12275,null,888,null,47,null,48,null,12228,null,885,null,4063,null,634,null,0,null,237,null,4063,null,634,null,2491,null,582,null,62,null,114,null,2429,null,568,null,1201,null,308,null,0,null,237,null,1201,null,308,null,0400000US02,Alaska,02
188897,null,3553,null,91298,null,2496,null,40637,null,1713,null,1991,null,858,null,38646,null,1798,null,33185,null,1518,null,4941,null,1197,null,28244,null,1866,null,9872,null,678,null,2268,null,507,null,7604,null,768,null,4543,null,581,null,1361,null,494,null,3182,null,554,null,3061,null,474,null,1083,null,446,null,1978,null,446,null,97599,null,2105,null,38780,null,1616,null,544,null,348,null,38236,null,1632,null,36378,null,1272,null,390,null,261,null,35988,null,1229,null,11004,null,859,null,219,null,230,null,10785,null,863,null,6052,null,825,null,62,null,104,null,5990,null,822,null,5385,null,705,null,113,null,175,null,5272,null,704,null,0400000US04,Arizona,04
12550,null,1542,null,6854,null,1149,null,2562,null,748,null,61,null,96,null,2501,null,731,null,2926,null,726,null,482,null,283,null,2444,null,713,null,767,null,359,null,275,null,187,null,492,null,338,null,406,null,261,null,220,null,211,null,186,null,174,null,193,null,214,null,186,null,214,null,7,null,17,null,5696,null,974,null,1855,null,584,null,0,null,267,null,1855,null,584,null,2448,null,668,null,55,null,71,null,2393,null,671,null,782,null,339,null,0,null,267,null,782,null,339,null,293,null,193,null,0,null,267,null,293,null,193,null,318,null,240,null,0,null,267,null,318,null,240,null,0400000US05,Arkansas,05
203794,null,7571,null,99883,null,4801,null,32857,null,2857,null,1010,null,480,null,31847,null,2750,null,45045,null,3245,null,5967,null,1264,null,39078,null,2866,null,12726,null,1351,null,4634,null,972,null,8092,null,1016,null,5599,null,877,null,2487,null,507,null,3112,null,899,null,3656,null,694,null,2376,null,545,null,1280,null,496,null,103911,null,4668,null,29882,null,2710,null,464,null,439,null,29418,null,2713,null,45541,null,2826,null,661,null,532,null,44880,null,2853,null,15595,null,1579,null,330,null,231,null,15265,null,1590,null,7813,null,1292,null,236,null,235,null,7577,null,1231,null,5080,null,1120,null,0,null,292,null,5080,null,1120,null,0400000US06,California,06
33653,null,2932,null,17546,null,2067,null,6505,null,1400,null,0,null,275,null,6505,null,1400,null,7513,null,1332,null,1788,null,612,null,5725,null,1251,null,2395,null,813,null,1121,null,587,null,1274,null,519,null,906,null,456,null,561,null,379,null,345,null,252,null,227,null,183,null,212,null,186,null,15,null,25,null,16107,null,2124,null,5804,null,1339,null,254,null,241,null,5550,null,1324,null,7396,null,1430,null,480,null,487,null,6916,null,1354,null,1415,null,543,null,168,null,194,null,1247,null,519,null,877,null,376,null,0,null,275,null,877,null,376,null,615,null,321,null,0,null,275,null,615,null,321,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
42407,null,3134,null,20883,null,2498,null,4537,null,1059,null,584,null,512,null,3953,null,955,null,10961,null,1693,null,3056,null,924,null,7905,null,1665,null,2518,null,689,null,1120,null,443,null,1398,null,565,null,1657,null,587,null,976,null,522,null,681,null,341,null,1210,null,593,null,963,null,468,null,247,null,271,null,21524,null,2256,null,4676,null,1284,null,111,null,138,null,4565,null,1272,null,9487,null,1520,null,557,null,439,null,8930,null,1583,null,3461,null,897,null,105,null,187,null,3356,null,882,null,1848,null,1003,null,0,null,303,null,1848,null,1003,null,2052,null,756,null,0,null,303,null,2052,null,756,null,0400000US12,Florida,12
