C17010B_001E,C17010B_001EA,C17010B_001M,C17010B_001MA,C17010B_002E,C17010B_002EA,C17010B_002M,C17010B_002MA,C17010B_003E,C17010B_003EA,C17010B_003M,C17010B_003MA,C17010B_004E,C17010B_004EA,C17010B_004M,C17010B_004MA,C17010B_005E,C17010B_005EA,C17010B_005M,C17010B_005MA,C17010B_006E,C17010B_006EA,C17010B_006M,C17010B_006MA,C17010B_007E,C17010B_007EA,C17010B_007M,C17010B_007MA,C17010B_008E,C17010B_008EA,C17010B_008M,C17010B_008MA,C17010B_009E,C17010B_009EA,C17010B_009M,C17010B_009MA,C17010B_010E,C17010B_010EA,C17010B_010M,C17010B_010MA,C17010B_011E,C17010B_011EA,C17010B_011M,C17010B_011MA,C17010B_012E,C17010B_012EA,C17010B_012M,C17010B_012MA,C17010B_013E,C17010B_013EA,C17010B_013M,C17010B_013MA,C17010B_014E,C17010B_014EA,C17010B_014M,C17010B_014MA,C17010B_015E,C17010B_015EA,C17010B_015M,C17010B_015MA,C17010B_016E,C17010B_016EA,C17010B_016M,C17010B_016MA,C17010B_017E,C17010B_017EA,C17010B_017M,C17010B_017MA,GEO_ID,NAME,state
300040,null,5286,null,82692,null,4681,null,10717,null,1496,null,5924,null,1103,null,71975,null,4575,null,7123,null,1727,null,4831,null,1514,null,64852,null,4114,null,55270,null,3845,null,217348,null,6290,null,120606,null,5650,null,59116,null,3892,null,96742,null,4976,null,20237,null,2426,null,9709,null,1804,null,76505,null,4473,null,47122,null,3658,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
46317,null,2968,null,9476,null,1644,null,1497,null,755,null,867,null,659,null,7979,null,1453,null,1641,null,649,null,1227,null,560,null,6338,null,1324,null,5726,null,1247,null,36841,null,2891,null,21816,null,2265,null,12278,null,1760,null,15025,null,2389,null,3570,null,1223,null,1982,null,932,null,11455,null,2029,null,8345,null,1763,null,0400000US04,Arizona,04
108107,null,3541,null,33706,null,3155,null,6618,null,1275,null,4898,null,1046,null,27088,null,2885,null,2763,null,1125,null,2232,null,953,null,24325,null,2835,null,22301,null,2857,null,74401,null,3487,null,39373,null,3071,null,20450,null,2270,null,35028,null,2707,null,6545,null,1609,null,3233,null,1348,null,28483,null,2426,null,17650,null,1951,null,0400000US05,Arkansas,05
485496,null,7429,null,81545,null,5142,null,11400,null,1844,null,7906,null,1506,null,70145,null,4897,null,8582,null,1551,null,7034,null,1499,null,61563,null,4698,null,53453,null,4552,null,403951,null,8173,null,204459,null,7366,null,99751,null,5664,null,199492,null,5811,null,43416,null,3218,null,24605,null,2615,null,156076,null,5321,null,101710,null,5060,null,0400000US06,California,06
42961,null,2684,null,7394,null,1455,null,1756,null,866,null,1109,null,739,null,5638,null,1238,null,609,null,484,null,519,null,469,null,5029,null,1171,null,4768,null,1160,null,35567,null,2684,null,21274,null,2015,null,11977,null,1412,null,14293,null,2133,null,3429,null,911,null,2393,null,766,null,10864,null,1830,null,8453,null,1711,null,0400000US08,Colorado,08
72924,null,2758,null,10344,null,1858,null,718,null,485,null,687,null,482,null,9626,null,1726,null,978,null,593,null,890,null,583,null,8648,null,1540,null,7148,null,1477,null,62580,null,2826,null,31196,null,2293,null,17275,null,1994,null,31384,null,2418,null,5559,null,1096,null,2981,null,814,null,25825,null,2337,null,17121,null,2047,null,0400000US09,Connecticut,09
44481,null,2494,null,6934,null,1465,null,611,null,393,null,414,null,345,null,6323,null,1452,null,810,null,555,null,583,null,417,null,5513,null,1333,null,4949,null,1326,null,37547,null,2464,null,20208,null,2029,null,9068,null,1604,null,17339,null,2233,null,2917,null,937,null,1665,null,801,null,14422,null,1769,null,10375,null,1746,null,0400000US10,Delaware,10
64133,null,2850,null,12184,null,1727,null,821,null,403,null,432,null,325,null,11363,null,1675,null,601,null,337,null,550,null,349,null,10762,null,1638,null,8402,null,1483,null,51949,null,2859,null,20072,null,2080,null,8730,null,1469,null,31877,null,2667,null,6254,null,1323,null,2731,null,969,null,25623,null,2406,null,16034,null,1829,null,0400000US11,District of Columbia,11
632994,null,9589,null,121037,null,6735,null,21602,null,2935,null,14302,null,2326,null,99435,null,6056,null,9274,null,1665,null,6802,null,1491,null,90161,null,5986,null,80611,null,5718,null,511957,null,8776,null,279107,null,9175,null,147137,null,7111,null,232850,null,7569,null,52104,null,4111,null,28476,null,3161,null,180746,null,6432,null,125062,null,5959,null,0400000US12,Florida,12
