C01001E_001E,C01001E_001EA,C01001E_001M,C01001E_001MA,C01001E_002E,C01001E_002EA,C01001E_002M,C01001E_002MA,C01001E_003E,C01001E_003EA,C01001E_003M,C01001E_003MA,C01001E_004E,C01001E_004EA,C01001E_004M,C01001E_004MA,C01001E_005E,C01001E_005EA,C01001E_005M,C01001E_005MA,C01001E_006E,C01001E_006EA,C01001E_006M,C01001E_006MA,C01001E_007E,C01001E_007EA,C01001E_007M,C01001E_007MA,C01001E_008E,C01001E_008EA,C01001E_008M,C01001E_008MA,C01001E_009E,C01001E_009EA,C01001E_009M,C01001E_009MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
4978,null,1185,null,2611,null,688,null,602,null,372,null,1940,null,474,null,69,null,79,null,2367,null,836,null,712,null,500,null,1590,null,501,null,65,null,74,null,0400000US02,Alaska,02
7701,null,1101,null,3781,null,866,null,538,null,522,null,2978,null,677,null,265,null,237,null,3920,null,631,null,282,null,211,null,3386,null,594,null,252,null,218,null,0400000US04,Arizona,04
2274,null,727,null,825,null,279,null,562,null,347,null,263,null,177,null,0,null,267,null,1449,null,594,null,456,null,96,null,993,null,603,null,0,null,267,null,0400000US05,Arkansas,05
126345,null,4508,null,62415,null,3088,null,14191,null,1675,null,45542,null,2190,null,2682,null,742,null,63930,null,3121,null,14656,null,1910,null,44976,null,1889,null,4298,null,860,null,0400000US06,California,06
3704,null,1104,null,2055,null,847,null,452,null,327,null,1527,null,703,null,76,null,137,null,1649,null,674,null,154,null,225,null,1303,null,611,null,192,null,229,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
10022,null,3001,null,4584,null,1365,null,1328,null,478,null,2794,null,1176,null,462,null,469,null,5438,null,1962,null,1831,null,1509,null,3138,null,1007,null,469,null,416,null,0400000US12,Florida,12
4824,null,2028,null,2019,null,853,null,840,null,448,null,960,null,531,null,219,null,367,null,2805,null,1489,null,1323,null,1077,null,1482,null,674,null,0,null,296,null,0400000US13,Georgia,13
108583,null,3876,null,54096,null,2268,null,15821,null,1186,null,33180,null,1787,null,5095,null,512,null,54487,null,2477,null,14500,null,1347,null,34343,null,1876,null,5644,null,657,null,0400000US15,Hawaii,15
2149,null,860,null,1268,null,709,null,252,null,148,null,1016,null,721,null,0,null,257,null,881,null,320,null,116,null,71,null,765,null,302,null,0,null,257,null,0400000US16,Idaho,16
6074,null,1415,null,2906,null,1000,null,538,null,442,null,2346,null,951,null,22,null,46,null,3168,null,961,null,544,null,473,null,2620,null,873,null,4,null,10,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
2368,null,817,null,1049,null,480,null,287,null,241,null,762,null,389,null,0,null,237,null,1319,null,589,null,402,null,339,null,825,null,368,null,92,null,165,null,0400000US26,Michigan,26
1396,null,715,null,568,null,434,null,273,null,253,null,295,null,288,null,0,null,211,null,828,null,467,null,198,null,155,null,417,null,279,null,213,null,239,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
7669,null,2744,null,3858,null,1431,null,2148,null,1054,null,1710,null,789,null,0,null,255,null,3811,null,1577,null,1771,null,1018,null,2040,null,803,null,0,null,255,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
2945,null,1588,null,1640,null,968,null,831,null,675,null,809,null,399,null,0,null,218,null,1305,null,715,null,518,null,278,null,787,null,509,null,0,null,218,null,0400000US31,Nebraska,31
13691,null,1876,null,6584,null,1119,null,1760,null,583,null,4375,null,784,null,449,null,409,null,7107,null,1337,null,1650,null,718,null,4895,null,1029,null,562,null,519,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US35,New Mexico,35
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US36,New York,36
4172,null,1647,null,2347,null,1030,null,732,null,547,null,1583,null,944,null,32,null,68,null,1825,null,818,null,485,null,400,null,1340,null,574,null,0,null,287,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
3704,null,1709,null,2506,null,1193,null,188,null,203,null,1964,null,1016,null,354,null,376,null,1198,null,792,null,363,null,491,null,689,null,466,null,146,null,135,null,0400000US39,Ohio,39
2694,null,1354,null,1438,null,734,null,237,null,181,null,1142,null,676,null,59,null,103,null,1256,null,900,null,639,null,578,null,617,null,384,null,0,null,246,null,0400000US40,Oklahoma,40
7436,null,965,null,2932,null,711,null,813,null,402,null,2023,null,576,null,96,null,142,null,4504,null,745,null,1306,null,429,null,3104,null,753,null,94,null,96,null,0400000US41,Oregon,41
2636,null,1064,null,1808,null,915,null,278,null,293,null,1360,null,751,null,170,null,204,null,828,null,487,null,263,null,224,null,522,null,387,null,43,null,73,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
17053,null,2260,null,8063,null,1402,null,2974,null,956,null,4870,null,1236,null,219,null,220,null,8990,null,1650,null,2232,null,816,null,6345,null,1250,null,413,null,319,null,0400000US48,Texas,48
21241,null,2324,null,9762,null,1298,null,3108,null,491,null,6503,null,1030,null,151,null,205,null,11479,null,1780,null,3679,null,570,null,7407,null,1573,null,393,null,391,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US51,Virginia,51
27564,null,1432,null,14033,null,1144,null,4473,null,716,null,9060,null,874,null,500,null,357,null,13531,null,1114,null,3217,null,556,null,9414,null,1069,null,900,null,461,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
