B21001B_001E,B21001B_001EA,B21001B_001M,B21001B_001MA,B21001B_002E,B21001B_002EA,B21001B_002M,B21001B_002MA,B21001B_003E,B21001B_003EA,B21001B_003M,B21001B_003MA,B21001B_004E,B21001B_004EA,B21001B_004M,B21001B_004MA,B21001B_005E,B21001B_005EA,B21001B_005M,B21001B_005MA,B21001B_006E,B21001B_006EA,B21001B_006M,B21001B_006MA,B21001B_007E,B21001B_007EA,B21001B_007M,B21001B_007MA,B21001B_008E,B21001B_008EA,B21001B_008M,B21001B_008MA,B21001B_009E,B21001B_009EA,B21001B_009M,B21001B_009MA,B21001B_010E,B21001B_010EA,B21001B_010M,B21001B_010MA,B21001B_011E,B21001B_011EA,B21001B_011M,B21001B_011MA,B21001B_012E,B21001B_012EA,B21001B_012M,B21001B_012MA,B21001B_013E,B21001B_013EA,B21001B_013M,B21001B_013MA,B21001B_014E,B21001B_014EA,B21001B_014M,B21001B_014MA,B21001B_015E,B21001B_015EA,B21001B_015M,B21001B_015MA,B21001B_016E,B21001B_016EA,B21001B_016M,B21001B_016MA,B21001B_017E,B21001B_017EA,B21001B_017M,B21001B_017MA,B21001B_018E,B21001B_018EA,B21001B_018M,B21001B_018MA,B21001B_019E,B21001B_019EA,B21001B_019M,B21001B_019MA,B21001B_020E,B21001B_020EA,B21001B_020M,B21001B_020MA,B21001B_021E,B21001B_021EA,B21001B_021M,B21001B_021MA,B21001B_022E,B21001B_022EA,B21001B_022M,B21001B_022MA,B21001B_023E,B21001B_023EA,B21001B_023M,B21001B_023MA,B21001B_024E,B21001B_024EA,B21001B_024M,B21001B_024MA,B21001B_025E,B21001B_025EA,B21001B_025M,B21001B_025MA,B21001B_026E,B21001B_026EA,B21001B_026M,B21001B_026MA,B21001B_027E,B21001B_027EA,B21001B_027M,B21001B_027MA,B21001B_028E,B21001B_028EA,B21001B_028M,B21001B_028MA,B21001B_029E,B21001B_029EA,B21001B_029M,B21001B_029MA,B21001B_030E,B21001B_030EA,B21001B_030M,B21001B_030MA,B21001B_031E,B21001B_031EA,B21001B_031M,B21001B_031MA,B21001B_032E,B21001B_032EA,B21001B_032M,B21001B_032MA,B21001B_033E,B21001B_033EA,B21001B_033M,B21001B_033MA,GEO_ID,NAME,state
863091,null,3797,null,388295,null,2749,null,148026,null,2429,null,9451,null,1794,null,138575,null,2843,null,149463,null,2391,null,33477,null,2989,null,115986,null,2985,null,47861,null,1516,null,16321,null,1753,null,31540,null,2125,null,26973,null,1568,null,6385,null,997,null,20588,null,1624,null,15972,null,1287,null,6512,null,992,null,9460,null,1395,null,474796,null,2561,null,163973,null,2685,null,3338,null,952,null,160635,null,2757,null,179695,null,2315,null,6723,null,1421,null,172972,null,2651,null,59657,null,1181,null,888,null,453,null,58769,null,1208,null,36567,null,979,null,150,null,149,null,36417,null,970,null,34904,null,1021,null,226,null,170,null,34678,null,1061,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
148940,null,2696,null,77144,null,1906,null,29980,null,1701,null,3013,null,1212,null,26967,null,1786,null,32549,null,1170,null,7888,null,1463,null,24661,null,1582,null,8184,null,546,null,3642,null,879,null,4542,null,827,null,4382,null,367,null,2647,null,649,null,1735,null,590,null,2049,null,328,null,1318,null,355,null,731,null,370,null,71796,null,1559,null,26120,null,1212,null,529,null,350,null,25591,null,1216,null,28625,null,784,null,2330,null,666,null,26295,null,945,null,8901,null,495,null,179,null,203,null,8722,null,570,null,4872,null,492,null,81,null,101,null,4791,null,486,null,3278,null,453,null,94,null,108,null,3184,null,479,null,0400000US04,Arizona,04
304834,null,2362,null,139755,null,2152,null,54786,null,2128,null,3101,null,1166,null,51685,null,2238,null,53619,null,2548,null,11454,null,1915,null,42165,null,3265,null,16143,null,1026,null,5835,null,1023,null,10308,null,1078,null,8758,null,1047,null,1921,null,734,null,6837,null,1056,null,6449,null,842,null,2970,null,799,null,3479,null,675,null,165079,null,1828,null,59080,null,1955,null,444,null,285,null,58636,null,1964,null,62740,null,1935,null,1147,null,594,null,61593,null,2053,null,19628,null,943,null,331,null,335,null,19297,null,1046,null,12629,null,942,null,68,null,117,null,12561,null,925,null,11002,null,852,null,0,null,267,null,11002,null,852,null,0400000US05,Arkansas,05
1636133,null,7145,null,789512,null,4870,null,281496,null,3918,null,13117,null,2243,null,268379,null,4322,null,330950,null,3498,null,62685,null,4336,null,268265,null,5581,null,92471,null,1536,null,32428,null,2450,null,60043,null,2655,null,52314,null,1360,null,27979,null,1932,null,24335,null,1923,null,32281,null,1126,null,18482,null,1295,null,13799,null,1333,null,846621,null,4954,null,274847,null,3380,null,5436,null,1500,null,269411,null,3530,null,342391,null,2734,null,6590,null,1227,null,335801,null,2961,null,107568,null,1781,null,1628,null,621,null,105940,null,1869,null,66999,null,1296,null,910,null,451,null,66089,null,1324,null,54816,null,985,null,348,null,257,null,54468,null,988,null,0400000US06,California,06
129849,null,3022,null,68196,null,2207,null,25766,null,1815,null,1906,null,729,null,23860,null,1735,null,29954,null,1519,null,8619,null,1492,null,21335,null,1955,null,7257,null,479,null,3597,null,752,null,3660,null,729,null,3582,null,601,null,2102,null,530,null,1480,null,489,null,1637,null,545,null,860,null,321,null,777,null,466,null,61653,null,1725,null,22227,null,1348,null,409,null,282,null,21818,null,1414,null,25801,null,1440,null,2105,null,888,null,23696,null,1484,null,6353,null,535,null,174,null,172,null,6179,null,537,null,3787,null,605,null,0,null,275,null,3787,null,605,null,3485,null,714,null,0,null,275,null,3485,null,714,null,0400000US08,Colorado,08
231195,null,3420,null,107331,null,2229,null,41155,null,1835,null,930,null,429,null,40225,null,1851,null,42968,null,1268,null,5335,null,1094,null,37633,null,1573,null,12731,null,668,null,3093,null,734,null,9638,null,747,null,6997,null,581,null,2242,null,644,null,4755,null,734,null,3480,null,182,null,2186,null,425,null,1294,null,407,null,123864,null,2208,null,41430,null,1488,null,409,null,261,null,41021,null,1505,null,50095,null,1097,null,489,null,281,null,49606,null,1119,null,16508,null,615,null,81,null,141,null,16427,null,607,null,9205,null,272,null,148,null,236,null,9057,null,371,null,6626,null,439,null,75,null,125,null,6551,null,449,null,0400000US09,Connecticut,09
126085,null,1625,null,57548,null,1164,null,20518,null,813,null,833,null,567,null,19685,null,820,null,24170,null,691,null,5028,null,1129,null,19142,null,1171,null,7143,null,171,null,2793,null,542,null,4350,null,590,null,3784,null,384,null,1754,null,534,null,2030,null,480,null,1933,null,323,null,1084,null,410,null,849,null,451,null,68537,null,1124,null,22778,null,969,null,380,null,347,null,22398,null,1071,null,28260,null,501,null,792,null,410,null,27468,null,603,null,8764,null,210,null,267,null,220,null,8497,null,290,null,4721,null,63,null,46,null,76,null,4675,null,121,null,4014,null,187,null,0,null,261,null,4014,null,187,null,0400000US10,Delaware,10
243230,null,1956,null,105107,null,1533,null,33920,null,1185,null,2005,null,1068,null,31915,null,1501,null,39981,null,889,null,5462,null,1320,null,34519,null,1589,null,14992,null,187,null,3272,null,921,null,11720,null,941,null,9078,null,195,null,4577,null,636,null,4501,null,625,null,7136,null,117,null,4380,null,619,null,2756,null,621,null,138123,null,1220,null,39742,null,1106,null,93,null,109,null,39649,null,1113,null,49458,null,526,null,1082,null,584,null,48376,null,842,null,20128,null,326,null,98,null,112,null,20030,null,337,null,13537,null,166,null,502,null,457,null,13035,null,474,null,15258,null,360,null,97,null,114,null,15161,null,393,null,0400000US11,District of Columbia,11
1952449,null,9372,null,912575,null,5390,null,358368,null,4719,null,15368,null,2385,null,343000,null,4817,null,362204,null,4886,null,60632,null,4659,null,301572,null,5824,null,104025,null,2085,null,27377,null,2361,null,76648,null,2875,null,54135,null,1580,null,13578,null,1718,null,40557,null,1944,null,33843,null,1505,null,10417,null,1537,null,23426,null,1731,null,1039874,null,5896,null,372512,null,4069,null,6612,null,1481,null,365900,null,4480,null,406349,null,4199,null,9973,null,1842,null,396376,null,4178,null,125692,null,2005,null,2225,null,578,null,123467,null,1977,null,76406,null,1723,null,352,null,286,null,76054,null,1751,null,58915,null,1941,null,203,null,188,null,58712,null,1943,null,0400000US12,Florida,12
