B19101F_001E,B19101F_001EA,B19101F_001M,B19101F_001MA,B19101F_002E,B19101F_002EA,B19101F_002M,B19101F_002MA,B19101F_003E,B19101F_003EA,B19101F_003M,B19101F_003MA,B19101F_004E,B19101F_004EA,B19101F_004M,B19101F_004MA,B19101F_005E,B19101F_005EA,B19101F_005M,B19101F_005MA,B19101F_006E,B19101F_006EA,B19101F_006M,B19101F_006MA,B19101F_007E,B19101F_007EA,B19101F_007M,B19101F_007MA,B19101F_008E,B19101F_008EA,B19101F_008M,B19101F_008MA,B19101F_009E,B19101F_009EA,B19101F_009M,B19101F_009MA,B19101F_010E,B19101F_010EA,B19101F_010M,B19101F_010MA,B19101F_011E,B19101F_011EA,B19101F_011M,B19101F_011MA,B19101F_012E,B19101F_012EA,B19101F_012M,B19101F_012MA,B19101F_013E,B19101F_013EA,B19101F_013M,B19101F_013MA,B19101F_014E,B19101F_014EA,B19101F_014M,B19101F_014MA,B19101F_015E,B19101F_015EA,B19101F_015M,B19101F_015MA,B19101F_016E,B19101F_016EA,B19101F_016M,B19101F_016MA,B19101F_017E,B19101F_017EA,B19101F_017M,B19101F_017MA,GEO_ID,NAME,state
7683,null,1238,null,342,null,233,null,358,null,299,null,463,null,360,null,948,null,629,null,602,null,442,null,641,null,543,null,373,null,307,null,399,null,292,null,592,null,439,null,1210,null,557,null,945,null,505,null,416,null,269,null,154,null,129,null,53,null,81,null,187,null,284,null,0,null,267,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
141943,null,5709,null,11895,null,1980,null,6601,null,1655,null,8945,null,1597,null,11559,null,2154,null,12537,null,2236,null,10573,null,1822,null,8454,null,1611,null,7047,null,1447,null,8068,null,1787,null,13172,null,2114,null,16565,null,2293,null,14908,null,2010,null,5611,null,918,null,2568,null,797,null,1871,null,674,null,1569,null,775,null,0400000US04,Arizona,04
13827,null,1648,null,740,null,423,null,1216,null,670,null,1621,null,762,null,2980,null,1028,null,1451,null,750,null,947,null,595,null,1063,null,505,null,584,null,306,null,865,null,470,null,688,null,320,null,928,null,487,null,481,null,356,null,140,null,152,null,76,null,125,null,0,null,267,null,47,null,79,null,0400000US05,Arkansas,05
1252470,null,16546,null,67638,null,4494,null,56500,null,3837,null,78681,null,3974,null,81269,null,4647,null,79573,null,5479,null,83532,null,4259,null,80307,null,5231,null,74307,null,5503,null,70449,null,4677,null,116739,null,6566,null,146089,null,5962,null,148293,null,6028,null,81367,null,5211,null,39929,null,3375,null,31215,null,2576,null,16582,null,2495,null,0400000US06,California,06
70202,null,4201,null,7214,null,1727,null,3416,null,1097,null,4388,null,1124,null,4795,null,1089,null,3739,null,1311,null,5015,null,1124,null,4530,null,1286,null,4693,null,1069,null,3501,null,733,null,6383,null,1461,null,7379,null,1466,null,8324,null,1357,null,3792,null,837,null,1776,null,819,null,1002,null,480,null,255,null,223,null,0400000US08,Colorado,08
45487,null,3252,null,4332,null,1063,null,2694,null,896,null,3158,null,1038,null,4585,null,1198,null,2709,null,947,null,2879,null,1096,null,2371,null,961,null,2818,null,997,null,3048,null,914,null,3695,null,1055,null,3383,null,898,null,4375,null,1054,null,3577,null,1210,null,747,null,470,null,333,null,307,null,783,null,411,null,0400000US09,Connecticut,09
3905,null,685,null,265,null,301,null,151,null,249,null,463,null,376,null,267,null,206,null,188,null,172,null,403,null,399,null,418,null,341,null,173,null,207,null,414,null,327,null,220,null,186,null,230,null,208,null,308,null,268,null,239,null,256,null,118,null,151,null,48,null,78,null,0,null,261,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
161379,null,6317,null,11470,null,1962,null,7322,null,1761,null,11251,null,1873,null,12806,null,2265,null,11312,null,2313,null,11840,null,1972,null,10552,null,1607,null,11898,null,2082,null,9164,null,1588,null,16186,null,2197,null,15658,null,1986,null,17380,null,2484,null,7011,null,1660,null,2698,null,877,null,2788,null,994,null,2043,null,740,null,0400000US12,Florida,12
