B19001D_001E,B19001D_001EA,B19001D_001M,B19001D_001MA,B19001D_002E,B19001D_002EA,B19001D_002M,B19001D_002MA,B19001D_003E,B19001D_003EA,B19001D_003M,B19001D_003MA,B19001D_004E,B19001D_004EA,B19001D_004M,B19001D_004MA,B19001D_005E,B19001D_005EA,B19001D_005M,B19001D_005MA,B19001D_006E,B19001D_006EA,B19001D_006M,B19001D_006MA,B19001D_007E,B19001D_007EA,B19001D_007M,B19001D_007MA,B19001D_008E,B19001D_008EA,B19001D_008M,B19001D_008MA,B19001D_009E,B19001D_009EA,B19001D_009M,B19001D_009MA,B19001D_010E,B19001D_010EA,B19001D_010M,B19001D_010MA,B19001D_011E,B19001D_011EA,B19001D_011M,B19001D_011MA,B19001D_012E,B19001D_012EA,B19001D_012M,B19001D_012MA,B19001D_013E,B19001D_013EA,B19001D_013M,B19001D_013MA,B19001D_014E,B19001D_014EA,B19001D_014M,B19001D_014MA,B19001D_015E,B19001D_015EA,B19001D_015M,B19001D_015MA,B19001D_016E,B19001D_016EA,B19001D_016M,B19001D_016MA,B19001D_017E,B19001D_017EA,B19001D_017M,B19001D_017MA,GEO_ID,NAME,state
15575,null,1350,null,1944,null,810,null,393,null,285,null,514,null,269,null,889,null,450,null,711,null,379,null,746,null,417,null,474,null,323,null,798,null,426,null,845,null,450,null,1107,null,508,null,1516,null,752,null,1852,null,837,null,1669,null,675,null,522,null,344,null,823,null,430,null,772,null,461,null,0400000US01,Alabama,01
7908,null,949,null,12,null,21,null,424,null,327,null,226,null,180,null,714,null,466,null,177,null,148,null,279,null,178,null,151,null,154,null,449,null,319,null,298,null,264,null,850,null,444,null,1199,null,397,null,899,null,328,null,923,null,559,null,394,null,300,null,521,null,387,null,392,null,265,null,0400000US02,Alaska,02
49167,null,2515,null,3883,null,1133,null,1852,null,627,null,1702,null,620,null,3239,null,1015,null,1560,null,766,null,2321,null,760,null,2274,null,648,null,2116,null,841,null,1423,null,544,null,3896,null,866,null,5422,null,1196,null,6883,null,1068,null,5044,null,1088,null,2275,null,720,null,2505,null,690,null,2772,null,793,null,0400000US04,Arizona,04
8618,null,1035,null,1102,null,524,null,291,null,243,null,310,null,348,null,498,null,335,null,384,null,318,null,115,null,132,null,489,null,361,null,886,null,552,null,591,null,451,null,442,null,424,null,940,null,423,null,1103,null,486,null,378,null,260,null,297,null,261,null,232,null,170,null,560,null,388,null,0400000US05,Arkansas,05
1393254,null,11153,null,83374,null,4506,null,58910,null,3489,null,54279,null,3755,null,49949,null,3321,null,44523,null,3537,null,47874,null,3566,null,45952,null,3700,null,50707,null,4138,null,45520,null,2370,null,92139,null,4956,null,136464,null,5642,null,194436,null,5972,null,155646,null,6074,null,99887,null,4628,null,123440,null,4503,null,110154,null,4401,null,0400000US06,California,06
44629,null,2238,null,3380,null,932,null,1311,null,461,null,3271,null,1078,null,1833,null,759,null,2504,null,947,null,1370,null,774,null,1803,null,756,null,1981,null,677,null,2580,null,867,null,3114,null,936,null,5173,null,1066,null,7416,null,1318,null,2934,null,838,null,1718,null,667,null,2337,null,640,null,1904,null,687,null,0400000US08,Colorado,08
40709,null,1991,null,1809,null,721,null,1922,null,811,null,1448,null,690,null,1852,null,829,null,1567,null,679,null,1000,null,505,null,1314,null,571,null,1101,null,490,null,1575,null,858,null,2605,null,786,null,4615,null,923,null,5597,null,1186,null,3949,null,953,null,2781,null,842,null,3231,null,725,null,4343,null,831,null,0400000US09,Connecticut,09
9147,null,948,null,510,null,487,null,65,null,110,null,169,null,196,null,99,null,111,null,276,null,207,null,395,null,291,null,269,null,225,null,554,null,377,null,290,null,243,null,751,null,434,null,736,null,442,null,1263,null,468,null,1074,null,484,null,1104,null,626,null,1217,null,499,null,375,null,241,null,0400000US10,Delaware,10
8113,null,1119,null,565,null,479,null,479,null,359,null,38,null,75,null,313,null,282,null,284,null,298,null,224,null,206,null,393,null,306,null,728,null,406,null,68,null,123,null,298,null,262,null,560,null,391,null,1459,null,586,null,508,null,285,null,847,null,439,null,793,null,589,null,556,null,321,null,0400000US11,District of Columbia,11
131019,null,4092,null,8998,null,1595,null,4914,null,1143,null,5411,null,1392,null,5476,null,1143,null,6411,null,1407,null,6698,null,1379,null,6413,null,1351,null,5748,null,1319,null,5838,null,1444,null,11111,null,1642,null,16236,null,1878,null,16111,null,1768,null,11475,null,1442,null,6074,null,1203,null,7484,null,1245,null,6621,null,1114,null,0400000US12,Florida,12
