B05003G_001E,B05003G_001EA,B05003G_001M,B05003G_001MA,B05003G_002E,B05003G_002EA,B05003G_002M,B05003G_002MA,B05003G_003E,B05003G_003EA,B05003G_003M,B05003G_003MA,B05003G_004E,B05003G_004EA,B05003G_004M,B05003G_004MA,B05003G_005E,B05003G_005EA,B05003G_005M,B05003G_005MA,B05003G_006E,B05003G_006EA,B05003G_006M,B05003G_006MA,B05003G_007E,B05003G_007EA,B05003G_007M,B05003G_007MA,B05003G_008E,B05003G_008EA,B05003G_008M,B05003G_008MA,B05003G_009E,B05003G_009EA,B05003G_009M,B05003G_009MA,B05003G_010E,B05003G_010EA,B05003G_010M,B05003G_010MA,B05003G_011E,B05003G_011EA,B05003G_011M,B05003G_011MA,B05003G_012E,B05003G_012EA,B05003G_012M,B05003G_012MA,B05003G_013E,B05003G_013EA,B05003G_013M,B05003G_013MA,B05003G_014E,B05003G_014EA,B05003G_014M,B05003G_014MA,B05003G_015E,B05003G_015EA,B05003G_015M,B05003G_015MA,B05003G_016E,B05003G_016EA,B05003G_016M,B05003G_016MA,B05003G_017E,B05003G_017EA,B05003G_017M,B05003G_017MA,B05003G_018E,B05003G_018EA,B05003G_018M,B05003G_018MA,B05003G_019E,B05003G_019EA,B05003G_019M,B05003G_019MA,B05003G_020E,B05003G_020EA,B05003G_020M,B05003G_020MA,B05003G_021E,B05003G_021EA,B05003G_021M,B05003G_021MA,B05003G_022E,B05003G_022EA,B05003G_022M,B05003G_022MA,B05003G_023E,B05003G_023EA,B05003G_023M,B05003G_023MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
154375,null,9650,null,75003,null,5814,null,40833,null,3896,null,40465,null,3904,null,368,null,257,null,93,null,126,null,275,null,227,null,34170,null,3186,null,30897,null,3054,null,3273,null,864,null,1534,null,582,null,1739,null,688,null,79372,null,5615,null,42394,null,3970,null,42010,null,3970,null,384,null,274,null,36,null,57,null,348,null,285,null,36978,null,3213,null,33517,null,3078,null,3461,null,785,null,2049,null,554,null,1412,null,487,null,0400000US04,Arizona,04
48272,null,4478,null,24057,null,2768,null,11798,null,1899,null,11226,null,1769,null,572,null,605,null,0,null,267,null,572,null,605,null,12259,null,1720,null,11516,null,1631,null,743,null,495,null,34,null,56,null,709,null,491,null,24215,null,2639,null,10757,null,1874,null,10548,null,1847,null,209,null,229,null,0,null,267,null,209,null,229,null,13458,null,1603,null,12371,null,1508,null,1087,null,527,null,220,null,183,null,867,null,536,null,0400000US05,Arkansas,05
1262386,null,26412,null,645423,null,15936,null,319856,null,10266,null,317040,null,10234,null,2816,null,824,null,800,null,477,null,2016,null,641,null,325567,null,9840,null,274130,null,9119,null,51437,null,4023,null,27711,null,2685,null,23726,null,2966,null,616963,null,15730,null,289410,null,11997,null,286386,null,12061,null,3024,null,763,null,979,null,414,null,2045,null,613,null,327553,null,9945,null,272784,null,8818,null,54769,null,4530,null,29763,null,3115,null,25006,null,2510,null,0400000US06,California,06
126857,null,7050,null,63365,null,4552,null,30869,null,2693,null,30761,null,2718,null,108,null,186,null,108,null,186,null,0,null,275,null,32496,null,3570,null,30189,null,3450,null,2307,null,864,null,1337,null,634,null,970,null,542,null,63492,null,4677,null,30139,null,3266,null,29788,null,3280,null,351,null,296,null,0,null,275,null,351,null,296,null,33353,null,3149,null,30816,null,3043,null,2537,null,865,null,1639,null,671,null,898,null,571,null,0400000US08,Colorado,08
70806,null,5485,null,35117,null,3354,null,17869,null,2369,null,17678,null,2380,null,191,null,213,null,16,null,28,null,175,null,212,null,17248,null,2489,null,14904,null,2254,null,2344,null,857,null,1491,null,666,null,853,null,468,null,35689,null,3869,null,16903,null,2605,null,16641,null,2575,null,262,null,233,null,112,null,133,null,150,null,183,null,18786,null,2533,null,15768,null,2307,null,3018,null,941,null,1732,null,677,null,1286,null,641,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
316274,null,13049,null,157574,null,7268,null,70951,null,4591,null,69065,null,4474,null,1886,null,1130,null,409,null,277,null,1477,null,1065,null,86623,null,4841,null,62257,null,3791,null,24366,null,3086,null,12874,null,2167,null,11492,null,2488,null,158700,null,8347,null,69430,null,5023,null,66483,null,4725,null,2947,null,1166,null,683,null,420,null,2264,null,1060,null,89270,null,5341,null,61104,null,4007,null,28166,null,2994,null,15997,null,2076,null,12169,null,2407,null,0400000US12,Florida,12
