B16005B_001E,B16005B_001EA,B16005B_001M,B16005B_001MA,B16005B_002E,B16005B_002EA,B16005B_002M,B16005B_002MA,B16005B_003E,B16005B_003EA,B16005B_003M,B16005B_003MA,B16005B_004E,B16005B_004EA,B16005B_004M,B16005B_004MA,B16005B_005E,B16005B_005EA,B16005B_005M,B16005B_005MA,B16005B_006E,B16005B_006EA,B16005B_006M,B16005B_006MA,B16005B_007E,B16005B_007EA,B16005B_007M,B16005B_007MA,B16005B_008E,B16005B_008EA,B16005B_008M,B16005B_008MA,B16005B_009E,B16005B_009EA,B16005B_009M,B16005B_009MA,B16005B_010E,B16005B_010EA,B16005B_010M,B16005B_010MA,B16005B_011E,B16005B_011EA,B16005B_011M,B16005B_011MA,B16005B_012E,B16005B_012EA,B16005B_012M,B16005B_012MA,B16005B_013E,B16005B_013EA,B16005B_013M,B16005B_013MA,B16005B_014E,B16005B_014EA,B16005B_014M,B16005B_014MA,B16005B_015E,B16005B_015EA,B16005B_015M,B16005B_015MA,B16005B_016E,B16005B_016EA,B16005B_016M,B16005B_016MA,B16005B_017E,B16005B_017EA,B16005B_017M,B16005B_017MA,B16005B_018E,B16005B_018EA,B16005B_018M,B16005B_018MA,B16005B_019E,B16005B_019EA,B16005B_019M,B16005B_019MA,B16005B_020E,B16005B_020EA,B16005B_020M,B16005B_020MA,B16005B_021E,B16005B_021EA,B16005B_021M,B16005B_021MA,B16005B_022E,B16005B_022EA,B16005B_022M,B16005B_022MA,B16005B_023E,B16005B_023EA,B16005B_023M,B16005B_023MA,B16005B_024E,B16005B_024EA,B16005B_024M,B16005B_024MA,B16005B_025E,B16005B_025EA,B16005B_025M,B16005B_025MA,B16005B_026E,B16005B_026EA,B16005B_026M,B16005B_026MA,B16005B_027E,B16005B_027EA,B16005B_027M,B16005B_027MA,B16005B_028E,B16005B_028EA,B16005B_028M,B16005B_028MA,B16005B_029E,B16005B_029EA,B16005B_029M,B16005B_029MA,B16005B_030E,B16005B_030EA,B16005B_030M,B16005B_030MA,B16005B_031E,B16005B_031EA,B16005B_031M,B16005B_031MA,B16005B_032E,B16005B_032EA,B16005B_032M,B16005B_032MA,B16005B_033E,B16005B_033EA,B16005B_033M,B16005B_033MA,B16005B_034E,B16005B_034EA,B16005B_034M,B16005B_034MA,B16005B_035E,B16005B_035EA,B16005B_035M,B16005B_035MA,B16005B_036E,B16005B_036EA,B16005B_036M,B16005B_036MA,B16005B_037E,B16005B_037EA,B16005B_037M,B16005B_037MA,B16005B_038E,B16005B_038EA,B16005B_038M,B16005B_038MA,B16005B_039E,B16005B_039EA,B16005B_039M,B16005B_039MA,B16005B_040E,B16005B_040EA,B16005B_040M,B16005B_040MA,B16005B_041E,B16005B_041EA,B16005B_041M,B16005B_041MA,B16005B_042E,B16005B_042EA,B16005B_042M,B16005B_042MA,B16005B_043E,B16005B_043EA,B16005B_043M,B16005B_043MA,B16005B_044E,B16005B_044EA,B16005B_044M,B16005B_044MA,B16005B_045E,B16005B_045EA,B16005B_045M,B16005B_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
2106429,null,11238,null,1971111,null,14120,null,1901031,null,15012,null,43237,null,3842,null,36996,null,3634,null,4775,null,1334,null,1264,null,419,null,202,null,198,null,12303,null,2476,null,11798,null,2418,null,344,null,258,null,83,null,129,null,78,null,132,null,4047,null,1346,null,3444,null,1250,null,555,null,421,null,48,null,77,null,0,null,292,null,10493,null,2763,null,9101,null,2653,null,876,null,449,null,478,null,471,null,38,null,63,null,135318,null,9978,null,47332,null,4674,null,16965,null,3049,null,7874,null,1825,null,2733,null,775,null,3618,null,1309,null,2740,null,1254,null,12564,null,2685,null,9201,null,2230,null,1831,null,732,null,1194,null,887,null,338,null,560,null,2491,null,1051,null,1085,null,674,null,781,null,450,null,553,null,510,null,72,null,119,null,55966,null,7239,null,36967,null,5544,null,13311,null,3041,null,4740,null,1361,null,948,null,623,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
302912,null,4757,null,237626,null,6860,null,224110,null,7084,null,8738,null,1891,null,6461,null,1536,null,800,null,433,null,565,null,354,null,912,null,649,null,3944,null,1162,null,3785,null,1154,null,159,null,161,null,0,null,273,null,0,null,273,null,111,null,117,null,70,null,99,null,41,null,68,null,0,null,273,null,0,null,273,null,723,null,450,null,678,null,447,null,45,null,76,null,0,null,273,null,0,null,273,null,65286,null,5948,null,43296,null,5267,null,557,null,451,null,274,null,246,null,40,null,67,null,243,null,284,null,0,null,273,null,14572,null,3002,null,8548,null,2133,null,4044,null,1544,null,1410,null,705,null,570,null,512,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,6861,null,2225,null,4265,null,1483,null,1431,null,677,null,767,null,598,null,398,null,370,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
2559710,null,12997,null,2015515,null,16632,null,1881300,null,18032,null,44113,null,4995,null,32125,null,3949,null,7877,null,1850,null,3246,null,1107,null,865,null,763,null,87530,null,7511,null,75152,null,6887,null,10315,null,2936,null,1482,null,740,null,581,null,420,null,958,null,498,null,759,null,438,null,45,null,76,null,154,null,205,null,0,null,303,null,1614,null,724,null,1614,null,724,null,0,null,303,null,0,null,303,null,0,null,303,null,544195,null,15326,null,239187,null,10094,null,46828,null,6539,null,16371,null,2924,null,10112,null,2288,null,11187,null,2197,null,9158,null,2542,null,244200,null,11382,null,93762,null,6864,null,75700,null,5993,null,59129,null,5101,null,15609,null,3025,null,1453,null,923,null,1453,null,923,null,0,null,303,null,0,null,303,null,0,null,303,null,12527,null,3128,null,9971,null,2672,null,1941,null,735,null,200,null,328,null,415,null,452,null,0400000US12,Florida,12
