C07401PR_001E,C07401PR_001EA,C07401PR_001M,C07401PR_001MA,C07401PR_002E,C07401PR_002EA,C07401PR_002M,C07401PR_002MA,C07401PR_003E,C07401PR_003EA,C07401PR_003M,C07401PR_003MA,C07401PR_004E,C07401PR_004EA,C07401PR_004M,C07401PR_004MA,C07401PR_005E,C07401PR_005EA,C07401PR_005M,C07401PR_005MA,C07401PR_006E,C07401PR_006EA,C07401PR_006M,C07401PR_006MA,C07401PR_007E,C07401PR_007EA,C07401PR_007M,C07401PR_007MA,C07401PR_008E,C07401PR_008EA,C07401PR_008M,C07401PR_008MA,C07401PR_009E,C07401PR_009EA,C07401PR_009M,C07401PR_009MA,C07401PR_010E,C07401PR_010EA,C07401PR_010M,C07401PR_010MA,C07401PR_011E,C07401PR_011EA,C07401PR_011M,C07401PR_011MA,C07401PR_012E,C07401PR_012EA,C07401PR_012M,C07401PR_012MA,C07401PR_013E,C07401PR_013EA,C07401PR_013M,C07401PR_013MA,C07401PR_014E,C07401PR_014EA,C07401PR_014M,C07401PR_014MA,C07401PR_015E,C07401PR_015EA,C07401PR_015M,C07401PR_015MA,C07401PR_016E,C07401PR_016EA,C07401PR_016M,C07401PR_016MA,C07401PR_017E,C07401PR_017EA,C07401PR_017M,C07401PR_017MA,C07401PR_018E,C07401PR_018EA,C07401PR_018M,C07401PR_018MA,C07401PR_019E,C07401PR_019EA,C07401PR_019M,C07401PR_019MA,C07401PR_020E,C07401PR_020EA,C07401PR_020M,C07401PR_020MA,C07401PR_021E,C07401PR_021EA,C07401PR_021M,C07401PR_021MA,C07401PR_022E,C07401PR_022EA,C07401PR_022M,C07401PR_022MA,C07401PR_023E,C07401PR_023EA,C07401PR_023M,C07401PR_023MA,C07401PR_024E,C07401PR_024EA,C07401PR_024M,C07401PR_024MA,C07401PR_025E,C07401PR_025EA,C07401PR_025M,C07401PR_025MA,C07401PR_026E,C07401PR_026EA,C07401PR_026M,C07401PR_026MA,C07401PR_027E,C07401PR_027EA,C07401PR_027M,C07401PR_027MA,C07401PR_028E,C07401PR_028EA,C07401PR_028M,C07401PR_028MA,C07401PR_029E,C07401PR_029EA,C07401PR_029M,C07401PR_029MA,C07401PR_030E,C07401PR_030EA,C07401PR_030M,C07401PR_030MA,C07401PR_031E,C07401PR_031EA,C07401PR_031M,C07401PR_031MA,C07401PR_032E,C07401PR_032EA,C07401PR_032M,C07401PR_032MA,C07401PR_033E,C07401PR_033EA,C07401PR_033M,C07401PR_033MA,C07401PR_034E,C07401PR_034EA,C07401PR_034M,C07401PR_034MA,C07401PR_035E,C07401PR_035EA,C07401PR_035M,C07401PR_035MA,C07401PR_036E,C07401PR_036EA,C07401PR_036M,C07401PR_036MA,C07401PR_037E,C07401PR_037EA,C07401PR_037M,C07401PR_037MA,C07401PR_038E,C07401PR_038EA,C07401PR_038M,C07401PR_038MA,C07401PR_039E,C07401PR_039EA,C07401PR_039M,C07401PR_039MA,C07401PR_040E,C07401PR_040EA,C07401PR_040M,C07401PR_040MA,C07401PR_041E,C07401PR_041EA,C07401PR_041M,C07401PR_041MA,C07401PR_042E,C07401PR_042EA,C07401PR_042M,C07401PR_042MA,C07401PR_043E,C07401PR_043EA,C07401PR_043M,C07401PR_043MA,C07401PR_044E,C07401PR_044EA,C07401PR_044M,C07401PR_044MA,C07401PR_045E,C07401PR_045EA,C07401PR_045M,C07401PR_045MA,C07401PR_046E,C07401PR_046EA,C07401PR_046M,C07401PR_046MA,C07401PR_047E,C07401PR_047EA,C07401PR_047M,C07401PR_047MA,C07401PR_048E,C07401PR_048EA,C07401PR_048M,C07401PR_048MA,C07401PR_049E,C07401PR_049EA,C07401PR_049M,C07401PR_049MA,C07401PR_050E,C07401PR_050EA,C07401PR_050M,C07401PR_050MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US12,Florida,12
