C19037F_001E,C19037F_001EA,C19037F_001M,C19037F_001MA,C19037F_002E,C19037F_002EA,C19037F_002M,C19037F_002MA,C19037F_003E,C19037F_003EA,C19037F_003M,C19037F_003MA,C19037F_004E,C19037F_004EA,C19037F_004M,C19037F_004MA,C19037F_005E,C19037F_005EA,C19037F_005M,C19037F_005MA,C19037F_006E,C19037F_006EA,C19037F_006M,C19037F_006MA,C19037F_007E,C19037F_007EA,C19037F_007M,C19037F_007MA,C19037F_008E,C19037F_008EA,C19037F_008M,C19037F_008MA,C19037F_009E,C19037F_009EA,C19037F_009M,C19037F_009MA,C19037F_010E,C19037F_010EA,C19037F_010M,C19037F_010MA,C19037F_011E,C19037F_011EA,C19037F_011M,C19037F_011MA,C19037F_012E,C19037F_012EA,C19037F_012M,C19037F_012MA,C19037F_013E,C19037F_013EA,C19037F_013M,C19037F_013MA,C19037F_014E,C19037F_014EA,C19037F_014M,C19037F_014MA,C19037F_015E,C19037F_015EA,C19037F_015M,C19037F_015MA,C19037F_016E,C19037F_016EA,C19037F_016M,C19037F_016MA,C19037F_017E,C19037F_017EA,C19037F_017M,C19037F_017MA,C19037F_018E,C19037F_018EA,C19037F_018M,C19037F_018MA,C19037F_019E,C19037F_019EA,C19037F_019M,C19037F_019MA,C19037F_020E,C19037F_020EA,C19037F_020M,C19037F_020MA,C19037F_021E,C19037F_021EA,C19037F_021M,C19037F_021MA,C19037F_022E,C19037F_022EA,C19037F_022M,C19037F_022MA,C19037F_023E,C19037F_023EA,C19037F_023M,C19037F_023MA,C19037F_024E,C19037F_024EA,C19037F_024M,C19037F_024MA,C19037F_025E,C19037F_025EA,C19037F_025M,C19037F_025MA,C19037F_026E,C19037F_026EA,C19037F_026M,C19037F_026MA,C19037F_027E,C19037F_027EA,C19037F_027M,C19037F_027MA,C19037F_028E,C19037F_028EA,C19037F_028M,C19037F_028MA,C19037F_029E,C19037F_029EA,C19037F_029M,C19037F_029MA,C19037F_030E,C19037F_030EA,C19037F_030M,C19037F_030MA,C19037F_031E,C19037F_031EA,C19037F_031M,C19037F_031MA,C19037F_032E,C19037F_032EA,C19037F_032M,C19037F_032MA,C19037F_033E,C19037F_033EA,C19037F_033M,C19037F_033MA,C19037F_034E,C19037F_034EA,C19037F_034M,C19037F_034MA,C19037F_035E,C19037F_035EA,C19037F_035M,C19037F_035MA,C19037F_036E,C19037F_036EA,C19037F_036M,C19037F_036MA,C19037F_037E,C19037F_037EA,C19037F_037M,C19037F_037MA,C19037F_038E,C19037F_038EA,C19037F_038M,C19037F_038MA,C19037F_039E,C19037F_039EA,C19037F_039M,C19037F_039MA,C19037F_040E,C19037F_040EA,C19037F_040M,C19037F_040MA,C19037F_041E,C19037F_041EA,C19037F_041M,C19037F_041MA,C19037F_042E,C19037F_042EA,C19037F_042M,C19037F_042MA,C19037F_043E,C19037F_043EA,C19037F_043M,C19037F_043MA,C19037F_044E,C19037F_044EA,C19037F_044M,C19037F_044MA,C19037F_045E,C19037F_045EA,C19037F_045M,C19037F_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
180017,null,5986,null,12114,null,1732,null,2022,null,965,null,1074,null,554,null,2707,null,1050,null,1322,null,517,null,2546,null,873,null,1900,null,848,null,279,null,231,null,227,null,281,null,0,null,292,null,37,null,60,null,101428,null,4738,null,7067,null,1675,null,4958,null,1364,null,15103,null,2541,null,18917,null,2356,null,18320,null,2321,null,17772,null,2438,null,11871,null,2067,null,5038,null,1152,null,1284,null,652,null,1098,null,609,null,52886,null,3213,null,2891,null,898,null,4304,null,1155,null,7248,null,1393,null,6256,null,1402,null,9021,null,1577,null,12948,null,1937,null,5458,null,1109,null,3826,null,841,null,635,null,326,null,299,null,174,null,13589,null,1698,null,2077,null,778,null,1477,null,588,null,1979,null,610,null,2481,null,702,null,1958,null,824,null,2174,null,759,null,844,null,409,null,207,null,159,null,118,null,136,null,274,null,359,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
1494492,null,16747,null,83253,null,3976,null,7710,null,1328,null,6864,null,1538,null,14783,null,1977,null,12179,null,1975,null,16303,null,2157,null,13157,null,1867,null,7279,null,1515,null,3847,null,1159,null,739,null,509,null,392,null,360,null,835883,null,13732,null,36521,null,3653,null,35399,null,3209,null,100001,null,5279,null,109616,null,6872,null,153994,null,7352,null,188398,null,7930,null,101622,null,4983,null,79559,null,4669,null,20322,null,2120,null,10451,null,1978,null,465918,null,9288,null,20573,null,2730,null,19088,null,2086,null,45684,null,3865,null,55509,null,3721,null,80905,null,4932,null,98160,null,5112,null,59954,null,3717,null,60328,null,3686,null,16308,null,2053,null,9409,null,1802,null,109438,null,5075,null,14737,null,2007,null,16350,null,2395,null,21439,null,2547,null,11559,null,1710,null,15376,null,2186,null,13802,null,2067,null,6879,null,1352,null,6129,null,1372,null,1932,null,652,null,1235,null,578,null,0400000US06,California,06
90769,null,4518,null,6662,null,1365,null,787,null,478,null,513,null,316,null,1434,null,710,null,1631,null,590,null,1069,null,512,null,812,null,483,null,332,null,282,null,57,null,90,null,0,null,275,null,27,null,45,null,48835,null,3830,null,4963,null,1360,null,2030,null,965,null,6944,null,1701,null,6634,null,1364,null,7251,null,1433,null,11371,null,1544,null,5194,null,1213,null,3831,null,947,null,551,null,345,null,66,null,111,null,28941,null,2594,null,3083,null,1064,null,1166,null,500,null,3354,null,862,null,3107,null,895,null,6209,null,1116,null,5059,null,1094,null,4039,null,1033,null,2389,null,873,null,373,null,249,null,162,null,199,null,6331,null,1057,null,829,null,436,null,672,null,341,null,1515,null,477,null,1142,null,512,null,651,null,309,null,759,null,314,null,529,null,279,null,94,null,110,null,140,null,163,null,0,null,275,null,0400000US08,Colorado,08
59011,null,3510,null,3814,null,947,null,713,null,459,null,168,null,213,null,1046,null,472,null,378,null,331,null,684,null,486,null,825,null,444,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,34711,null,2665,null,2767,null,724,null,2431,null,884,null,5209,null,1136,null,3492,null,1021,null,6970,null,1466,null,6141,null,1473,null,4115,null,1020,null,2432,null,859,null,332,null,295,null,822,null,431,null,17272,null,1911,null,1811,null,737,null,611,null,415,null,2370,null,939,null,1619,null,631,null,2271,null,733,null,3832,null,988,null,1474,null,614,null,2931,null,1017,null,123,null,150,null,230,null,301,null,3214,null,826,null,1329,null,599,null,697,null,482,null,517,null,456,null,210,null,279,null,239,null,225,null,0,null,273,null,130,null,155,null,42,null,71,null,50,null,84,null,0,null,273,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
208959,null,6672,null,15904,null,1980,null,1656,null,674,null,1364,null,690,null,2507,null,960,null,2390,null,711,null,3108,null,889,null,2902,null,1070,null,763,null,353,null,1018,null,629,null,0,null,303,null,196,null,278,null,118665,null,5831,null,6701,null,1694,null,3882,null,1198,null,14369,null,2366,null,18255,null,2781,null,22034,null,2732,null,26689,null,3023,null,14591,null,2449,null,9087,null,1866,null,1962,null,885,null,1095,null,610,null,60680,null,4458,null,4416,null,1256,null,3482,null,1137,null,8469,null,1800,null,7435,null,1495,null,10762,null,1736,null,12679,null,1805,null,7781,null,1676,null,3698,null,1048,null,1089,null,525,null,869,null,502,null,13710,null,1719,null,2525,null,748,null,1907,null,750,null,3058,null,914,null,1606,null,664,null,2486,null,773,null,1055,null,543,null,289,null,218,null,491,null,312,null,243,null,308,null,50,null,84,null,0400000US12,Florida,12
