B16005H_001E,B16005H_001EA,B16005H_001M,B16005H_001MA,B16005H_002E,B16005H_002EA,B16005H_002M,B16005H_002MA,B16005H_003E,B16005H_003EA,B16005H_003M,B16005H_003MA,B16005H_004E,B16005H_004EA,B16005H_004M,B16005H_004MA,B16005H_005E,B16005H_005EA,B16005H_005M,B16005H_005MA,B16005H_006E,B16005H_006EA,B16005H_006M,B16005H_006MA,B16005H_007E,B16005H_007EA,B16005H_007M,B16005H_007MA,B16005H_008E,B16005H_008EA,B16005H_008M,B16005H_008MA,B16005H_009E,B16005H_009EA,B16005H_009M,B16005H_009MA,B16005H_010E,B16005H_010EA,B16005H_010M,B16005H_010MA,B16005H_011E,B16005H_011EA,B16005H_011M,B16005H_011MA,B16005H_012E,B16005H_012EA,B16005H_012M,B16005H_012MA,B16005H_013E,B16005H_013EA,B16005H_013M,B16005H_013MA,B16005H_014E,B16005H_014EA,B16005H_014M,B16005H_014MA,B16005H_015E,B16005H_015EA,B16005H_015M,B16005H_015MA,B16005H_016E,B16005H_016EA,B16005H_016M,B16005H_016MA,B16005H_017E,B16005H_017EA,B16005H_017M,B16005H_017MA,B16005H_018E,B16005H_018EA,B16005H_018M,B16005H_018MA,B16005H_019E,B16005H_019EA,B16005H_019M,B16005H_019MA,B16005H_020E,B16005H_020EA,B16005H_020M,B16005H_020MA,B16005H_021E,B16005H_021EA,B16005H_021M,B16005H_021MA,B16005H_022E,B16005H_022EA,B16005H_022M,B16005H_022MA,B16005H_023E,B16005H_023EA,B16005H_023M,B16005H_023MA,B16005H_024E,B16005H_024EA,B16005H_024M,B16005H_024MA,B16005H_025E,B16005H_025EA,B16005H_025M,B16005H_025MA,B16005H_026E,B16005H_026EA,B16005H_026M,B16005H_026MA,B16005H_027E,B16005H_027EA,B16005H_027M,B16005H_027MA,B16005H_028E,B16005H_028EA,B16005H_028M,B16005H_028MA,B16005H_029E,B16005H_029EA,B16005H_029M,B16005H_029MA,B16005H_030E,B16005H_030EA,B16005H_030M,B16005H_030MA,B16005H_031E,B16005H_031EA,B16005H_031M,B16005H_031MA,B16005H_032E,B16005H_032EA,B16005H_032M,B16005H_032MA,B16005H_033E,B16005H_033EA,B16005H_033M,B16005H_033MA,B16005H_034E,B16005H_034EA,B16005H_034M,B16005H_034MA,B16005H_035E,B16005H_035EA,B16005H_035M,B16005H_035MA,B16005H_036E,B16005H_036EA,B16005H_036M,B16005H_036MA,B16005H_037E,B16005H_037EA,B16005H_037M,B16005H_037MA,B16005H_038E,B16005H_038EA,B16005H_038M,B16005H_038MA,B16005H_039E,B16005H_039EA,B16005H_039M,B16005H_039MA,B16005H_040E,B16005H_040EA,B16005H_040M,B16005H_040MA,B16005H_041E,B16005H_041EA,B16005H_041M,B16005H_041MA,B16005H_042E,B16005H_042EA,B16005H_042M,B16005H_042MA,B16005H_043E,B16005H_043EA,B16005H_043M,B16005H_043MA,B16005H_044E,B16005H_044EA,B16005H_044M,B16005H_044MA,B16005H_045E,B16005H_045EA,B16005H_045M,B16005H_045MA,GEO_ID,NAME,state
2992167,null,3065,null,2959715,null,4672,null,2920015,null,6154,null,21961,null,3134,null,17400,null,2798,null,1995,null,626,null,2422,null,818,null,144,null,170,null,14222,null,1895,null,11613,null,1606,null,1673,null,701,null,936,null,422,null,0,null,267,null,1733,null,619,null,1275,null,547,null,16,null,27,null,442,null,365,null,0,null,267,null,1784,null,901,null,1641,null,895,null,38,null,62,null,105,null,123,null,0,null,267,null,32452,null,3280,null,16337,null,2150,null,309,null,285,null,210,null,261,null,0,null,267,null,53,null,88,null,46,null,79,null,10925,null,1938,null,7583,null,1349,null,1424,null,550,null,1841,null,1188,null,77,null,130,null,485,null,329,null,295,null,242,null,138,null,133,null,0,null,267,null,52,null,88,null,4396,null,2210,null,1617,null,851,null,984,null,698,null,1590,null,1286,null,205,null,333,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
3524122,null,2797,null,3358085,null,9975,null,3250271,null,12202,null,54109,null,3673,null,46392,null,3361,null,4507,null,805,null,3210,null,774,null,0,null,292,null,42298,null,3977,null,37951,null,3975,null,2806,null,756,null,1541,null,567,null,0,null,292,null,4265,null,1045,null,3969,null,1003,null,249,null,202,null,47,null,78,null,0,null,292,null,7142,null,2068,null,6720,null,2044,null,223,null,216,null,199,null,268,null,0,null,292,null,166037,null,9231,null,81804,null,4930,null,3727,null,1257,null,2136,null,959,null,854,null,526,null,479,null,315,null,258,null,308,null,61987,null,6479,null,39437,null,4204,null,13573,null,2670,null,7157,null,1744,null,1820,null,1180,null,2951,null,1310,null,1312,null,763,null,665,null,512,null,866,null,727,null,108,null,177,null,15568,null,3791,null,8921,null,2229,null,4695,null,1674,null,1652,null,681,null,300,null,324,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
14773887,null,7847,null,13430959,null,22189,null,12785783,null,27759,null,257434,null,9913,null,219444,null,9143,null,21025,null,2133,null,16386,null,1872,null,579,null,338,null,302147,null,11512,null,268738,null,11289,null,22120,null,2207,null,10649,null,1555,null,640,null,314,null,27044,null,2760,null,23452,null,2671,null,1875,null,644,null,1666,null,543,null,51,null,84,null,58551,null,6736,null,53924,null,6404,null,3024,null,1122,null,1297,null,699,null,306,null,368,null,1342928,null,21110,null,445205,null,10723,null,33482,null,3479,null,20334,null,2653,null,6199,null,1359,null,4512,null,1235,null,2437,null,1145,null,705667,null,17251,null,387989,null,12847,null,172973,null,6705,null,104213,null,6693,null,40492,null,4868,null,23009,null,3781,null,12687,null,2382,null,5564,null,1544,null,3937,null,1439,null,821,null,728,null,135565,null,8795,null,81551,null,6665,null,37368,null,3909,null,13934,null,2295,null,2712,null,1088,null,0400000US06,California,06
3259632,null,2349,null,3155029,null,7324,null,3059431,null,10566,null,47010,null,3832,null,37704,null,3427,null,4510,null,1008,null,4730,null,1222,null,66,null,107,null,42919,null,3769,null,36278,null,3359,null,4123,null,1147,null,2274,null,707,null,244,null,312,null,3196,null,1009,null,2824,null,888,null,43,null,72,null,329,null,414,null,0,null,275,null,2473,null,754,null,2309,null,743,null,130,null,153,null,34,null,61,null,0,null,275,null,104603,null,6794,null,44115,null,3724,null,3105,null,1762,null,2222,null,1480,null,328,null,398,null,364,null,331,null,191,null,306,null,49744,null,5418,null,33286,null,3337,null,11690,null,2675,null,3967,null,1166,null,801,null,485,null,1289,null,570,null,1087,null,529,null,202,null,195,null,0,null,275,null,0,null,275,null,6350,null,2274,null,4547,null,1644,null,697,null,515,null,957,null,649,null,149,null,183,null,0400000US08,Colorado,08
2462575,null,2749,null,2285841,null,8697,null,2172809,null,9968,null,22714,null,2983,null,18501,null,2543,null,2421,null,754,null,1599,null,670,null,193,null,167,null,83664,null,3910,null,72509,null,3687,null,7147,null,1193,null,3778,null,1069,null,230,null,198,null,2508,null,851,null,2457,null,857,null,0,null,273,null,51,null,85,null,0,null,273,null,4146,null,1295,null,3808,null,1197,null,338,null,228,null,0,null,273,null,0,null,273,null,176734,null,8818,null,54223,null,3806,null,2807,null,1435,null,1346,null,772,null,258,null,196,null,818,null,796,null,385,null,409,null,109638,null,7075,null,55689,null,4230,null,31066,null,3243,null,17659,null,2238,null,5224,null,1196,null,2898,null,1293,null,1550,null,697,null,901,null,630,null,392,null,274,null,55,null,91,null,7168,null,2062,null,3667,null,1152,null,2616,null,1355,null,677,null,404,null,208,null,219,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
10527658,null,6082,null,9874723,null,19337,null,9502285,null,23580,null,188073,null,9833,null,155271,null,9259,null,17841,null,2396,null,13686,null,2360,null,1275,null,841,null,159233,null,8036,null,138796,null,7494,null,12598,null,2197,null,7662,null,1470,null,177,null,223,null,5606,null,1408,null,4528,null,1282,null,440,null,291,null,638,null,503,null,0,null,303,null,19526,null,3373,null,17920,null,3324,null,964,null,454,null,642,null,334,null,0,null,303,null,652935,null,18541,null,271034,null,10924,null,36191,null,4934,null,22273,null,3057,null,7861,null,2006,null,3421,null,1544,null,2636,null,1183,null,286302,null,12648,null,176085,null,8555,null,68786,null,4925,null,28946,null,3832,null,12485,null,3606,null,6418,null,1768,null,3737,null,1181,null,1781,null,683,null,224,null,284,null,676,null,977,null,52990,null,5621,null,33551,null,3914,null,13709,null,2364,null,4468,null,1489,null,1262,null,799,null,0400000US12,Florida,12
