B16003_001E,B16003_001EA,B16003_001M,B16003_001MA,B16003_002E,B16003_002EA,B16003_002M,B16003_002MA,B16003_003E,B16003_003EA,B16003_003M,B16003_003MA,B16003_004E,B16003_004EA,B16003_004M,B16003_004MA,B16003_005E,B16003_005EA,B16003_005M,B16003_005MA,B16003_006E,B16003_006EA,B16003_006M,B16003_006MA,B16003_007E,B16003_007EA,B16003_007M,B16003_007MA,B16003_008E,B16003_008EA,B16003_008M,B16003_008MA,B16003_009E,B16003_009EA,B16003_009M,B16003_009MA,B16003_010E,B16003_010EA,B16003_010M,B16003_010MA,B16003_011E,B16003_011EA,B16003_011M,B16003_011MA,B16003_012E,B16003_012EA,B16003_012M,B16003_012MA,GEO_ID,NAME,state
55147,null,5906,null,11751,null,2246,null,1098,null,781,null,7654,null,1436,null,470,null,449,null,2487,null,1082,null,42,null,68,null,43396,null,4530,null,31461,null,3509,null,2558,null,934,null,7380,null,1960,null,1997,null,1376,null,0400000US01,Alabama,01
14745,null,3240,null,2621,null,1064,null,576,null,393,null,794,null,705,null,153,null,190,null,545,null,382,null,553,null,232,null,12124,null,2572,null,2158,null,1041,null,2608,null,1553,null,4556,null,1570,null,2802,null,633,null,0400000US02,Alaska,02
487098,null,21885,null,123933,null,7710,null,3530,null,1241,null,112097,null,7059,null,2060,null,1161,null,3753,null,1461,null,2493,null,1287,null,363165,null,16470,null,312767,null,15008,null,14483,null,3485,null,19732,null,3223,null,16183,null,3254,null,0400000US04,Arizona,04
57780,null,6215,null,16917,null,2837,null,475,null,303,null,13814,null,2461,null,359,null,425,null,2269,null,1651,null,0,null,267,null,40863,null,4408,null,33872,null,4126,null,1181,null,694,null,5696,null,1691,null,114,null,198,null,0400000US05,Arkansas,05
3863215,null,55867,null,874096,null,17392,null,34509,null,3954,null,691115,null,15879,null,28576,null,4129,null,114426,null,6361,null,5470,null,1903,null,2989119,null,44337,null,2026723,null,36974,null,215358,null,10131,null,712776,null,19944,null,34262,null,4536,null,0400000US06,California,06
204082,null,15164,null,47078,null,5536,null,1446,null,654,null,41291,null,5007,null,707,null,401,null,3479,null,1203,null,155,null,205,null,157004,null,11225,null,130277,null,10379,null,7778,null,1663,null,15529,null,2531,null,3420,null,1576,null,0400000US08,Colorado,08
153621,null,9803,null,22209,null,2937,null,1587,null,595,null,13814,null,2268,null,4398,null,1441,null,1695,null,628,null,715,null,725,null,131412,null,8268,null,69641,null,6046,null,44438,null,4915,null,13645,null,2133,null,3688,null,1624,null,0400000US09,Connecticut,09
21635,null,3677,null,5246,null,1393,null,173,null,222,null,4283,null,1246,null,461,null,291,null,182,null,270,null,147,null,241,null,16389,null,2653,null,9380,null,2062,null,2902,null,1251,null,2455,null,845,null,1652,null,1079,null,0400000US10,Delaware,10
13093,null,2888,null,1606,null,1122,null,0,null,300,null,1439,null,1094,null,0,null,300,null,167,null,274,null,0,null,300,null,11487,null,2257,null,6854,null,1957,null,2287,null,1052,null,1183,null,767,null,1163,null,721,null,0400000US11,District of Columbia,11
1285344,null,30063,null,204296,null,9255,null,12543,null,2802,null,151858,null,7247,null,28560,null,4764,null,10142,null,2298,null,1193,null,746,null,1081048,null,25523,null,859453,null,21503,null,159045,null,9622,null,50072,null,6077,null,12478,null,2546,null,0400000US12,Florida,12
342835,null,17937,null,76762,null,5937,null,3444,null,1067,null,60754,null,5384,null,4207,null,1416,null,7013,null,1547,null,1344,null,859,null,266073,null,13584,null,194927,null,11118,null,26769,null,4436,null,36476,null,4602,null,7901,null,2887,null,0400000US13,Georgia,13
55320,null,6622,null,7003,null,1672,null,1178,null,534,null,215,null,260,null,107,null,176,null,5503,null,1456,null,0,null,271,null,48317,null,5827,null,3278,null,1722,null,1098,null,1031,null,43941,null,5428,null,0,null,271,null,0400000US15,Hawaii,15
33222,null,4607,null,8269,null,1736,null,576,null,401,null,7266,null,1689,null,40,null,66,null,387,null,350,null,0,null,257,null,24953,null,3412,null,21138,null,3095,null,2004,null,953,null,1617,null,712,null,194,null,163,null,0400000US16,Idaho,16
725388,null,23479,null,158143,null,8886,null,8078,null,2313,null,119460,null,7144,null,18602,null,2836,null,8915,null,1874,null,3088,null,1375,null,567245,null,17364,null,359025,null,14686,null,129098,null,7428,null,65030,null,5978,null,14092,null,3322,null,0400000US17,Illinois,17
109121,null,7436,null,23961,null,2697,null,707,null,461,null,17899,null,2492,null,2999,null,1045,null,1813,null,721,null,543,null,702,null,85160,null,5567,null,61335,null,5232,null,11928,null,2153,null,10301,null,1869,null,1596,null,870,null,0400000US18,Indiana,18
45423,null,4291,null,9207,null,1760,null,853,null,460,null,6779,null,1600,null,560,null,437,null,901,null,600,null,114,null,145,null,36216,null,3443,null,22391,null,2627,null,4704,null,1565,null,8430,null,1499,null,691,null,404,null,0400000US19,Iowa,19
77375,null,7052,null,18004,null,2446,null,1266,null,880,null,13922,null,2178,null,739,null,525,null,2077,null,762,null,0,null,242,null,59371,null,5354,null,41387,null,4439,null,3454,null,869,null,12951,null,2303,null,1579,null,1092,null,0400000US20,Kansas,20
39395,null,4962,null,8888,null,1852,null,1211,null,700,null,4288,null,1336,null,2282,null,1115,null,965,null,576,null,142,null,237,null,30507,null,4062,null,18621,null,2826,null,4654,null,1519,null,5746,null,1432,null,1486,null,1301,null,0400000US21,Kentucky,21
53684,null,4981,null,6767,null,1508,null,549,null,345,null,3724,null,1319,null,374,null,379,null,2065,null,860,null,55,null,93,null,46917,null,4479,null,23590,null,3039,null,13409,null,2319,null,8832,null,1806,null,1086,null,1119,null,0400000US22,Louisiana,22
11499,null,2281,null,2138,null,1154,null,357,null,325,null,285,null,203,null,7,null,12,null,454,null,415,null,1035,null,914,null,9361,null,1504,null,1583,null,725,null,5451,null,1122,null,1426,null,645,null,901,null,592,null,0400000US23,Maine,23
180819,null,12067,null,31799,null,4006,null,2214,null,896,null,17600,null,2376,null,4079,null,1601,null,6435,null,1761,null,1471,null,1166,null,149020,null,9663,null,76093,null,6792,null,23199,null,3598,null,41047,null,4521,null,8681,null,2577,null,0400000US24,Maryland,24
313335,null,14836,null,52409,null,4237,null,4890,null,1449,null,25089,null,3299,null,10835,null,2212,null,9248,null,2034,null,2347,null,1316,null,260926,null,12921,null,102435,null,8343,null,97375,null,9290,null,52376,null,4778,null,8740,null,2844,null,0400000US25,Massachusetts,25
172229,null,10856,null,34749,null,4069,null,2402,null,1259,null,15807,null,2624,null,5358,null,1436,null,6068,null,1388,null,5114,null,2131,null,137480,null,8229,null,50000,null,4689,null,35167,null,3880,null,30659,null,4200,null,21654,null,4182,null,0400000US26,Michigan,26
116900,null,8724,null,28939,null,3664,null,2291,null,813,null,13019,null,2148,null,930,null,496,null,7043,null,1707,null,5656,null,1965,null,87961,null,6138,null,39768,null,3598,null,11099,null,1991,null,21195,null,3354,null,15899,null,2737,null,0400000US27,Minnesota,27
25063,null,4371,null,4291,null,1192,null,395,null,308,null,2642,null,911,null,92,null,106,null,1162,null,835,null,0,null,289,null,20772,null,3813,null,15384,null,3046,null,988,null,548,null,3783,null,1767,null,617,null,418,null,0400000US28,Mississippi,28
75777,null,8166,null,20224,null,3718,null,1735,null,820,null,10457,null,2103,null,4235,null,2283,null,3331,null,1146,null,466,null,518,null,55553,null,5457,null,26479,null,3592,null,11148,null,2342,null,16031,null,2846,null,1895,null,670,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
39391,null,4577,null,9491,null,2081,null,295,null,429,null,7654,null,1984,null,482,null,516,null,735,null,392,null,325,null,297,null,29900,null,3251,null,23226,null,2918,null,1681,null,615,null,3532,null,1121,null,1461,null,749,null,0400000US31,Nebraska,31
