B19001B_001E,B19001B_001EA,B19001B_001M,B19001B_001MA,B19001B_002E,B19001B_002EA,B19001B_002M,B19001B_002MA,B19001B_003E,B19001B_003EA,B19001B_003M,B19001B_003MA,B19001B_004E,B19001B_004EA,B19001B_004M,B19001B_004MA,B19001B_005E,B19001B_005EA,B19001B_005M,B19001B_005MA,B19001B_006E,B19001B_006EA,B19001B_006M,B19001B_006MA,B19001B_007E,B19001B_007EA,B19001B_007M,B19001B_007MA,B19001B_008E,B19001B_008EA,B19001B_008M,B19001B_008MA,B19001B_009E,B19001B_009EA,B19001B_009M,B19001B_009MA,B19001B_010E,B19001B_010EA,B19001B_010M,B19001B_010MA,B19001B_011E,B19001B_011EA,B19001B_011M,B19001B_011MA,B19001B_012E,B19001B_012EA,B19001B_012M,B19001B_012MA,B19001B_013E,B19001B_013EA,B19001B_013M,B19001B_013MA,B19001B_014E,B19001B_014EA,B19001B_014M,B19001B_014MA,B19001B_015E,B19001B_015EA,B19001B_015M,B19001B_015MA,B19001B_016E,B19001B_016EA,B19001B_016M,B19001B_016MA,B19001B_017E,B19001B_017EA,B19001B_017M,B19001B_017MA,GEO_ID,NAME,state
458612,null,6126,null,90979,null,3496,null,54188,null,3520,null,39106,null,3556,null,38287,null,3650,null,30749,null,3223,null,27255,null,2746,null,28938,null,2905,null,22013,null,2300,null,15730,null,2124,null,29580,null,2922,null,28716,null,2759,null,30307,null,2771,null,12544,null,1826,null,5442,null,1117,null,3365,null,870,null,1413,null,554,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
74921,null,3302,null,10428,null,1739,null,4821,null,1136,null,5315,null,1460,null,4634,null,1292,null,4945,null,1177,null,4525,null,1302,null,5229,null,1236,null,3008,null,865,null,2620,null,790,null,5988,null,1582,null,6428,null,1346,null,8170,null,1376,null,4490,null,985,null,1762,null,597,null,1539,null,613,null,1019,null,468,null,0400000US04,Arizona,04
167983,null,3873,null,32826,null,2817,null,21274,null,2240,null,16950,null,2072,null,12660,null,2091,null,12066,null,1686,null,12389,null,1757,null,9521,null,1530,null,9229,null,1766,null,6248,null,1382,null,10459,null,1756,null,10700,null,1904,null,8108,null,1418,null,3196,null,874,null,1673,null,754,null,389,null,272,null,295,null,246,null,0400000US05,Arkansas,05
801416,null,7849,null,87908,null,5090,null,67519,null,5271,null,52454,null,3802,null,50505,null,3971,null,41432,null,3844,null,46374,null,3477,null,40975,null,3803,null,34634,null,3581,null,33073,null,2831,null,62480,null,5126,null,77864,null,5301,null,80594,null,4207,null,52578,null,3482,null,28021,null,3141,null,26304,null,2617,null,18701,null,1956,null,0400000US06,California,06
66221,null,2561,null,8399,null,1671,null,5062,null,1156,null,2131,null,847,null,4468,null,1268,null,3583,null,984,null,4704,null,1192,null,3017,null,832,null,4744,null,1249,null,2807,null,879,null,5769,null,1394,null,6566,null,1291,null,7537,null,1482,null,3505,null,876,null,1923,null,864,null,1211,null,557,null,795,null,354,null,0400000US08,Colorado,08
109982,null,3357,null,11055,null,1603,null,8899,null,1532,null,6211,null,1456,null,6452,null,1165,null,6931,null,1393,null,6290,null,1488,null,5475,null,1275,null,5637,null,1287,null,5232,null,1127,null,9042,null,1790,null,10047,null,1316,null,11653,null,1731,null,9173,null,1473,null,3227,null,871,null,2563,null,831,null,2095,null,631,null,0400000US09,Connecticut,09
62141,null,2352,null,7119,null,1543,null,4205,null,1119,null,3031,null,774,null,3036,null,788,null,4154,null,1245,null,3489,null,1104,null,4480,null,1083,null,4484,null,1073,null,2508,null,887,null,6022,null,1241,null,5393,null,1243,null,6816,null,1406,null,3986,null,922,null,1877,null,624,null,1334,null,663,null,207,null,228,null,0400000US10,Delaware,10
127074,null,3070,null,18173,null,2248,null,11109,null,1674,null,8711,null,1504,null,8515,null,1314,null,7386,null,1500,null,8410,null,1686,null,6786,null,1282,null,6502,null,1217,null,4392,null,812,null,9417,null,1540,null,10540,null,1368,null,10968,null,1300,null,5790,null,1269,null,3039,null,899,null,4855,null,1079,null,2481,null,647,null,0400000US11,District of Columbia,11
922547,null,11959,null,113783,null,5804,null,71769,null,5201,null,67218,null,5216,null,76141,null,5162,null,62259,null,4849,null,61292,null,4292,null,60035,null,4930,null,54694,null,4481,null,44069,null,4309,null,78841,null,4798,null,82538,null,5208,null,79134,null,4790,null,36410,null,2990,null,18456,null,2238,null,8819,null,1484,null,7089,null,1540,null,0400000US12,Florida,12
