B15002B_001E,B15002B_001EA,B15002B_001M,B15002B_001MA,B15002B_002E,B15002B_002EA,B15002B_002M,B15002B_002MA,B15002B_003E,B15002B_003EA,B15002B_003M,B15002B_003MA,B15002B_004E,B15002B_004EA,B15002B_004M,B15002B_004MA,B15002B_005E,B15002B_005EA,B15002B_005M,B15002B_005MA,B15002B_006E,B15002B_006EA,B15002B_006M,B15002B_006MA,B15002B_007E,B15002B_007EA,B15002B_007M,B15002B_007MA,B15002B_008E,B15002B_008EA,B15002B_008M,B15002B_008MA,B15002B_009E,B15002B_009EA,B15002B_009M,B15002B_009MA,B15002B_010E,B15002B_010EA,B15002B_010M,B15002B_010MA,B15002B_011E,B15002B_011EA,B15002B_011M,B15002B_011MA,B15002B_012E,B15002B_012EA,B15002B_012M,B15002B_012MA,B15002B_013E,B15002B_013EA,B15002B_013M,B15002B_013MA,B15002B_014E,B15002B_014EA,B15002B_014M,B15002B_014MA,B15002B_015E,B15002B_015EA,B15002B_015M,B15002B_015MA,B15002B_016E,B15002B_016EA,B15002B_016M,B15002B_016MA,B15002B_017E,B15002B_017EA,B15002B_017M,B15002B_017MA,GEO_ID,NAME,state
720302,null,4705,null,318299,null,3829,null,24132,null,2281,null,59495,null,3764,null,123544,null,5676,null,54790,null,3369,null,17636,null,2160,null,25367,null,2885,null,13335,null,2006,null,402003,null,2707,null,25224,null,2711,null,71114,null,3912,null,125028,null,4867,null,87103,null,4550,null,28791,null,2209,null,42439,null,3042,null,22304,null,2137,null,0400000US01,Alabama,01
15133,null,1402,null,8941,null,1180,null,468,null,539,null,377,null,216,null,2820,null,964,null,3458,null,924,null,581,null,471,null,921,null,591,null,316,null,261,null,6192,null,753,null,0,null,237,null,310,null,358,null,1898,null,713,null,2284,null,763,null,316,null,383,null,947,null,508,null,437,null,395,null,0400000US02,Alaska,02
127450,null,2217,null,65937,null,1574,null,2899,null,952,null,5811,null,1249,null,17815,null,1824,null,19278,null,2195,null,6428,null,1339,null,9251,null,1887,null,4455,null,1041,null,61513,null,1193,null,2933,null,1002,null,5488,null,1139,null,14998,null,1767,null,16159,null,1685,null,7581,null,1459,null,8755,null,1403,null,5599,null,1090,null,0400000US04,Arizona,04
252257,null,2902,null,112706,null,2658,null,8283,null,1287,null,19709,null,1940,null,45862,null,2815,null,18402,null,1885,null,6649,null,1357,null,9801,null,2174,null,4000,null,1078,null,139551,null,2291,null,10984,null,1605,null,21258,null,2586,null,50075,null,2945,null,29543,null,2571,null,9915,null,1621,null,12920,null,1897,null,4856,null,1051,null,0400000US05,Arkansas,05
1381274,null,5676,null,659701,null,4221,null,21822,null,2220,null,71078,null,4348,null,204830,null,6897,null,165016,null,6637,null,62509,null,3752,null,87978,null,4903,null,46468,null,3583,null,721573,null,3932,null,23680,null,2448,null,72711,null,4510,null,186172,null,6381,null,203539,null,6745,null,79828,null,5418,null,101520,null,5518,null,54123,null,3322,null,0400000US06,California,06
110070,null,2595,null,57156,null,1746,null,1472,null,578,null,5495,null,1056,null,16905,null,2117,null,15045,null,1836,null,4601,null,1062,null,8362,null,1428,null,5276,null,1030,null,52914,null,1496,null,2402,null,815,null,4622,null,1156,null,15296,null,2011,null,12785,null,1745,null,5991,null,1548,null,7109,null,1305,null,4709,null,1044,null,0400000US08,Colorado,08
195071,null,3112,null,89063,null,1947,null,4846,null,1144,null,12743,null,1709,null,33544,null,2725,null,15611,null,2073,null,5974,null,1157,null,10137,null,2017,null,6208,null,1569,null,106008,null,1958,null,5038,null,1127,null,16015,null,2241,null,36794,null,3078,null,18889,null,2054,null,8449,null,1460,null,13664,null,1858,null,7159,null,1622,null,0400000US09,Connecticut,09
105289,null,1387,null,46928,null,1068,null,1947,null,737,null,4770,null,942,null,19084,null,2109,null,11037,null,1701,null,3009,null,1130,null,4958,null,1195,null,2123,null,736,null,58361,null,918,null,2119,null,655,null,6925,null,1136,null,20762,null,1893,null,12734,null,1967,null,5508,null,1189,null,7170,null,1233,null,3143,null,890,null,0400000US10,Delaware,10
211901,null,1011,null,91492,null,755,null,5127,null,966,null,13211,null,1854,null,32796,null,2552,null,16271,null,1823,null,4748,null,1400,null,12236,null,1728,null,7103,null,1390,null,120409,null,730,null,5568,null,1141,null,16862,null,2133,null,42933,null,3302,null,23369,null,2265,null,4789,null,1215,null,14714,null,2086,null,12174,null,1475,null,0400000US11,District of Columbia,11
1623115,null,8737,null,744243,null,5264,null,60646,null,4445,null,126608,null,5584,null,277766,null,9894,null,124546,null,6287,null,50432,null,4627,null,72424,null,5234,null,31821,null,2969,null,878872,null,5666,null,63012,null,3877,null,126666,null,6015,null,295888,null,8892,null,165934,null,7082,null,74804,null,5230,null,101146,null,5570,null,51422,null,4157,null,0400000US12,Florida,12
