B06004E_001E,B06004E_001EA,B06004E_001M,B06004E_001MA,B06004E_002E,B06004E_002EA,B06004E_002M,B06004E_002MA,B06004E_003E,B06004E_003EA,B06004E_003M,B06004E_003MA,B06004E_004E,B06004E_004EA,B06004E_004M,B06004E_004MA,B06004E_005E,B06004E_005EA,B06004E_005M,B06004E_005MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
4978,null,1185,null,546,null,445,null,2299,null,827,null,1702,null,987,null,431,null,448,null,0400000US02,Alaska,02
7701,null,1101,null,1246,null,647,null,3627,null,786,null,1598,null,669,null,1230,null,725,null,0400000US04,Arizona,04
2274,null,727,null,661,null,334,null,519,null,569,null,0,null,267,null,1094,null,565,null,0400000US05,Arkansas,05
126345,null,4508,null,49428,null,4383,null,19197,null,2460,null,22821,null,3756,null,34899,null,4128,null,0400000US06,California,06
3704,null,1104,null,787,null,601,null,1936,null,757,null,395,null,261,null,586,null,474,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
10022,null,3001,null,1341,null,889,null,3794,null,1905,null,2660,null,1693,null,2227,null,1520,null,0400000US12,Florida,12
4824,null,2028,null,1534,null,1081,null,1740,null,867,null,1054,null,520,null,496,null,642,null,0400000US13,Georgia,13
108583,null,3876,null,79940,null,4597,null,4810,null,1421,null,6173,null,2005,null,17660,null,3800,null,0400000US15,Hawaii,15
2149,null,860,null,170,null,314,null,823,null,494,null,615,null,357,null,541,null,526,null,0400000US16,Idaho,16
6074,null,1415,null,1890,null,878,null,1779,null,968,null,265,null,266,null,2140,null,964,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
1395,null,743,null,140,null,180,null,374,null,275,null,367,null,299,null,514,null,453,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
1813,null,1108,null,383,null,359,null,351,null,258,null,422,null,509,null,657,null,648,null,0400000US21,Kentucky,21
1803,null,825,null,687,null,589,null,578,null,472,null,223,null,256,null,315,null,367,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
3020,null,1503,null,646,null,474,null,471,null,348,null,245,null,177,null,1658,null,1254,null,0400000US24,Maryland,24
1966,null,909,null,577,null,563,null,343,null,278,null,404,null,318,null,642,null,514,null,0400000US25,Massachusetts,25
2368,null,817,null,809,null,476,null,736,null,438,null,321,null,248,null,502,null,330,null,0400000US26,Michigan,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
7669,null,2744,null,2831,null,1289,null,984,null,511,null,851,null,583,null,3003,null,1745,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
2945,null,1588,null,374,null,274,null,965,null,783,null,660,null,625,null,946,null,720,null,0400000US31,Nebraska,31
13691,null,1876,null,2155,null,628,null,5985,null,1503,null,2627,null,1174,null,2924,null,1063,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US35,New Mexico,35
8375,null,2046,null,1266,null,672,null,1950,null,955,null,578,null,460,null,4581,null,1707,null,0400000US36,New York,36
4172,null,1647,null,1476,null,719,null,1037,null,501,null,927,null,529,null,732,null,1155,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
3704,null,1709,null,905,null,549,null,752,null,440,null,744,null,789,null,1303,null,910,null,0400000US39,Ohio,39
2694,null,1354,null,681,null,515,null,578,null,340,null,451,null,353,null,984,null,772,null,0400000US40,Oklahoma,40
7436,null,965,null,1419,null,751,null,1899,null,577,null,1277,null,692,null,2841,null,976,null,0400000US41,Oregon,41
2636,null,1064,null,708,null,527,null,927,null,498,null,366,null,539,null,635,null,480,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
1956,null,952,null,567,null,511,null,519,null,447,null,502,null,603,null,368,null,300,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
3876,null,2037,null,110,null,140,null,1414,null,606,null,1267,null,1131,null,1085,null,979,null,0400000US47,Tennessee,47
