B20005F_001E,B20005F_001EA,B20005F_001M,B20005F_001MA,B20005F_002E,B20005F_002EA,B20005F_002M,B20005F_002MA,B20005F_003E,B20005F_003EA,B20005F_003M,B20005F_003MA,B20005F_004E,B20005F_004EA,B20005F_004M,B20005F_004MA,B20005F_005E,B20005F_005EA,B20005F_005M,B20005F_005MA,B20005F_006E,B20005F_006EA,B20005F_006M,B20005F_006MA,B20005F_007E,B20005F_007EA,B20005F_007M,B20005F_007MA,B20005F_008E,B20005F_008EA,B20005F_008M,B20005F_008MA,B20005F_009E,B20005F_009EA,B20005F_009M,B20005F_009MA,B20005F_010E,B20005F_010EA,B20005F_010M,B20005F_010MA,B20005F_011E,B20005F_011EA,B20005F_011M,B20005F_011MA,B20005F_012E,B20005F_012EA,B20005F_012M,B20005F_012MA,B20005F_013E,B20005F_013EA,B20005F_013M,B20005F_013MA,B20005F_014E,B20005F_014EA,B20005F_014M,B20005F_014MA,B20005F_015E,B20005F_015EA,B20005F_015M,B20005F_015MA,B20005F_016E,B20005F_016EA,B20005F_016M,B20005F_016MA,B20005F_017E,B20005F_017EA,B20005F_017M,B20005F_017MA,B20005F_018E,B20005F_018EA,B20005F_018M,B20005F_018MA,B20005F_019E,B20005F_019EA,B20005F_019M,B20005F_019MA,B20005F_020E,B20005F_020EA,B20005F_020M,B20005F_020MA,B20005F_021E,B20005F_021EA,B20005F_021M,B20005F_021MA,B20005F_022E,B20005F_022EA,B20005F_022M,B20005F_022MA,B20005F_023E,B20005F_023EA,B20005F_023M,B20005F_023MA,B20005F_024E,B20005F_024EA,B20005F_024M,B20005F_024MA,B20005F_025E,B20005F_025EA,B20005F_025M,B20005F_025MA,B20005F_026E,B20005F_026EA,B20005F_026M,B20005F_026MA,B20005F_027E,B20005F_027EA,B20005F_027M,B20005F_027MA,B20005F_028E,B20005F_028EA,B20005F_028M,B20005F_028MA,B20005F_029E,B20005F_029EA,B20005F_029M,B20005F_029MA,B20005F_030E,B20005F_030EA,B20005F_030M,B20005F_030MA,B20005F_031E,B20005F_031EA,B20005F_031M,B20005F_031MA,B20005F_032E,B20005F_032EA,B20005F_032M,B20005F_032MA,B20005F_033E,B20005F_033EA,B20005F_033M,B20005F_033MA,B20005F_034E,B20005F_034EA,B20005F_034M,B20005F_034MA,B20005F_035E,B20005F_035EA,B20005F_035M,B20005F_035MA,B20005F_036E,B20005F_036EA,B20005F_036M,B20005F_036MA,B20005F_037E,B20005F_037EA,B20005F_037M,B20005F_037MA,B20005F_038E,B20005F_038EA,B20005F_038M,B20005F_038MA,B20005F_039E,B20005F_039EA,B20005F_039M,B20005F_039MA,B20005F_040E,B20005F_040EA,B20005F_040M,B20005F_040MA,B20005F_041E,B20005F_041EA,B20005F_041M,B20005F_041MA,B20005F_042E,B20005F_042EA,B20005F_042M,B20005F_042MA,B20005F_043E,B20005F_043EA,B20005F_043M,B20005F_043MA,B20005F_044E,B20005F_044EA,B20005F_044M,B20005F_044MA,B20005F_045E,B20005F_045EA,B20005F_045M,B20005F_045MA,B20005F_046E,B20005F_046EA,B20005F_046M,B20005F_046MA,B20005F_047E,B20005F_047EA,B20005F_047M,B20005F_047MA,B20005F_048E,B20005F_048EA,B20005F_048M,B20005F_048MA,B20005F_049E,B20005F_049EA,B20005F_049M,B20005F_049MA,B20005F_050E,B20005F_050EA,B20005F_050M,B20005F_050MA,B20005F_051E,B20005F_051EA,B20005F_051M,B20005F_051MA,B20005F_052E,B20005F_052EA,B20005F_052M,B20005F_052MA,B20005F_053E,B20005F_053EA,B20005F_053M,B20005F_053MA,B20005F_054E,B20005F_054EA,B20005F_054M,B20005F_054MA,B20005F_055E,B20005F_055EA,B20005F_055M,B20005F_055MA,B20005F_056E,B20005F_056EA,B20005F_056M,B20005F_056MA,B20005F_057E,B20005F_057EA,B20005F_057M,B20005F_057MA,B20005F_058E,B20005F_058EA,B20005F_058M,B20005F_058MA,B20005F_059E,B20005F_059EA,B20005F_059M,B20005F_059MA,B20005F_060E,B20005F_060EA,B20005F_060M,B20005F_060MA,B20005F_061E,B20005F_061EA,B20005F_061M,B20005F_061MA,B20005F_062E,B20005F_062EA,B20005F_062M,B20005F_062MA,B20005F_063E,B20005F_063EA,B20005F_063M,B20005F_063MA,B20005F_064E,B20005F_064EA,B20005F_064M,B20005F_064MA,B20005F_065E,B20005F_065EA,B20005F_065M,B20005F_065MA,B20005F_066E,B20005F_066EA,B20005F_066M,B20005F_066MA,B20005F_067E,B20005F_067EA,B20005F_067M,B20005F_067MA,B20005F_068E,B20005F_068EA,B20005F_068M,B20005F_068MA,B20005F_069E,B20005F_069EA,B20005F_069M,B20005F_069MA,B20005F_070E,B20005F_070EA,B20005F_070M,B20005F_070MA,B20005F_071E,B20005F_071EA,B20005F_071M,B20005F_071MA,B20005F_072E,B20005F_072EA,B20005F_072M,B20005F_072MA,B20005F_073E,B20005F_073EA,B20005F_073M,B20005F_073MA,B20005F_074E,B20005F_074EA,B20005F_074M,B20005F_074MA,B20005F_075E,B20005F_075EA,B20005F_075M,B20005F_075MA,B20005F_076E,B20005F_076EA,B20005F_076M,B20005F_076MA,B20005F_077E,B20005F_077EA,B20005F_077M,B20005F_077MA,B20005F_078E,B20005F_078EA,B20005F_078M,B20005F_078MA,B20005F_079E,B20005F_079EA,B20005F_079M,B20005F_079MA,B20005F_080E,B20005F_080EA,B20005F_080M,B20005F_080MA,B20005F_081E,B20005F_081EA,B20005F_081M,B20005F_081MA,B20005F_082E,B20005F_082EA,B20005F_082M,B20005F_082MA,B20005F_083E,B20005F_083EA,B20005F_083M,B20005F_083MA,B20005F_084E,B20005F_084EA,B20005F_084M,B20005F_084MA,B20005F_085E,B20005F_085EA,B20005F_085M,B20005F_085MA,B20005F_086E,B20005F_086EA,B20005F_086M,B20005F_086MA,B20005F_087E,B20005F_087EA,B20005F_087M,B20005F_087MA,B20005F_088E,B20005F_088EA,B20005F_088M,B20005F_088MA,B20005F_089E,B20005F_089EA,B20005F_089M,B20005F_089MA,B20005F_090E,B20005F_090EA,B20005F_090M,B20005F_090MA,B20005F_091E,B20005F_091EA,B20005F_091M,B20005F_091MA,B20005F_092E,B20005F_092EA,B20005F_092M,B20005F_092MA,B20005F_093E,B20005F_093EA,B20005F_093M,B20005F_093MA,B20005F_094E,B20005F_094EA,B20005F_094M,B20005F_094MA,B20005F_095E,B20005F_095EA,B20005F_095M,B20005F_095MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
460097,null,13748,null,241506,null,8424,null,133113,null,6142,null,0,null,292,null,133113,null,6142,null,347,null,308,null,142,null,168,null,1269,null,802,null,1120,null,575,null,6603,null,1896,null,6097,null,1947,null,10774,null,2411,null,8338,null,1876,null,12952,null,2177,null,5984,null,1596,null,15964,null,2550,null,15484,null,2551,null,10044,null,1939,null,9973,null,1826,null,5349,null,1131,null,6674,null,1818,null,7231,null,1552,null,3561,null,914,null,3049,null,917,null,2158,null,724,null,108393,null,6202,null,41359,null,2972,null,67034,null,5903,null,10184,null,2390,null,5904,null,1346,null,6850,null,1548,null,3539,null,1127,null,7875,null,1616,null,3576,null,1163,null,4482,null,1532,null,2826,null,1034,null,2745,null,829,null,1833,null,659,null,3902,null,1090,null,3341,null,1464,null,2466,null,878,null,1863,null,874,null,1425,null,623,null,1317,null,629,null,954,null,376,null,554,null,344,null,450,null,366,null,948,null,436,null,218591,null,7358,null,67207,null,4368,null,0,null,292,null,67207,null,4368,null,0,null,292,null,0,null,292,null,393,null,236,null,1423,null,565,null,5637,null,1569,null,4517,null,1314,null,5361,null,1245,null,4167,null,1182,null,6221,null,1371,null,6599,null,1355,null,7639,null,1734,null,6822,null,1524,null,6073,null,1538,null,3562,null,1007,null,2273,null,804,null,1188,null,472,null,2523,null,778,null,1055,null,548,null,1142,null,569,null,612,null,369,null,151384,null,6955,null,82778,null,5603,null,68606,null,4941,null,12891,null,2236,null,8539,null,1973,null,6829,null,1594,null,7503,null,1591,null,8315,null,1658,null,3704,null,1242,null,5543,null,1300,null,1689,null,571,null,2732,null,864,null,2175,null,993,null,2592,null,864,null,2111,null,550,null,1108,null,476,null,895,null,425,null,229,null,225,null,462,null,280,null,777,null,473,null,0,null,292,null,140,null,164,null,372,null,442,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
4310928,null,43041,null,2232844,null,23991,null,1189603,null,18602,null,0,null,292,null,1189603,null,18602,null,788,null,450,null,1154,null,561,null,12890,null,2748,null,10782,null,1889,null,54753,null,5755,null,54208,null,5277,null,87348,null,6555,null,73052,null,5794,null,97238,null,6338,null,72217,null,5897,null,117287,null,6386,null,114411,null,6899,null,88943,null,5249,null,79092,null,5511,null,59739,null,5080,null,55393,null,3945,null,72687,null,4485,null,44891,null,3981,null,52357,null,4766,null,40373,null,3729,null,1043241,null,16135,null,421218,null,10197,null,622023,null,13834,null,71442,null,5091,null,52010,null,4322,null,56591,null,4637,null,42793,null,3613,null,61070,null,3982,null,32222,null,3956,null,43374,null,3635,null,26648,null,2731,null,35554,null,3622,null,21581,null,2512,null,35251,null,3364,null,32490,null,3202,null,21336,null,2672,null,20002,null,2364,null,13208,null,2215,null,12706,null,2000,null,17079,null,2024,null,9482,null,1505,null,10091,null,1365,null,7093,null,1506,null,2078084,null,24660,null,629100,null,14657,null,0,null,292,null,629100,null,14657,null,554,null,332,null,2163,null,865,null,8963,null,1639,null,10745,null,1720,null,44588,null,4623,null,38217,null,3752,null,64303,null,5272,null,38715,null,4474,null,54880,null,4477,null,38428,null,3763,null,64726,null,3879,null,63143,null,4734,null,41734,null,3740,null,37689,null,3496,null,27866,null,2878,null,21444,null,2363,null,28094,null,3429,null,15495,null,2362,null,17371,null,1992,null,9982,null,1670,null,1448984,null,21398,null,812125,null,16302,null,636859,null,16583,null,110688,null,5620,null,69544,null,4781,null,76055,null,4761,null,60262,null,4658,null,71720,null,5513,null,34130,null,3131,null,41015,null,3797,null,23955,null,2994,null,29358,null,2738,null,13450,null,1730,null,24978,null,2569,null,22302,null,2640,null,12840,null,1868,null,9506,null,1466,null,8004,null,1405,null,6906,null,1061,null,8804,null,1360,null,4916,null,1384,null,4941,null,1050,null,3485,null,1029,null,0400000US06,California,06
215449,null,10339,null,113946,null,6418,null,53490,null,3963,null,11,null,21,null,53479,null,3961,null,0,null,275,null,0,null,275,null,509,null,425,null,541,null,360,null,1485,null,674,null,1428,null,727,null,2709,null,1088,null,1221,null,661,null,4272,null,1245,null,3904,null,1361,null,4892,null,1190,null,6215,null,1607,null,7020,null,1576,null,4733,null,1044,null,2814,null,911,null,2904,null,933,null,2729,null,1014,null,2805,null,1220,null,2159,null,857,null,1139,null,521,null,60456,null,4583,null,21733,null,2769,null,38723,null,3887,null,5682,null,1288,null,3526,null,1342,null,3941,null,1013,null,1654,null,612,null,3062,null,1037,null,1155,null,544,null,2409,null,1009,null,1963,null,764,null,2707,null,1521,null,1341,null,628,null,2720,null,1108,null,2221,null,906,null,1870,null,581,null,1377,null,622,null,161,null,117,null,577,null,425,null,816,null,398,null,371,null,265,null,913,null,499,null,257,null,230,null,101503,null,5049,null,34994,null,3043,null,0,null,275,null,34994,null,3043,null,179,null,180,null,0,null,275,null,1062,null,690,null,943,null,815,null,1981,null,754,null,1963,null,952,null,2204,null,807,null,2542,null,940,null,2816,null,894,null,2328,null,828,null,4797,null,1340,null,3358,null,890,null,2812,null,780,null,1853,null,630,null,1324,null,552,null,1397,null,654,null,1584,null,709,null,709,null,349,null,758,null,436,null,384,null,292,null,66509,null,3960,null,32050,null,2588,null,34459,null,3030,null,6262,null,1307,null,4619,null,1144,null,3817,null,1023,null,2675,null,949,null,4524,null,1159,null,1164,null,526,null,1948,null,606,null,1395,null,593,null,2068,null,651,null,792,null,394,null,1065,null,518,null,1264,null,678,null,863,null,469,null,578,null,355,null,291,null,249,null,169,null,160,null,620,null,540,null,167,null,267,null,161,null,240,null,17,null,32,null,0400000US08,Colorado,08
141001,null,7284,null,71950,null,4857,null,38189,null,3381,null,0,null,273,null,38189,null,3381,null,0,null,273,null,0,null,273,null,315,null,366,null,350,null,394,null,878,null,772,null,181,null,187,null,2638,null,1116,null,1880,null,851,null,4096,null,1190,null,2075,null,946,null,4203,null,1342,null,4261,null,1390,null,1825,null,680,null,4421,null,1434,null,2184,null,990,null,1633,null,809,null,2672,null,1026,null,2030,null,954,null,1738,null,813,null,809,null,408,null,33761,null,3327,null,13754,null,2149,null,20007,null,3008,null,3679,null,911,null,2153,null,863,null,2502,null,1058,null,2053,null,861,null,2203,null,958,null,909,null,598,null,1115,null,636,null,434,null,324,null,1223,null,637,null,248,null,251,null,802,null,445,null,657,null,367,null,444,null,388,null,224,null,283,null,521,null,554,null,234,null,286,null,340,null,289,null,165,null,157,null,59,null,96,null,42,null,71,null,69051,null,4122,null,24159,null,2890,null,0,null,273,null,24159,null,2890,null,0,null,273,null,0,null,273,null,116,null,190,null,510,null,451,null,1154,null,687,null,352,null,275,null,1021,null,541,null,2563,null,989,null,2864,null,888,null,2355,null,783,null,3250,null,1082,null,2636,null,1132,null,2120,null,723,null,1184,null,706,null,1140,null,579,null,784,null,511,null,516,null,289,null,387,null,352,null,616,null,504,null,591,null,414,null,44892,null,2924,null,22611,null,2147,null,22281,null,2309,null,2997,null,874,null,2863,null,829,null,2176,null,820,null,2319,null,873,null,2483,null,855,null,1409,null,645,null,1375,null,716,null,1688,null,771,null,1196,null,549,null,1024,null,465,null,593,null,424,null,329,null,234,null,796,null,559,null,217,null,180,null,0,null,273,null,376,null,438,null,131,null,157,null,232,null,286,null,77,null,130,null,0,null,273,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
543003,null,17673,null,291676,null,11417,null,164417,null,8327,null,0,null,303,null,164417,null,8327,null,66,null,92,null,0,null,303,null,574,null,435,null,1230,null,590,null,9047,null,2448,null,6634,null,1666,null,11652,null,2508,null,9149,null,1687,null,16127,null,2575,null,9030,null,1707,null,28487,null,4512,null,15682,null,2457,null,10378,null,2019,null,11029,null,1993,null,7558,null,1696,null,6709,null,1473,null,7524,null,1485,null,4233,null,1290,null,4339,null,1112,null,4969,null,1329,null,127259,null,7543,null,40407,null,3456,null,86852,null,6425,null,11840,null,2213,null,6039,null,1445,null,7581,null,1804,null,6062,null,1437,null,9494,null,2096,null,3942,null,1015,null,5049,null,1573,null,4804,null,1391,null,7891,null,1540,null,3957,null,1034,null,5320,null,1361,null,3639,null,1035,null,3315,null,1184,null,2224,null,898,null,1453,null,843,null,1145,null,556,null,1343,null,579,null,290,null,223,null,672,null,414,null,792,null,565,null,251327,null,9206,null,88933,null,5659,null,42,null,69,null,88891,null,5660,null,254,null,248,null,551,null,357,null,1015,null,493,null,1766,null,727,null,4218,null,1174,null,6110,null,1511,null,9742,null,1854,null,6474,null,1688,null,9233,null,1945,null,5078,null,1500,null,11066,null,2012,null,10539,null,1819,null,5588,null,1419,null,4317,null,1083,null,4587,null,1254,null,1807,null,626,null,2737,null,923,null,919,null,537,null,1387,null,591,null,1503,null,623,null,162394,null,7362,null,84269,null,5569,null,78125,null,4794,null,13405,null,1763,null,10194,null,1589,null,10799,null,1826,null,8411,null,1357,null,8894,null,1774,null,3238,null,1171,null,4463,null,1098,null,2679,null,749,null,2854,null,862,null,1929,null,891,null,2627,null,910,null,2735,null,982,null,1491,null,612,null,1053,null,596,null,1115,null,476,null,573,null,333,null,717,null,530,null,191,null,186,null,119,null,141,null,638,null,577,null,0400000US12,Florida,12
