GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001MA,B10051D_001EA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004EA,B10051D_004MA,B10051D_005MA,B10051D_005EA,B10051D_006MA,B10051D_006EA,B10051D_007EA,B10051D_007MA,state
0400000US06,198692,8405,30329,3470,10522,1866,19807,2850,168363,7600,31972,3327,136391,6555,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4752,1436,672,621,379,372,293,278,4080,1405,1400,874,2680,948,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,4790,932,573,386,441,311,132,151,4217,909,879,354,3338,844,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15625,2473,2402,833,859,476,1543,653,13223,2461,2484,992,10739,2112,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,13830,2029,2311,866,860,508,1451,630,11519,2024,2427,976,9092,1740,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,27552,2344,5188,1066,2141,798,3047,770,22364,2188,4724,1074,17640,1788,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22331,2754,2124,846,1023,697,1101,479,20207,2452,4023,1231,16184,2044,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1570,724,195,150,195,150,0,184,1375,702,262,235,1113,650,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1040,506,228,185,112,134,116,138,812,449,360,266,452,288,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1501,625,997,538,529,448,468,313,504,328,266,198,238,190,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,12650,1761,2289,722,997,504,1292,579,10361,1614,2267,702,8094,1559,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,10710,1867,1691,845,785,538,906,564,9019,1736,2666,1130,6353,1255,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6648,1463,848,529,534,472,314,223,5800,1237,1477,786,4323,1042,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,6878,1268,1047,498,869,463,178,138,5831,1069,1733,492,4098,924,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2324,550,316,217,0,177,316,217,2008,551,447,298,1561,417,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,7676,1695,1107,484,419,302,688,366,6569,1555,1658,834,4911,1273,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
