GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001EA,B10051F_001MA,B10051F_002MA,B10051F_002EA,B10051F_003EA,B10051F_003MA,B10051F_004EA,B10051F_004MA,B10051F_005EA,B10051F_005MA,B10051F_006EA,B10051F_006MA,B10051F_007EA,B10051F_007MA,state
0400000US06,203985,9841,52228,4487,40699,4053,11529,1809,151757,8481,90129,6182,61628,4834,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7156,1516,3298,1238,2798,1194,500,295,3858,1299,2364,1111,1494,761,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2847,1017,606,373,505,351,101,112,2241,970,1249,758,992,564,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11762,2539,3864,1351,3073,1337,791,674,7898,2113,4355,1595,3543,1337,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5973,1801,2461,1059,1520,849,941,767,3512,1411,2036,1069,1476,766,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,30075,4109,7946,1875,6599,1712,1347,572,22129,3499,12407,2381,9722,2178,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2843,1120,759,500,527,314,232,282,2084,925,978,634,1106,549,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1606,707,527,315,321,250,206,260,1079,657,716,480,363,377,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1068,592,293,256,235,243,58,82,775,508,313,282,462,431,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5314,1265,1570,1009,1235,910,335,341,3744,1019,2527,1059,1217,614,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,10093,2299,2968,1216,2614,1228,354,189,7125,1881,4300,1391,2825,1118,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2433,878,620,445,370,332,250,267,1813,808,983,631,830,472,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1617,566,365,246,333,258,32,50,1252,494,587,275,665,398,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1054,652,225,192,150,161,75,105,829,559,271,226,558,515,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1210,466,468,237,439,228,29,57,742,416,417,321,325,262,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
