GEO_ID,C05003E_001E,C05003E_001M,C05003E_002E,C05003E_002M,C05003E_003E,C05003E_003M,C05003E_004E,C05003E_004M,C05003E_005E,C05003E_005M,C05003E_006E,C05003E_006M,C05003E_007E,C05003E_007M,C05003E_008E,C05003E_008M,C05003E_009E,C05003E_009M,C05003E_010E,C05003E_010M,C05003E_011E,C05003E_011M,C05003E_012E,C05003E_012M,C05003E_013E,C05003E_013M,C05003E_014E,C05003E_014M,C05003E_015E,C05003E_015M,NAME,C05003E_001MA,C05003E_001EA,C05003E_002EA,C05003E_002MA,C05003E_003MA,C05003E_003EA,C05003E_004MA,C05003E_004EA,C05003E_005MA,C05003E_005EA,C05003E_006MA,C05003E_006EA,C05003E_007EA,C05003E_007MA,C05003E_008MA,C05003E_008EA,C05003E_009MA,C05003E_009EA,C05003E_010EA,C05003E_010MA,C05003E_011MA,C05003E_011EA,C05003E_012MA,C05003E_012EA,C05003E_013MA,C05003E_013EA,C05003E_014MA,C05003E_014EA,C05003E_015EA,C05003E_015MA,state
0400000US06,146712,4467,71686,2730,16978,1599,15993,1589,985,431,54708,2196,38951,2712,15757,2096,75026,3052,18029,1589,16997,1695,1032,579,56997,2114,39128,2914,17869,2331,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5308,1301,2410,720,237,286,237,286,0,189,2173,666,1517,543,656,518,2898,933,1095,728,1095,728,0,189,1803,665,1186,542,617,488,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11609,3423,6701,2167,1545,1119,1545,1119,0,211,5156,1861,3786,1192,1370,953,4908,1642,892,782,892,782,0,211,4016,1202,2857,894,1159,744,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,145408,5729,73217,3214,23377,1730,21943,1842,1434,597,49840,2393,39609,2498,10231,1756,72191,3138,21424,1774,20441,1781,983,445,50767,2103,40035,2352,10732,1757,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4231,1586,1693,998,478,392,478,392,0,179,1215,758,672,504,543,567,2538,1022,810,495,745,483,65,109,1728,671,1093,509,635,453,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2260,754,1392,545,361,137,298,115,63,96,1031,495,572,409,459,273,868,347,216,82,216,82,0,151,652,307,282,198,370,213,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1829,680,987,434,148,136,148,136,0,161,839,376,784,388,55,64,842,460,286,202,242,198,44,76,556,434,526,434,30,30,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2336,1001,675,321,144,118,144,118,0,139,531,260,340,202,191,157,1661,849,776,521,551,472,225,230,885,598,664,492,221,234,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
