C19101F_011M,GEO_ID,C19101F_001E,C19101F_001M,C19101F_002E,C19101F_002M,C19101F_003E,C19101F_003M,C19101F_004E,C19101F_004M,C19101F_005E,C19101F_005M,C19101F_006E,C19101F_006M,C19101F_007E,C19101F_007M,C19101F_008E,C19101F_008M,C19101F_009E,C19101F_009M,C19101F_010E,C19101F_010M,C19101F_011E,C19101F_011MA,NAME,C19101F_001MA,C19101F_001EA,C19101F_002MA,C19101F_002EA,C19101F_003EA,C19101F_003MA,C19101F_004EA,C19101F_004MA,C19101F_005EA,C19101F_005MA,C19101F_006MA,C19101F_006EA,C19101F_007MA,C19101F_007EA,C19101F_008EA,C19101F_008MA,C19101F_009EA,C19101F_009MA,C19101F_010EA,C19101F_010MA,C19101F_011EA,state
1759,0400000US06,981053,12943,76656,4878,62165,3815,146181,6038,128131,5169,172133,6322,181344,6011,99564,4682,82726,4906,20780,2316,11373,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
392,0400000US08,48179,3640,4485,1041,3242,1095,7833,1416,7723,1549,8377,1447,7524,1359,4535,1110,2730,728,975,402,755,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
258,0400000US09,33909,2903,3285,828,3233,1180,5512,1147,4822,1252,5111,1281,5748,1445,2305,856,2405,785,1125,590,363,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
283,0400000US10,5302,1276,190,213,643,469,842,539,258,221,698,390,1726,877,490,313,299,298,0,182,156,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
82,0400000US11,5217,1254,513,416,501,322,695,431,763,539,989,521,799,523,198,327,710,389,0,197,49,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
987,0400000US12,90966,5378,8571,1629,6257,1314,16818,2662,11910,1913,16543,2899,12603,1956,9061,1713,4981,1404,2130,884,2092,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
340,0400000US13,59199,4090,6187,1501,5402,1556,13362,2502,9432,1663,8412,1755,7941,1629,4819,1606,2708,1104,507,259,429,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
51,0400000US15,3021,766,235,189,383,355,190,178,293,242,359,215,888,504,260,200,279,222,103,119,31,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
43,0400000US16,8975,1529,1041,696,232,239,2054,909,1548,793,1603,663,1741,641,263,260,427,470,44,75,22,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
651,0400000US17,151900,5283,7902,1339,8056,1523,20972,2399,19513,2258,29910,2863,31207,2657,18399,2098,11841,1934,2370,768,1730,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
120,0400000US18,30848,2330,2678,794,1744,750,5789,1261,4092,1224,5835,1562,5051,991,2779,799,2201,822,607,461,72,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
151,0400000US19,7435,1328,516,233,174,162,980,483,1542,805,1751,684,1612,621,247,184,442,341,171,170,0,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
126,0400000US20,11879,1502,840,444,583,402,2568,865,2286,653,2451,698,2105,548,459,295,479,305,33,61,75,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
267,0400000US21,7653,1433,1024,634,965,614,1230,557,999,487,1331,727,1203,596,620,497,48,92,67,83,166,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
86,0400000US22,10599,1753,733,459,1107,736,857,460,1133,546,2097,765,2657,1003,1326,607,606,325,33,65,50,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
563,0400000US24,39764,2855,1453,594,1084,699,4505,1258,4784,1239,7358,1334,10025,1717,4410,1124,3474,849,1624,812,1047,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
520,0400000US25,60388,3615,8300,1448,4980,1211,8249,1430,7154,1269,9452,1392,10210,2194,5034,1296,4286,916,1770,828,953,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
243,0400000US26,19594,1881,2092,586,1104,473,3764,976,3763,869,2945,798,3146,832,1449,550,570,311,408,256,353,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
208,0400000US27,14108,1874,698,344,860,512,1212,515,2261,771,2416,916,3170,867,1685,668,1098,455,495,437,213,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
48,0400000US28,4064,999,463,472,370,295,731,452,1058,419,471,385,545,354,305,238,40,72,53,85,28,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
69,0400000US29,12767,1712,1494,546,539,344,3023,1083,2023,685,2454,805,1051,449,1487,661,228,201,413,374,55,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
83,0400000US31,9169,1326,533,423,880,444,1897,738,855,452,1657,620,2018,629,708,373,448,394,105,185,68,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
235,0400000US32,48165,3143,4039,1050,3269,1200,6863,1284,6095,1183,9615,1788,9971,1868,4716,1215,2667,670,716,435,214,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
738,0400000US34,115471,5382,9242,1461,6903,1449,16111,2527,13540,1734,20812,2804,21935,2471,10659,1664,10323,1728,4370,1068,1576,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
231,0400000US35,59175,3925,6469,1429,3942,1065,9511,1677,8980,1883,8809,1499,11220,1867,5872,1167,2836,771,1212,574,324,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
1157,0400000US36,355639,7902,40589,3433,26517,2743,61568,3704,45907,3948,56297,4388,55970,3859,30784,3163,24937,2498,8526,1453,4544,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
212,0400000US37,47588,3939,5672,1249,5154,1514,8887,1458,9210,1996,8445,1712,5483,1256,2895,1054,1304,595,248,194,290,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
