GEO_ID,B21001F_001E,B21001F_001M,B21001F_002E,B21001F_002M,B21001F_003E,B21001F_003M,B21001F_004E,B21001F_004M,B21001F_005E,B21001F_005M,B21001F_006E,B21001F_006M,B21001F_007E,B21001F_007M,B21001F_008E,B21001F_008M,B21001F_009E,B21001F_009M,B21001F_010E,B21001F_010M,B21001F_011E,B21001F_011M,B21001F_012E,B21001F_012M,B21001F_013E,B21001F_013M,B21001F_014E,B21001F_014M,B21001F_015E,B21001F_015M,B21001F_016E,B21001F_016M,B21001F_017E,B21001F_017M,B21001F_018E,B21001F_018M,B21001F_019E,B21001F_019M,B21001F_020E,B21001F_020M,B21001F_021E,B21001F_021M,B21001F_022E,B21001F_022M,B21001F_023E,B21001F_023M,B21001F_024E,B21001F_024M,B21001F_025E,B21001F_025M,B21001F_026E,B21001F_026M,B21001F_027E,B21001F_027M,B21001F_028E,B21001F_028M,B21001F_029E,B21001F_029M,B21001F_030E,B21001F_030M,B21001F_031E,B21001F_031M,B21001F_032E,B21001F_032M,B21001F_033E,B21001F_033M,NAME,B21001F_001MA,B21001F_001EA,B21001F_002MA,B21001F_002EA,B21001F_003MA,B21001F_003EA,B21001F_004EA,B21001F_004MA,B21001F_005MA,B21001F_005EA,B21001F_006MA,B21001F_006EA,B21001F_007MA,B21001F_007EA,B21001F_008MA,B21001F_008EA,B21001F_009EA,B21001F_009MA,B21001F_010EA,B21001F_010MA,B21001F_011MA,B21001F_011EA,B21001F_012MA,B21001F_012EA,B21001F_013MA,B21001F_013EA,B21001F_014MA,B21001F_014EA,B21001F_015EA,B21001F_015MA,B21001F_016MA,B21001F_016EA,B21001F_017MA,B21001F_017EA,B21001F_018MA,B21001F_018EA,B21001F_019MA,B21001F_019EA,B21001F_020EA,B21001F_020MA,B21001F_021EA,B21001F_021MA,B21001F_022MA,B21001F_022EA,B21001F_023MA,B21001F_023EA,B21001F_024MA,B21001F_024EA,B21001F_025MA,B21001F_025EA,B21001F_026MA,B21001F_026EA,B21001F_027EA,B21001F_027MA,B21001F_028EA,B21001F_028MA,B21001F_029MA,B21001F_029EA,B21001F_030EA,B21001F_030MA,B21001F_031MA,B21001F_031EA,B21001F_032EA,B21001F_032MA,B21001F_033EA,B21001F_033MA,state
0400000US06,3357725,35925,1712811,21338,779771,12982,11210,1601,768561,12918,676044,10929,18576,2221,657468,10672,161311,4908,12899,1519,148412,4919,59880,3560,8135,1286,51745,3367,35805,2243,6645,942,29160,2145,1644914,19340,716826,9968,2683,1090,714143,10021,634546,11171,1817,907,632729,11219,165121,4978,302,230,164819,4957,74727,3794,127,123,74600,3805,53694,3036,177,174,53517,3075,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,150296,8333,77639,5206,33533,3301,1110,757,32423,3258,31339,2914,1924,695,29415,2838,7662,1247,1182,473,6480,1182,3635,793,776,375,2859,708,1470,477,1014,397,456,246,72657,4632,29348,3237,265,376,29083,3227,29555,2632,695,389,28860,2632,7985,1210,48,80,7937,1208,3970,899,0,189,3970,899,1799,476,0,189,1799,476,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116133,7419,61620,5254,28310,3467,192,204,28118,3434,26185,2861,833,465,25352,2812,3987,898,750,425,3237,853,2523,685,265,281,2258,621,615,294,0,193,615,294,54513,3831,23041,2305,215,246,22826,2308,22935,2220,196,240,22739,2205,4483,934,0,193,4483,934,3120,728,0,193,3120,728,934,413,0,193,934,413,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,331459,16852,173558,10552,78393,6406,938,439,77455,6390,67239,5767,4810,1392,62429,5611,17591,2283,2613,1323,14978,2346,7143,1570,717,387,6426,1533,3192,846,673,324,2519,778,157901,9127,62745,4396,589,426,62156,4297,65122,5059,635,492,64487,5041,18751,2630,26,45,18725,2636,6775,1385,109,125,6666,1375,4508,1070,0,211,4508,1070,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,188394,9221,108139,5993,57139,4391,1190,618,55949,4430,43845,3595,1817,865,42028,3720,4580,1203,698,483,3882,1091,2197,705,151,244,2046,676,378,246,0,208,378,246,80255,5055,41402,3521,570,568,40832,3521,31425,3109,678,626,30747,3070,5173,1238,0,208,5173,1238,1227,603,0,208,1227,603,1028,625,0,208,1028,625,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10692,1851,5358,1225,2500,971,614,453,1886,905,1722,576,518,391,1204,449,854,347,335,196,519,330,194,157,163,163,31,37,88,107,45,76,43,76,5334,1074,2261,662,44,77,2217,673,2167,749,210,268,1957,695,486,260,0,177,486,260,233,235,0,177,233,235,187,167,0,177,187,167,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,485459,15311,256564,8601,115240,5765,2629,975,112611,5724,108319,5087,3400,1018,104919,4888,21454,1632,1133,614,20321,1742,7100,1138,476,288,6624,1146,4451,870,222,160,4229,870,228895,8325,99639,5301,990,685,98649,5266,94417,4088,319,410,94098,4089,20800,1978,151,217,20649,1936,8324,1196,0,179,8324,1196,5715,1000,0,179,5715,1000,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
