GEO_ID,B17010D_001E,B17010D_001M,B17010D_002E,B17010D_002M,B17010D_003E,B17010D_003M,B17010D_004E,B17010D_004M,B17010D_005E,B17010D_005M,B17010D_006E,B17010D_006M,B17010D_007E,B17010D_007M,B17010D_008E,B17010D_008M,B17010D_009E,B17010D_009M,B17010D_010E,B17010D_010M,B17010D_011E,B17010D_011M,B17010D_012E,B17010D_012M,B17010D_013E,B17010D_013M,B17010D_014E,B17010D_014M,B17010D_015E,B17010D_015M,B17010D_016E,B17010D_016M,B17010D_017E,B17010D_017M,B17010D_018E,B17010D_018M,B17010D_019E,B17010D_019M,B17010D_020E,B17010D_020M,B17010D_021E,B17010D_021M,B17010D_022E,B17010D_022M,B17010D_023E,B17010D_023M,B17010D_024E,B17010D_024M,B17010D_025E,B17010D_025M,B17010D_026E,B17010D_026M,B17010D_027E,B17010D_027M,B17010D_028E,B17010D_028M,B17010D_029E,B17010D_029M,B17010D_030E,B17010D_030M,B17010D_031E,B17010D_031M,B17010D_032E,B17010D_032M,B17010D_033E,B17010D_033M,B17010D_034E,B17010D_034M,B17010D_035E,B17010D_035M,B17010D_036E,B17010D_036M,B17010D_037E,B17010D_037M,B17010D_038E,B17010D_038M,B17010D_039E,B17010D_039M,B17010D_040E,B17010D_040M,B17010D_041E,B17010D_041M,NAME,B17010D_001EA,B17010D_001MA,B17010D_002EA,B17010D_002MA,B17010D_003EA,B17010D_003MA,B17010D_004MA,B17010D_004EA,B17010D_005MA,B17010D_005EA,B17010D_006EA,B17010D_006MA,B17010D_007EA,B17010D_007MA,B17010D_008EA,B17010D_008MA,B17010D_009MA,B17010D_009EA,B17010D_010MA,B17010D_010EA,B17010D_011MA,B17010D_011EA,B17010D_012EA,B17010D_012MA,B17010D_013EA,B17010D_013MA,B17010D_014EA,B17010D_014MA,B17010D_015EA,B17010D_015MA,B17010D_016EA,B17010D_016MA,B17010D_017MA,B17010D_017EA,B17010D_018EA,B17010D_018MA,B17010D_019EA,B17010D_019MA,B17010D_020MA,B17010D_020EA,B17010D_021EA,B17010D_021MA,B17010D_022MA,B17010D_022EA,B17010D_023EA,B17010D_023MA,B17010D_024EA,B17010D_024MA,B17010D_025MA,B17010D_025EA,B17010D_026EA,B17010D_026MA,B17010D_027MA,B17010D_027EA,B17010D_028MA,B17010D_028EA,B17010D_029EA,B17010D_029MA,B17010D_030MA,B17010D_030EA,B17010D_031MA,B17010D_031EA,B17010D_032MA,B17010D_032EA,B17010D_033MA,B17010D_033EA,B17010D_034EA,B17010D_034MA,B17010D_035EA,B17010D_035MA,B17010D_036MA,B17010D_036EA,B17010D_037MA,B17010D_037EA,B17010D_038MA,B17010D_038EA,B17010D_039MA,B17010D_039EA,B17010D_040EA,B17010D_040MA,B17010D_041MA,B17010D_041EA,state
0400000US06,1197646,9738,109430,4867,61989,3948,34984,2756,4784,1022,8749,1428,21451,1984,27005,2470,47441,3486,11931,1841,6374,1348,821,519,1354,574,4199,1133,5557,1200,35510,3058,25317,2596,4111,1021,3998,1076,17208,2097,10193,1573,1088216,9319,866322,9982,448778,7904,96117,4693,81103,4325,271558,6537,417544,7728,221894,6728,76103,4255,25324,2446,4962,1120,3328,942,17034,2249,50779,3107,145791,5464,63843,3674,8539,1593,8676,1526,46628,3210,81948,3965,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31778,1993,2694,977,1412,642,1260,635,178,215,510,447,572,360,152,93,1282,657,378,375,378,375,0,189,150,248,228,290,0,189,904,475,853,461,22,38,192,201,639,425,51,87,29084,2008,23992,2009,14073,1516,3296,776,2710,776,8067,1264,9919,1329,5092,1122,1369,572,463,312,54,89,0,189,409,285,906,449,3723,971,1831,644,304,250,339,300,1188,538,1892,731,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,112764,3780,11802,2272,7648,1786,4659,1228,1241,804,724,373,2694,792,2989,957,4154,1201,1448,743,807,639,0,211,303,464,504,438,641,391,2706,941,2252,881,240,203,418,360,1594,739,454,229,100962,4222,85621,4021,45456,3388,9954,1384,8592,1713,26910,2854,40165,2980,15341,1820,4414,1092,2048,779,421,352,63,76,1564,725,2366,717,10927,1575,5016,1171,881,481,598,414,3537,918,5911,1295,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,77187,3344,9112,1363,6893,1271,5543,1172,1518,655,2044,780,1981,667,1350,428,2219,704,541,373,409,351,0,208,67,116,342,333,132,133,1678,691,1536,656,49,87,73,123,1414,647,142,136,68075,3200,58439,3100,33181,2693,6762,1376,8158,1584,18261,2202,25258,2399,9636,1719,3580,961,1462,568,622,364,18,31,822,451,2118,741,6056,1470,2974,1136,835,803,331,346,1808,684,3082,943,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125485,3365,6892,1316,3283,762,1522,466,220,148,586,389,716,285,1761,634,3609,928,603,326,279,254,91,145,0,177,188,203,324,223,3006,800,2498,848,775,517,539,436,1184,520,508,282,118593,3292,88883,3270,37203,2324,5571,1049,6002,912,25630,1931,51680,2335,29710,2230,8578,1276,2945,756,535,280,653,420,1757,505,5633,965,21132,1750,8991,1309,1449,601,1476,561,6066,1232,12141,1343,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,145815,2935,11603,1510,8317,1320,5302,1142,1209,548,608,443,3485,999,3015,738,3286,878,607,337,483,290,91,109,0,179,392,254,124,120,2679,808,1996,711,591,490,287,248,1118,538,683,316,134212,3334,116564,3500,63733,3182,16091,1936,10743,1461,36899,2619,52831,2994,17648,1882,5879,1193,2400,860,529,366,43,74,1828,766,3479,817,11769,1572,5504,1073,1280,605,123,120,4101,858,6265,1105,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
