GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001MA,C15010B_001EA,C15010B_002MA,C15010B_002EA,C15010B_003MA,C15010B_003EA,C15010B_004EA,C15010B_004MA,C15010B_005EA,C15010B_005MA,C15010B_006MA,C15010B_006EA,state
0400000US06,317321,8726,112623,5091,25079,2286,67905,4602,26518,2407,85196,4560,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30837,2940,9109,1703,2177,923,8946,1363,2536,696,8069,1611,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42959,3937,14622,1819,4340,1114,9253,1627,4606,1143,10138,1939,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25267,2870,6874,1539,2833,867,6909,1683,3443,907,5208,1161,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50615,3725,18638,1850,2527,640,12042,1855,4785,825,12623,1908,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,311099,9740,87245,5371,38333,3432,81912,5630,45443,3751,58166,4407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,382029,13747,112058,6822,31928,3501,107997,6985,48683,4280,81363,5342,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5286,949,1380,580,285,240,1981,816,396,233,1244,465,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,216850,6308,64294,4076,20311,2079,51870,3620,29493,2609,50882,3435,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,58260,3897,16334,2529,5989,1344,16756,2276,7929,1464,11252,1634,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
