GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001MA,B17020B_001EA,B17020B_002EA,B17020B_002MA,B17020B_003EA,B17020B_003MA,B17020B_004EA,B17020B_004MA,B17020B_005EA,B17020B_005MA,B17020B_006MA,B17020B_006EA,B17020B_007EA,B17020B_007MA,B17020B_008MA,B17020B_008EA,B17020B_009EA,B17020B_009MA,B17020B_010EA,B17020B_010MA,B17020B_011MA,B17020B_011EA,B17020B_012MA,B17020B_012EA,B17020B_013EA,B17020B_013MA,B17020B_014EA,B17020B_014MA,B17020B_015EA,B17020B_015MA,B17020B_016EA,B17020B_016MA,B17020B_017MA,B17020B_017EA,state
0400000US06,2163855,17765,565285,19474,54524,4933,9701,1749,62947,4868,63212,4930,338441,11859,21929,2409,14531,1508,1598570,21492,79004,5631,17145,2055,112056,5299,126088,5956,1071855,13883,112529,2449,79893,2464,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,205899,5539,61082,7676,6831,1428,1943,748,9312,2353,7037,1571,33967,4330,1173,436,819,302,144817,7388,9134,1799,2799,870,12273,2130,11797,2128,95662,3884,8306,999,4846,592,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,350428,6363,84162,8671,8104,1846,2577,817,10994,2044,10731,2318,46630,4550,2913,851,2213,612,266266,8479,16798,1782,4012,1039,18966,2250,22536,2570,177587,5413,16803,998,9564,897,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,188885,2827,34614,4799,4361,1306,589,405,4509,1152,4883,1362,17988,2628,1413,535,871,390,154271,4903,8522,1477,1798,643,13046,1939,14037,1566,101094,2817,9998,571,5776,387,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,298073,2737,76526,6455,6827,1567,1024,482,7340,1494,8304,1415,46177,3811,4066,900,2788,602,221547,6504,12180,1534,3045,803,13112,1676,14492,1992,143179,4129,18634,944,16905,694,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2989571,17985,867073,25914,102561,5097,21084,2679,116486,7948,95293,6428,473728,14669,34915,2796,23006,2160,2122498,28462,124537,5035,24609,2641,165750,9106,179308,7448,1414822,15963,130708,3111,82764,2907,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2944374,12467,821968,25075,100232,6414,22242,3126,113129,6889,95812,5503,444599,14025,26670,2369,19284,1827,2122406,26397,121403,6435,25931,3030,167767,9191,192956,7575,1429113,15237,120453,3459,64783,3007,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,23138,1797,2763,1349,323,326,401,404,299,326,32,58,1571,703,0,177,137,196,20375,2144,1967,528,441,293,1605,541,844,348,14495,1411,489,268,534,341,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1776039,9473,567928,16889,60105,3726,13751,1729,66538,4129,72841,4852,319850,9532,19614,2264,15229,1334,1208111,17821,59549,3708,12746,2037,85563,5895,106992,4767,793499,10012,90172,2494,59590,2062,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
