GEO_ID,B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,NAME,B10051B_001EA,B10051B_001MA,B10051B_002EA,B10051B_002MA,B10051B_003MA,B10051B_003EA,B10051B_004MA,B10051B_004EA,B10051B_005MA,B10051B_005EA,B10051B_006EA,B10051B_006MA,B10051B_007EA,B10051B_007MA,state
0400000US06,65512,4774,25885,2797,16029,2466,9856,1480,39627,4039,19727,2758,19900,2502,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5998,1357,3150,959,2400,873,750,368,2848,841,1802,614,1046,508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,11016,1949,4839,1399,3269,1298,1570,681,6177,1367,3443,1161,2734,722,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8314,1760,3459,1124,1668,631,1791,904,4855,1426,2712,1085,2143,838,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8334,1490,2660,1002,1766,879,894,436,5674,1187,2513,783,3161,962,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,112903,6357,49173,4006,31455,3623,17718,2198,63730,4863,28016,3390,35714,4087,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,101687,6736,49640,4821,34509,4076,15131,1957,52047,4440,29184,3768,22863,3138,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,64499,4067,29874,2590,19548,2261,10326,1379,34625,3023,18865,2363,15760,1951,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,13539,2063,6941,1431,4624,1246,2317,614,6598,1447,3499,1131,3099,792,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1724,528,776,422,397,300,379,295,948,453,771,435,177,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3760,1177,2510,1030,1482,661,1028,594,1250,390,893,384,357,202,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9840,1431,5260,1065,4292,1039,968,489,4580,931,3309,949,1271,422,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53926,3961,32094,3239,22550,2760,9544,1613,21832,2840,12658,2152,9174,1377,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,57710,4480,21853,2865,13894,2093,7959,1484,35857,3166,17028,2494,18829,2282,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,14960,2248,6168,1523,3722,1209,2446,900,8792,1511,4398,959,4394,1117,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,40446,2961,19028,1958,12758,1602,6270,1065,21418,2116,11570,1749,9848,1484,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5930,1050,2071,760,1592,654,479,326,3859,1030,2744,912,1115,431,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,47147,3800,26587,3065,18984,2416,7603,1374,20560,2660,11244,1931,9316,1599,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,16328,1908,8095,1407,5758,1316,2337,616,8233,1487,3844,905,4389,1117,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1267,569,757,321,321,198,436,297,510,441,510,441,0,149,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,5648,1412,2993,1033,1196,583,1797,922,2655,857,1249,620,1406,568,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,35397,3134,12961,1695,8143,1515,4818,1040,22436,3058,9793,1800,12643,2194,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,105285,5653,39093,3716,23194,2796,15899,2140,66192,4322,27880,3022,38312,3093,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,67268,4527,34313,3584,23124,3065,11189,1786,32955,3270,17330,2395,15625,2138,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,32730,2847,17725,2214,11570,1745,6155,1340,15005,1988,8325,1472,6680,1324,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,7516,1376,4476,938,2655,772,1821,566,3040,1060,1694,869,1346,581,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1275,594,559,373,318,331,241,182,716,429,284,234,432,324,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,46796,4715,22057,2906,15933,2386,6124,1220,24739,2948,14083,2135,10656,1871,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1752,684,775,423,604,364,171,169,977,503,625,383,352,314,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,49141,3711,26127,3126,16581,2409,9546,1753,23014,2548,12378,1882,10636,1595,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,33199,3355,15345,2333,10369,1971,4976,883,17854,2429,10038,1704,7816,1730,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,98305,6456,55180,4412,37861,4180,17319,1891,43125,4667,23834,3340,19291,2708,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,49182,3206,19902,1794,13296,1507,6606,1165,29280,2936,16732,2356,12548,1617,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4597,1213,1861,737,1451,645,410,287,2736,920,1879,824,857,491,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1042,464,601,343,487,354,114,113,441,261,18,33,423,251,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,9005,1443,5131,1008,3646,927,1485,453,3874,966,1741,573,2133,745,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,11326,1534,4922,1162,2653,741,2269,854,6404,1222,1789,621,4615,1101,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,41379,3219,26103,2637,18359,2244,7744,1138,15276,1799,8274,1546,7002,1127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6184,1429,3237,1060,2086,839,1151,504,2947,989,1846,870,1101,572,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15592,2084,9392,1736,7078,1599,2314,624,6200,1310,3380,954,2820,769,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
