GEO_ID,C19001B_001E,C19001B_001M,C19001B_002E,C19001B_002M,C19001B_003E,C19001B_003M,C19001B_004E,C19001B_004M,C19001B_005E,C19001B_005M,C19001B_006E,C19001B_006M,C19001B_007E,C19001B_007M,C19001B_008E,C19001B_008M,C19001B_009E,C19001B_009M,C19001B_010E,C19001B_010M,C19001B_011E,C19001B_011M,NAME,C19001B_001MA,C19001B_001EA,C19001B_002EA,C19001B_002MA,C19001B_003EA,C19001B_003MA,C19001B_004EA,C19001B_004MA,C19001B_005MA,C19001B_005EA,C19001B_006MA,C19001B_006EA,C19001B_007MA,C19001B_007EA,C19001B_008EA,C19001B_008MA,C19001B_009EA,C19001B_009MA,C19001B_010EA,C19001B_010MA,C19001B_011MA,C19001B_011EA,state
0400000US06,819829,9082,107115,5426,74815,3573,100314,5095,81582,4804,105090,5260,135904,6127,82941,4585,83289,5155,29186,2709,19593,2412,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72416,2908,8959,1432,4928,1113,8848,1608,9935,1692,11340,1507,11543,1555,7245,1261,5508,1191,3274,1082,836,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,130674,3385,17404,1839,9740,1676,19232,2352,14793,1971,16296,1938,21663,2103,12239,1510,12892,1713,4304,1030,2111,669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,67325,2279,5953,1276,5301,920,6740,1420,7944,1458,9962,1360,13193,1892,7844,1483,7549,1421,1525,662,1314,646,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,124481,2767,20611,2070,9233,1282,15015,1788,11954,1279,17121,1703,18236,2012,10959,1521,12156,1466,5108,967,4088,888,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,984074,9997,144122,6757,86219,4783,155399,6212,139240,5543,155262,7503,153288,6063,72079,4114,55519,3647,13914,2171,9032,1779,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1060959,9116,159297,6964,90458,5063,152115,6055,131554,5289,156082,7768,174108,6963,94458,4931,71524,4549,18451,2594,12912,2162,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10013,1218,601,454,0,177,438,269,1014,467,2056,680,2068,778,1350,784,1605,791,592,505,289,221,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,660432,6744,119272,4869,58224,4113,92964,4014,79472,4339,87968,4403,94549,4290,58444,3663,47959,3241,12857,1564,8723,1451,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,222791,4811,39941,3050,23051,2120,36417,2951,30879,2431,30506,2822,30506,2563,14692,1875,11110,1891,3162,876,2527,914,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31585,1967,5537,1172,3488,1014,5353,1234,4539,1050,3246,715,4162,927,2350,646,1887,692,437,409,586,403,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,64124,2282,10372,1592,5326,1080,8888,1655,8734,1464,9590,1384,10430,1519,6902,1346,3107,852,407,234,368,272,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,134957,3254,27050,2432,13692,1876,22562,2212,18357,2048,17184,1889,18376,2139,8683,1328,6872,1088,1547,613,634,366,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,514717,6339,90105,4769,59900,3579,90282,4584,66750,3370,71229,3998,67944,3898,35178,2648,25017,2522,6086,1261,2226,526,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3859,727,839,366,304,279,639,334,432,232,768,486,197,181,486,317,121,119,73,104,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,623453,5865,57097,3201,32761,2714,55299,3081,55140,3922,85427,4331,112691,5270,73875,4094,89328,4194,38557,2815,23278,2013,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,152906,4076,21067,2251,12414,1813,18088,2107,15721,1917,21224,2419,27503,2656,13645,1776,13937,1680,5164,1105,4143,1045,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
