GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001EA,C17010D_001MA,C17010D_002EA,C17010D_002MA,C17010D_003MA,C17010D_003EA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007EA,C17010D_007MA,C17010D_008MA,C17010D_008EA,C17010D_009MA,C17010D_009EA,C17010D_010EA,C17010D_010MA,C17010D_011EA,C17010D_011MA,C17010D_012EA,C17010D_012MA,C17010D_013MA,C17010D_013EA,C17010D_014MA,C17010D_014EA,C17010D_015EA,C17010D_015MA,C17010D_016EA,C17010D_016MA,C17010D_017EA,C17010D_017MA,state
0400000US06,1197646,9738,109430,4867,61989,3948,34984,2756,47441,3486,11931,1841,6374,1348,35510,3058,25317,2596,1088216,9319,866322,9982,448778,7904,221894,6728,76103,4255,25324,2446,145791,5464,63843,3674,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31778,1993,2694,977,1412,642,1260,635,1282,657,378,375,378,375,904,475,853,461,29084,2008,23992,2009,14073,1516,5092,1122,1369,572,463,312,3723,971,1831,644,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35302,1656,1336,458,820,345,471,240,516,330,51,86,0,193,465,309,291,293,33966,1669,30059,1679,17508,1320,3907,908,940,556,513,456,2967,733,1753,614,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7210,632,330,261,220,188,67,85,110,141,0,182,0,182,110,141,0,182,6880,627,6114,668,3706,576,766,399,331,239,113,144,435,305,169,195,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,112764,3780,11802,2272,7648,1786,4659,1228,4154,1201,1448,743,807,639,2706,941,2252,881,100962,4222,85621,4021,45456,3388,15341,1820,4414,1092,2048,779,10927,1575,5016,1171,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,77187,3344,9112,1363,6893,1271,5543,1172,2219,704,541,373,409,351,1678,691,1536,656,68075,3200,58439,3100,33181,2693,9636,1719,3580,961,1462,568,6056,1470,2974,1136,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125485,3365,6892,1316,3283,762,1522,466,3609,928,603,326,279,254,3006,800,2498,848,118593,3292,88883,3270,37203,2324,29710,2230,8578,1276,2945,756,21132,1750,8991,1309,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,145815,2935,11603,1510,8317,1320,5302,1142,3286,878,607,337,483,290,2679,808,1996,711,134212,3334,116564,3500,63733,3182,17648,1882,5879,1193,2400,860,11769,1572,5504,1073,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23748,1753,3688,992,2264,791,1283,646,1424,636,761,520,338,329,663,427,404,326,20060,1464,17649,1374,10181,1163,2411,850,507,329,18,34,1904,761,992,503,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
