GEO_ID,B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,NAME,B14007B_001MA,B14007B_001EA,B14007B_002MA,B14007B_002EA,B14007B_003MA,B14007B_003EA,B14007B_004MA,B14007B_004EA,B14007B_005EA,B14007B_005MA,B14007B_006MA,B14007B_006EA,B14007B_007MA,B14007B_007EA,B14007B_008MA,B14007B_008EA,B14007B_009MA,B14007B_009EA,B14007B_010EA,B14007B_010MA,B14007B_011MA,B14007B_011EA,B14007B_012MA,B14007B_012EA,B14007B_013MA,B14007B_013EA,B14007B_014EA,B14007B_014MA,B14007B_015MA,B14007B_015EA,B14007B_016MA,B14007B_016EA,B14007B_017MA,B14007B_017EA,B14007B_018MA,B14007B_018EA,B14007B_019MA,B14007B_019EA,state
0400000US06,2182682,16649,689503,11922,33356,3538,25914,3051,29548,2305,30185,2864,31185,2624,31376,2975,30074,2312,30069,2818,28808,2472,31255,2784,29185,3029,35944,3036,35094,2535,46763,3069,209151,7576,31596,3016,1493179,12043,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,208167,5046,70328,3884,3469,878,3527,757,3273,931,3781,895,4011,964,3120,888,3774,1015,3177,900,4124,956,2699,858,2502,732,3194,1020,3653,718,4323,913,18757,2253,2944,762,137839,3844,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,353028,6227,120228,5715,9854,1880,6366,1471,5936,1301,4105,1191,4705,1061,5106,1267,4733,899,6595,1419,5428,1176,6199,1360,5120,1046,6515,1396,6482,1384,8040,1209,29860,3198,5184,1261,232800,5508,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,187699,2907,60798,2964,2564,748,2180,784,2808,921,1642,593,3175,1169,4363,1367,2432,746,3193,1082,2839,768,4611,1312,3530,940,2455,631,2911,739,2901,769,16822,1932,2372,681,126901,2808,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,301866,2628,83232,2801,6928,1104,4802,838,3230,834,3360,778,3920,1104,3086,757,3309,1083,3610,1074,2577,735,3707,1095,4955,866,3739,736,5285,973,5081,1057,19224,2020,6419,1231,218634,3181,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2971933,17169,1003227,15433,66172,4923,50325,4038,45922,3080,47893,3597,55691,4255,44935,3511,49121,4338,46496,3875,45948,3708,45685,3610,44289,3525,49139,3214,53392,3902,56719,3978,259336,9856,42164,3701,1968706,14702,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2937340,11180,1022687,15112,68721,4654,47906,3956,45153,4024,50042,3745,48659,3641,43694,3748,50788,4033,49748,4276,52530,4246,49214,3778,53051,3899,49371,3063,47331,3181,54716,4121,264413,10487,47350,3953,1914653,15901,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24238,1591,7335,1417,346,263,561,344,181,192,226,218,341,310,265,240,685,462,221,235,442,390,189,230,90,132,0,177,0,177,488,568,2469,884,831,430,16903,1634,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1784681,8805,580663,8898,39271,2658,27794,2690,24649,2464,23463,2400,25170,2323,27310,2575,27083,2354,27709,2762,29930,2544,30088,2814,31573,2553,28510,2500,34920,2735,39449,2655,138463,5753,25281,2593,1204018,8355,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,571199,6271,192663,6112,10153,1614,10139,1755,10385,1715,10921,1672,9457,1539,9405,1603,10589,1479,10192,1612,9249,1332,10521,1352,11291,1875,8918,1345,9432,1509,12093,1946,42514,3683,7404,1523,378536,5923,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,86869,3508,33282,2595,1817,543,2390,780,1532,558,885,421,2380,849,2311,754,1500,670,2344,737,1494,516,825,383,1171,323,1739,716,1127,386,998,428,8916,1426,1853,855,53587,2349,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,160402,3968,55522,3068,3838,1056,2828,832,2458,709,2350,718,2506,887,1827,608,2801,781,3183,930,3362,788,1920,603,2585,666,2924,850,2550,681,2931,877,15317,1681,2142,703,104880,3302,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,330229,6027,108104,5417,7123,1184,6626,1403,4514,999,4101,1141,6388,1236,3447,914,6142,1177,5097,1073,4894,1054,5112,1297,5308,1214,5164,1197,5786,1130,6826,1130,26638,3018,4938,1443,222125,3807,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1418728,6395,453628,8512,33319,3476,23481,2434,25612,2620,25448,2618,26212,2396,23746,2190,25855,2758,24267,2379,24153,2359,25394,2486,23048,2451,20321,2104,21974,2011,28804,2942,89140,4925,12854,2119,965100,7339,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12886,1497,5470,1116,130,149,338,196,187,204,389,241,604,360,136,147,190,147,109,171,300,247,220,199,29,43,259,210,288,210,549,256,1558,637,184,182,7416,839,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1656517,7069,524068,9746,33384,2678,24501,2719,21811,2574,21529,2628,24339,2703,20790,2323,22370,2427,25021,2630,23923,2518,22105,2394,27698,2562,24894,2107,23773,1908,30787,2725,142324,6103,34819,3316,1132449,8516,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,452763,7698,167262,5683,9748,1842,10516,2014,7321,1492,8298,1439,7507,1484,5888,1341,7602,1261,5553,1178,6739,1159,6958,1419,8027,1334,7416,1083,7554,1322,10475,1686,48873,3142,8787,1540,285501,6553,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
