GEO_ID,C17020E_001E,C17020E_001M,C17020E_002E,C17020E_002M,C17020E_003E,C17020E_003M,C17020E_004E,C17020E_004M,C17020E_005E,C17020E_005M,C17020E_006E,C17020E_006M,C17020E_007E,C17020E_007M,C17020E_008E,C17020E_008M,C17020E_009E,C17020E_009M,NAME,C17020E_001MA,C17020E_001EA,C17020E_002MA,C17020E_002EA,C17020E_003EA,C17020E_003MA,C17020E_004EA,C17020E_004MA,C17020E_005MA,C17020E_005EA,C17020E_006MA,C17020E_006EA,C17020E_007MA,C17020E_007EA,C17020E_008EA,C17020E_008MA,C17020E_009EA,C17020E_009MA,state
0400000US06,143345,4491,23893,3735,7128,1783,15558,2479,1207,579,119452,5701,27710,2656,83371,3809,8371,1340,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5074,1288,912,640,238,372,674,474,0,189,4162,1033,1094,696,2950,784,118,141,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11153,3373,2289,1749,268,262,1919,1672,102,160,8864,2725,2105,1755,6271,1752,488,332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2610,879,1042,526,75,125,967,506,0,208,1568,791,190,185,1111,589,267,261,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142811,5874,38736,5170,17139,3124,20153,2760,1444,463,104075,6376,26844,2515,66846,4045,10385,937,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2773,1681,536,486,185,227,351,351,0,184,2237,1636,598,600,1342,1057,297,263,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2259,754,1077,621,467,176,529,411,81,73,1182,620,110,121,797,521,275,214,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
