B17001D_055E,B17001D_055M,B17001D_056E,B17001D_056M,B17001D_057E,B17001D_057M,B17001D_058E,B17001D_058M,B17001D_059E,B17001D_059M,GEO_ID,B17001D_001E,B17001D_001M,B17001D_002E,B17001D_002M,B17001D_003E,B17001D_003M,B17001D_004E,B17001D_004M,B17001D_005E,B17001D_005M,B17001D_006E,B17001D_006M,B17001D_007E,B17001D_007M,B17001D_008E,B17001D_008M,B17001D_009E,B17001D_009M,B17001D_010E,B17001D_010M,B17001D_011E,B17001D_011M,B17001D_012E,B17001D_012M,B17001D_013E,B17001D_013M,B17001D_014E,B17001D_014M,B17001D_015E,B17001D_015M,B17001D_016E,B17001D_016M,B17001D_017E,B17001D_017M,B17001D_018E,B17001D_018M,B17001D_019E,B17001D_019M,B17001D_020E,B17001D_020M,B17001D_021E,B17001D_021M,B17001D_022E,B17001D_022M,B17001D_023E,B17001D_023M,B17001D_024E,B17001D_024M,B17001D_025E,B17001D_025M,B17001D_026E,B17001D_026M,B17001D_027E,B17001D_027M,B17001D_028E,B17001D_028M,B17001D_029E,B17001D_029M,B17001D_030E,B17001D_030M,B17001D_031E,B17001D_031M,B17001D_032E,B17001D_032M,B17001D_033E,B17001D_033M,B17001D_034E,B17001D_034M,B17001D_035E,B17001D_035M,B17001D_036E,B17001D_036M,B17001D_037E,B17001D_037M,B17001D_038E,B17001D_038M,B17001D_039E,B17001D_039M,B17001D_040E,B17001D_040M,B17001D_041E,B17001D_041M,B17001D_042E,B17001D_042M,B17001D_043E,B17001D_043M,B17001D_044E,B17001D_044M,B17001D_045E,B17001D_045M,B17001D_046E,B17001D_046M,B17001D_047E,B17001D_047M,B17001D_048E,B17001D_048M,B17001D_049E,B17001D_049M,B17001D_050E,B17001D_050M,B17001D_051E,B17001D_051M,B17001D_052E,B17001D_052M,B17001D_053E,B17001D_053M,B17001D_054E,B17001D_054M,B17001D_055MA,B17001D_055EA,B17001D_056EA,B17001D_056MA,B17001D_057EA,B17001D_057MA,B17001D_058EA,B17001D_058MA,B17001D_059MA,B17001D_059EA,NAME,B17001D_001EA,B17001D_001MA,B17001D_002EA,B17001D_002MA,B17001D_003EA,B17001D_003MA,B17001D_004MA,B17001D_004EA,B17001D_005MA,B17001D_005EA,B17001D_006EA,B17001D_006MA,B17001D_007EA,B17001D_007MA,B17001D_008EA,B17001D_008MA,B17001D_009EA,B17001D_009MA,B17001D_010MA,B17001D_010EA,B17001D_011MA,B17001D_011EA,B17001D_012EA,B17001D_012MA,B17001D_013EA,B17001D_013MA,B17001D_014EA,B17001D_014MA,B17001D_015MA,B17001D_015EA,B17001D_016MA,B17001D_016EA,B17001D_017EA,B17001D_017MA,B17001D_018EA,B17001D_018MA,B17001D_019EA,B17001D_019MA,B17001D_020EA,B17001D_020MA,B17001D_021MA,B17001D_021EA,B17001D_022MA,B17001D_022EA,B17001D_023MA,B17001D_023EA,B17001D_024EA,B17001D_024MA,B17001D_025MA,B17001D_025EA,B17001D_026MA,B17001D_026EA,B17001D_027MA,B17001D_027EA,B17001D_028MA,B17001D_028EA,B17001D_029EA,B17001D_029MA,B17001D_030EA,B17001D_030MA,B17001D_031MA,B17001D_031EA,B17001D_032MA,B17001D_032EA,B17001D_033MA,B17001D_033EA,B17001D_034MA,B17001D_034EA,B17001D_035EA,B17001D_035MA,B17001D_036MA,B17001D_036EA,B17001D_037MA,B17001D_037EA,B17001D_038MA,B17001D_038EA,B17001D_039MA,B17001D_039EA,B17001D_040EA,B17001D_040MA,B17001D_041EA,B17001D_041MA,B17001D_042EA,B17001D_042MA,B17001D_043MA,B17001D_043EA,B17001D_044MA,B17001D_044EA,B17001D_045EA,B17001D_045MA,B17001D_046EA,B17001D_046MA,B17001D_047EA,B17001D_047MA,B17001D_048MA,B17001D_048EA,B17001D_049MA,B17001D_049EA,B17001D_050EA,B17001D_050MA,B17001D_051EA,B17001D_051MA,B17001D_052EA,B17001D_052MA,B17001D_053EA,B17001D_053MA,B17001D_054MA,B17001D_054EA,state
400738,4106,359554,3637,305594,3286,173863,2299,134049,2379,0400000US06,5043907,18224,622673,20877,282192,11536,14191,2283,3340,823,22691,2733,13473,1841,5004,1199,10224,1577,62369,4247,35401,3895,26405,2503,29005,2283,28916,2382,17172,2158,14001,1467,340481,11441,15709,2267,2081,535,18726,2273,10459,1596,4328,861,10455,1439,62964,4127,41933,3119,41585,3347,40672,2842,38907,2735,23862,1713,28800,2114,4421234,26760,2101320,15177,122916,3183,28154,2618,147082,4683,71502,3832,23517,2058,53268,2622,165544,4312,336100,5866,349886,3795,314117,2991,250175,3576,141707,2684,97352,2133,2319914,14670,114111,3279,24889,2420,144927,4192,73145,4239,24885,1995,47786,2190,153760,4273,362613,4393,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
11546,1190,10703,734,8573,699,4671,644,2337,603,0400000US08,143812,4363,16690,3795,7535,2099,742,583,0,189,628,393,527,552,130,192,92,134,1792,609,1378,633,620,373,652,507,640,440,153,106,181,146,9155,2157,449,349,49,81,712,485,536,387,347,293,536,641,1602,576,910,446,2088,883,989,469,497,240,287,219,153,201,127122,4616,58024,2739,4779,931,735,421,4678,800,1947,594,547,279,901,430,5577,963,10639,1199,11011,1140,7879,834,5115,670,2561,463,1655,442,69098,2749,4239,856,612,348,5253,781,3430,909,269,208,1530,630,3596,827,12339,1047,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
14448,793,9138,469,6673,466,3016,534,1831,538,0400000US09,143823,2378,8024,2133,3559,1026,207,196,0,193,321,225,114,131,0,193,32,53,1086,725,515,269,854,386,132,126,204,178,0,193,94,95,4465,1473,313,301,0,193,533,388,75,119,91,148,0,193,931,591,990,531,507,312,397,251,366,242,129,129,133,168,135799,3031,65472,1733,5672,537,999,444,5889,837,2776,758,685,305,1293,573,5262,854,11614,948,11774,751,9404,622,6112,450,2825,250,1167,260,70327,1849,4821,699,792,381,6148,896,2694,632,392,268,2603,583,3926,724,13845,872,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
39000,2211,35097,2188,28741,1698,18006,1657,8287,1243,0400000US12,482890,7949,61662,8959,29213,5088,1588,734,142,146,1969,873,1697,698,403,303,824,456,5857,1220,5511,1850,2408,940,3060,898,2490,820,2390,905,874,431,32449,4928,1269,572,526,411,2928,1329,1321,626,337,295,617,341,4332,1196,4886,1237,5333,1772,3858,1225,3627,884,2202,679,1213,577,421228,12148,192514,6590,12089,1489,2851,1078,14963,2002,6922,1136,2823,852,4347,914,15718,2003,30387,2192,38127,2072,25348,1730,21609,1465,11929,1501,5401,967,228714,7266,11991,1510,2620,877,15427,2220,7376,1419,1856,630,5510,1154,17259,2258,37544,2367,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
31018,1827,21076,1375,15953,1208,6745,893,3045,829,0400000US13,327699,5813,51121,6303,24216,3289,2263,667,354,296,3037,1119,932,480,345,234,472,255,4203,1096,4171,1214,3406,1084,2300,832,1234,477,258,258,1241,571,26905,3697,2423,767,275,363,2782,1039,839,445,555,400,936,491,4030,1039,4972,1117,4340,1221,2568,864,1499,669,997,475,689,308,276578,7721,132263,4649,8693,1145,2520,970,12599,1877,5284,1099,1300,421,2279,497,11206,1485,20787,1564,25586,1686,19872,1286,13078,1118,6647,985,2412,782,144315,4089,8122,1251,1802,790,12594,1668,5539,1397,2365,783,2490,688,10048,1304,23518,1357,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
34528,1474,41725,1324,40605,1629,28466,1243,35696,1193,0400000US15,524077,10326,38041,5082,14738,2843,1161,630,100,125,1324,698,639,372,428,299,443,381,1616,825,1082,501,1509,583,1353,453,2104,682,1161,402,1818,779,23303,2922,506,283,295,274,1367,654,636,437,303,296,254,186,1906,732,2635,904,3517,1031,2419,727,4015,980,1934,675,3516,893,486036,10722,228398,5755,9183,1169,2815,741,11247,1481,6696,1303,1804,561,5678,899,16838,1676,25564,1475,28989,1701,35762,1699,36619,1339,24981,705,22222,898,257638,6519,7514,1225,2315,663,10099,1460,5963,1122,2351,613,4872,848,15627,1222,27877,1983,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
51888,2039,35132,1240,34674,1162,18768,995,8795,782,0400000US17,604176,6542,74334,6748,34100,3723,1935,981,123,138,2508,959,1392,621,1308,564,822,444,7059,1379,6094,1273,4561,1140,3389,903,2398,721,1505,723,1006,525,40234,3922,1803,883,79,96,2552,775,759,334,483,297,1196,494,9153,1241,7456,1564,4307,1025,5087,1146,2803,698,2089,694,2467,674,529842,9188,257184,5100,17190,1532,3160,897,20901,1675,9112,1317,3300,779,6071,883,18015,1768,48212,2125,46140,2091,33134,1534,27598,967,17656,1034,6695,765,272658,5800,15497,1544,3197,819,20880,1950,9822,1546,1957,607,6362,886,14811,1577,50875,2110,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
