GEO_ID,B17010B_001E,B17010B_001M,B17010B_002E,B17010B_002M,B17010B_003E,B17010B_003M,B17010B_004E,B17010B_004M,B17010B_005E,B17010B_005M,B17010B_006E,B17010B_006M,B17010B_007E,B17010B_007M,B17010B_008E,B17010B_008M,B17010B_009E,B17010B_009M,B17010B_010E,B17010B_010M,B17010B_011E,B17010B_011M,B17010B_012E,B17010B_012M,B17010B_013E,B17010B_013M,B17010B_014E,B17010B_014M,B17010B_015E,B17010B_015M,B17010B_016E,B17010B_016M,B17010B_017E,B17010B_017M,B17010B_018E,B17010B_018M,B17010B_019E,B17010B_019M,B17010B_020E,B17010B_020M,B17010B_021E,B17010B_021M,B17010B_022E,B17010B_022M,B17010B_023E,B17010B_023M,B17010B_024E,B17010B_024M,B17010B_025E,B17010B_025M,B17010B_026E,B17010B_026M,B17010B_027E,B17010B_027M,B17010B_028E,B17010B_028M,B17010B_029E,B17010B_029M,B17010B_030E,B17010B_030M,B17010B_031E,B17010B_031M,B17010B_032E,B17010B_032M,B17010B_033E,B17010B_033M,B17010B_034E,B17010B_034M,B17010B_035E,B17010B_035M,B17010B_036E,B17010B_036M,B17010B_037E,B17010B_037M,B17010B_038E,B17010B_038M,B17010B_039E,B17010B_039M,B17010B_040E,B17010B_040M,B17010B_041E,B17010B_041M,NAME,B17010B_001EA,B17010B_001MA,B17010B_002MA,B17010B_002EA,B17010B_003MA,B17010B_003EA,B17010B_004MA,B17010B_004EA,B17010B_005MA,B17010B_005EA,B17010B_006EA,B17010B_006MA,B17010B_007EA,B17010B_007MA,B17010B_008MA,B17010B_008EA,B17010B_009MA,B17010B_009EA,B17010B_010MA,B17010B_010EA,B17010B_011MA,B17010B_011EA,B17010B_012EA,B17010B_012MA,B17010B_013MA,B17010B_013EA,B17010B_014MA,B17010B_014EA,B17010B_015MA,B17010B_015EA,B17010B_016MA,B17010B_016EA,B17010B_017EA,B17010B_017MA,B17010B_018EA,B17010B_018MA,B17010B_019EA,B17010B_019MA,B17010B_020MA,B17010B_020EA,B17010B_021MA,B17010B_021EA,B17010B_022EA,B17010B_022MA,B17010B_023EA,B17010B_023MA,B17010B_024EA,B17010B_024MA,B17010B_025MA,B17010B_025EA,B17010B_026MA,B17010B_026EA,B17010B_027EA,B17010B_027MA,B17010B_028EA,B17010B_028MA,B17010B_029EA,B17010B_029MA,B17010B_030EA,B17010B_030MA,B17010B_031MA,B17010B_031EA,B17010B_032MA,B17010B_032EA,B17010B_033EA,B17010B_033MA,B17010B_034EA,B17010B_034MA,B17010B_035EA,B17010B_035MA,B17010B_036MA,B17010B_036EA,B17010B_037MA,B17010B_037EA,B17010B_038EA,B17010B_038MA,B17010B_039EA,B17010B_039MA,B17010B_040EA,B17010B_040MA,B17010B_041EA,B17010B_041MA,state
0400000US06,488281,8299,105708,5322,17918,2155,11379,1713,1741,707,3785,879,5853,1287,6539,1350,87790,4475,14816,2251,10717,2000,3512,1007,1435,669,5770,1409,4099,1234,72974,4166,62117,4290,9970,1553,17892,2530,34255,3005,10857,1492,382573,7403,204993,6381,96367,5064,17122,2398,17999,2334,61246,3579,108626,4102,177580,6073,39512,3460,21995,2690,3806,1214,2799,1000,15390,2100,17517,2029,138068,4931,75161,4432,11058,1631,9912,1648,54191,3708,62907,2942,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47516,2717,10503,1688,2451,982,2122,927,467,448,988,476,667,527,329,232,8052,1539,887,475,887,475,354,292,34,68,499,399,0,189,7165,1424,6260,1420,889,446,2444,810,2927,970,905,527,37013,2769,22930,2088,11625,1658,2337,778,2621,818,6667,1375,11305,1211,14083,1881,3124,899,1604,592,719,369,39,61,846,562,1520,719,10959,1718,7746,1485,1107,530,822,483,5817,1320,3213,819,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84069,2796,16790,2372,2818,868,2043,744,337,272,292,239,1414,624,775,483,13972,2149,1217,496,774,420,210,191,72,120,492,340,443,321,12755,2072,11282,2114,1056,585,4381,1381,5845,1471,1473,469,67279,2852,34242,2774,17200,2146,2519,870,3692,1050,10989,1733,17042,1856,33037,2624,6254,1391,3162,1001,891,572,509,341,1762,588,3092,960,26783,2310,17569,1739,3356,997,2832,772,11381,1770,9214,1399,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45208,2082,6805,1239,777,416,390,306,27,46,280,294,83,114,387,293,6028,1205,824,415,760,406,189,229,200,176,371,275,64,98,5204,1142,4545,1063,1021,493,694,406,2830,878,659,356,38403,2009,21119,1821,9132,1372,1120,520,2037,819,5975,1209,11987,1426,17284,2018,4114,1115,3059,1003,719,576,289,273,2051,694,1055,495,13170,1688,9094,1418,1834,761,1585,629,5675,1159,4076,964,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60466,2734,12952,1417,758,373,272,245,0,197,99,160,173,185,486,278,12194,1412,1158,534,520,339,65,106,58,100,397,304,638,402,11036,1388,8371,1252,1200,566,2287,737,4884,897,2665,661,47514,2588,19112,1691,7776,1200,1433,533,1737,666,4606,1001,11336,1291,28402,2173,5236,1020,2225,719,520,367,442,413,1263,507,3011,801,23166,1871,12440,1451,2394,832,2093,679,7953,1246,10726,1401,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,642642,8286,156658,5404,32841,3423,20946,2927,2006,657,8449,1762,10491,2126,11895,1554,123817,5047,17614,2381,13392,2082,2717,969,4710,1325,5965,1202,4222,1060,106203,4845,90602,4538,16183,2157,29551,2952,44868,3663,15601,2150,485984,8072,269712,7073,130903,5673,22101,2816,28190,2957,80612,5221,138809,6151,216272,6704,42290,3060,21603,2352,5110,1378,3099,893,13394,1998,20687,2216,173982,6294,105835,6013,16239,2157,17163,2144,72433,4552,68147,2906,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,680671,9398,167705,6576,28129,3135,17872,2413,2708,1024,5774,1388,9390,1685,10257,1799,139576,5758,14904,2133,10046,1797,1837,753,2574,985,5635,1344,4858,1160,124672,5252,106168,4799,18558,2420,32297,2845,55313,3667,18504,2470,512966,9110,289922,8096,138952,6708,20226,2908,27704,3635,91022,5329,150970,6352,223044,8530,46181,4363,22274,3146,6112,1787,3725,1379,12437,2015,23907,2473,176863,7462,112879,6530,17523,2301,18104,2705,77252,5586,63984,4143,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,400620,6652,111358,5047,13043,1853,7909,1326,735,400,2701,794,4473,920,5134,1278,98315,4635,10151,1611,6957,1273,1236,586,2420,902,3301,743,3194,1063,88164,4384,74756,4155,12915,1871,20114,2264,41727,3205,13408,1459,289262,6164,139555,5267,61468,3308,8464,1472,11907,1863,41097,2641,78087,3630,149707,5677,29071,2442,14010,1678,2513,809,1618,546,9879,1538,15061,1687,120636,5099,70909,3671,10287,1644,10499,1571,50123,3051,49727,2937,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
