GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001EA,B14007F_001MA,B14007F_002MA,B14007F_002EA,B14007F_003MA,B14007F_003EA,B14007F_004MA,B14007F_004EA,B14007F_005EA,B14007F_005MA,B14007F_006EA,B14007F_006MA,B14007F_007MA,B14007F_007EA,B14007F_008MA,B14007F_008EA,B14007F_009MA,B14007F_009EA,B14007F_010EA,B14007F_010MA,B14007F_011EA,B14007F_011MA,B14007F_012EA,B14007F_012MA,B14007F_013MA,B14007F_013EA,B14007F_014MA,B14007F_014EA,B14007F_015EA,B14007F_015MA,B14007F_016EA,B14007F_016MA,B14007F_017EA,B14007F_017MA,B14007F_018MA,B14007F_018EA,B14007F_019MA,B14007F_019EA,state
0400000US06,4664739,56208,1609887,28035,82971,5402,93132,5242,87390,4732,82965,4298,83891,5807,83000,4679,85100,4213,87708,4464,86017,4450,85166,5725,88189,4509,87400,4540,91857,4888,110072,5161,348643,8793,26386,2703,3054852,34843,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,207614,12024,64814,5969,3222,939,3966,1243,3548,1318,5436,1363,4275,1175,4129,966,3361,811,4152,1552,3297,951,4923,1216,3202,858,3349,1013,3182,966,4377,1054,9393,2088,1002,545,142800,7762,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156820,10289,53236,4947,3114,989,2195,666,3107,1119,3001,1025,1793,727,2709,853,3493,928,2926,871,3719,1148,2715,1072,3827,1262,2305,683,2747,869,3811,920,10447,1942,1327,638,103584,6955,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22264,3926,7345,1812,327,403,721,544,369,254,97,135,742,504,78,77,309,286,223,235,315,255,740,537,465,367,466,476,304,311,288,251,1716,1011,185,288,14919,3046,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27160,4094,8570,1791,967,574,560,404,124,143,476,414,492,392,233,223,164,187,151,146,183,230,59,99,640,466,585,423,512,428,1133,721,1433,696,858,560,18590,3016,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,439854,22399,136755,10046,7524,1859,8508,1677,8901,2019,5011,1062,9023,2032,5868,1348,6803,1539,5619,1389,8014,1600,6210,1818,6903,1476,7883,1573,7966,1597,7618,1487,30973,4093,3931,1271,303099,15991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,280564,13680,98480,7778,6949,1713,7091,1509,4985,1371,7107,1720,5881,1246,6221,1592,4989,895,8817,2200,6154,1636,5464,1510,5545,1546,4527,1417,4309,1306,5672,1745,13234,2580,1535,791,182084,8784,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42417,5805,13798,2778,76,87,1371,640,1505,903,816,528,132,177,876,382,723,470,1003,477,1008,568,760,389,1074,559,434,333,1137,996,997,526,1744,828,142,192,28619,3846,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,694811,23198,233706,10359,12880,2005,14723,2091,14716,2536,15370,2259,12776,2250,15711,2252,13632,1850,14393,2094,12462,1869,13304,2032,13504,1858,14217,1920,12898,1873,13079,1859,36568,3497,3473,948,461105,15765,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
