GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003EA,B17020D_003MA,B17020D_004EA,B17020D_004MA,B17020D_005EA,B17020D_005MA,B17020D_006MA,B17020D_006EA,B17020D_007MA,B17020D_007EA,B17020D_008EA,B17020D_008MA,B17020D_009EA,B17020D_009MA,B17020D_010EA,B17020D_010MA,B17020D_011MA,B17020D_011EA,B17020D_012MA,B17020D_012EA,B17020D_013EA,B17020D_013MA,B17020D_014EA,B17020D_014MA,B17020D_015EA,B17020D_015MA,B17020D_016MA,B17020D_016EA,B17020D_017MA,B17020D_017EA,state
0400000US06,5043907,18224,622673,20877,29900,3758,5421,954,41417,3632,53943,4346,408157,14997,41034,2837,42801,2837,4421234,26760,237027,5238,53043,3675,292009,5914,294103,7661,2998081,16941,315570,3480,231401,3626,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,143812,4363,16690,3795,1191,639,49,81,1340,733,2168,1044,11168,2110,440,230,334,263,127122,4616,9018,1184,1347,565,9931,1082,8624,1490,86978,2875,7232,883,3992,830,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143823,2378,8024,2133,520,356,0,193,854,495,312,305,5982,1615,129,129,227,206,135799,3031,10493,799,1791,607,12037,1193,10443,1448,92196,2217,5841,638,2998,625,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30260,1663,2005,1087,0,182,0,182,222,279,19,34,1582,858,182,154,0,182,28255,2067,2195,352,172,189,2388,649,1899,427,18989,1356,1357,474,1255,486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,482890,7949,61662,8959,2857,951,668,422,4897,1866,5199,1346,41362,5769,4592,1232,2087,676,421228,12148,24080,2049,5471,1459,30390,3346,28834,2438,288830,7710,29935,2555,13688,1694,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,327699,5813,51121,6303,4686,1136,629,458,5819,1662,4079,1076,32723,4013,1255,531,1930,645,276578,7721,16815,1808,4322,1278,25193,2521,19257,2426,192142,5241,13392,1557,5457,1175,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,524077,10326,38041,5082,1667,722,395,318,2691,1090,2703,1095,22156,2905,3095,795,5334,1176,486036,10722,16697,1873,5130,1081,21346,1950,27364,2343,304134,6743,53447,1371,57918,1435,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20037,2702,3097,1384,121,128,75,108,116,122,263,304,2522,1049,0,187,0,187,16940,2565,402,273,451,420,1035,442,1159,659,13000,1995,650,280,243,233,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,604176,6542,74334,6748,3738,1378,202,171,5060,1287,5960,1451,52307,4690,3594,1079,3473,872,529842,9188,32687,2282,6357,1191,41781,2371,36624,2661,360479,5671,36424,1505,15490,1100,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,102622,4148,22256,3113,1126,728,47,59,1871,865,1178,530,17010,2207,645,510,379,355,80366,4432,4489,1053,772,453,5529,1375,7005,1409,57757,3131,2945,779,1869,731,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,53965,2179,8996,2054,351,423,285,322,385,220,392,211,7216,1516,312,235,55,88,44969,2454,2870,567,864,422,5178,843,3078,731,30353,1810,1883,562,743,333,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
