GEO_ID,C15010F_001E,C15010F_001M,C15010F_002E,C15010F_002M,C15010F_003E,C15010F_003M,C15010F_004E,C15010F_004M,C15010F_005E,C15010F_005M,C15010F_006E,C15010F_006M,NAME,C15010F_001MA,C15010F_001EA,C15010F_002EA,C15010F_002MA,C15010F_003EA,C15010F_003MA,C15010F_004MA,C15010F_004EA,C15010F_005EA,C15010F_005MA,C15010F_006MA,C15010F_006EA,state
0400000US06,221940,8879,73752,4816,19310,2817,48725,3881,22278,3046,57875,4371,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,13969,2421,5039,1373,2288,976,2593,883,1265,562,2784,750,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,12734,2360,4128,1033,1354,856,3160,1183,1057,734,3035,1086,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2394,1243,1036,617,99,135,353,425,326,263,580,577,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4983,1440,2146,758,301,381,552,476,341,387,1643,784,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,49066,5415,15961,2373,6348,1675,12901,2367,4835,1428,9021,1825,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,15573,2556,4823,1658,1189,779,4603,1574,1523,716,3435,1148,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2162,881,981,544,318,291,67,83,24,38,772,578,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1786,825,263,178,251,256,684,577,0,187,588,321,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37473,3808,10023,1760,3196,1237,9583,2034,5456,1410,9215,1576,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,7266,1831,3287,1396,1227,748,901,438,857,518,994,480,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1350,569,500,299,34,59,431,277,238,254,147,146,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1941,813,403,252,38,48,392,292,692,569,416,311,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2400,912,1113,683,177,179,482,478,294,292,334,418,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4671,1627,2292,1040,660,350,740,691,412,289,567,327,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,14901,2185,5031,1492,1558,769,4590,1296,2300,998,1422,529,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,19448,2651,9356,2046,1427,574,2862,876,2196,776,3607,1059,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6906,1478,2113,825,605,520,1400,616,892,563,1896,691,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,6398,1552,2262,751,487,419,1182,513,723,405,1744,843,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4665,1098,1820,756,86,99,1135,585,406,312,1218,546,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1464,610,562,314,80,99,266,164,117,186,439,421,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,7038,1587,2259,863,874,558,1596,675,966,503,1343,732,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1047,557,550,429,0,181,165,156,103,155,229,189,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,39927,4546,13215,2472,4046,1230,10886,1990,4726,1305,7054,1861,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,13796,2172,3342,1098,950,523,3167,931,3641,1004,2696,930,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,125865,5843,37584,3530,11499,1897,33181,3721,13353,1976,30248,3504,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,8216,1647,2780,856,564,310,2518,1078,580,359,1774,728,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,8316,1718,3207,1026,644,333,1941,762,807,461,1717,682,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3234,918,1325,654,329,256,763,313,303,230,514,314,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,7119,1724,3300,1250,1036,690,1406,793,299,236,1078,363,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10613,1802,4870,1362,997,523,1726,706,1077,429,1943,647,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,2582,799,696,391,198,302,817,553,209,161,662,413,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4999,1706,1696,786,442,365,1505,763,633,495,723,639,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6212,1999,2731,1536,376,396,1612,681,352,310,1141,554,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,78730,5978,25986,3371,6096,1388,19907,2938,10020,1787,16721,2439,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,4569,1137,1349,468,640,378,1195,741,645,318,740,433,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,20570,2955,10268,2463,1721,996,3616,802,1031,501,3934,1258,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,14152,2299,6460,1587,910,573,1673,654,1774,676,3335,1286,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3577,1067,1393,735,208,153,715,518,603,412,658,343,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,47087,4074,13026,1990,5399,1234,13894,2288,10021,1755,4747,1092,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,2774,751,1301,528,118,195,732,444,216,227,407,257,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,22115,2890,7533,1946,1474,837,5265,1373,2721,886,5122,1318,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1534,953,361,287,80,146,114,184,434,393,545,461,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
