GEO_ID,C19101B_001E,C19101B_001M,C19101B_002E,C19101B_002M,C19101B_003E,C19101B_003M,C19101B_004E,C19101B_004M,C19101B_005E,C19101B_005M,C19101B_006E,C19101B_006M,C19101B_007E,C19101B_007M,C19101B_008E,C19101B_008M,C19101B_009E,C19101B_009M,C19101B_010E,C19101B_010M,C19101B_011E,C19101B_011M,NAME,C19101B_001MA,C19101B_001EA,C19101B_002EA,C19101B_002MA,C19101B_003MA,C19101B_003EA,C19101B_004EA,C19101B_004MA,C19101B_005EA,C19101B_005MA,C19101B_006EA,C19101B_006MA,C19101B_007MA,C19101B_007EA,C19101B_008EA,C19101B_008MA,C19101B_009EA,C19101B_009MA,C19101B_010EA,C19101B_010MA,C19101B_011EA,C19101B_011MA,state
0400000US06,488281,8299,54617,3985,28928,2646,52240,3580,45678,3582,62392,4039,85485,4821,57557,3740,63284,3748,21606,2374,16494,2200,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47516,2717,4466,1042,2078,662,5551,1283,6219,1329,6835,1316,8433,1375,5693,992,4735,1105,2670,994,836,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84069,2796,7962,1496,3724,1137,11164,1781,8843,1480,10860,1816,15758,2077,9628,1329,10672,1485,3663,908,1795,652,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45208,2082,3553,987,2211,684,3271,941,5038,1182,6965,1263,9989,1695,6291,1259,5601,1224,1169,563,1120,638,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60466,2734,7213,1094,3290,779,6473,1273,5366,1095,8681,1444,8764,1541,6690,1181,7420,1163,3431,785,3138,766,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,642642,8286,70705,4699,42218,4114,91767,4577,87005,5011,105983,5691,117509,5356,60833,3867,47106,3339,12347,2071,7169,1516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,680671,9398,82323,5318,42884,3749,92101,5272,81938,4675,97838,6246,121406,6232,74324,4503,60183,3785,16152,2075,11522,1981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6044,1005,288,307,0,177,143,170,654,416,863,476,1435,695,809,518,1420,751,242,238,190,168,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,400620,6652,57140,3424,27456,2556,51855,3195,48184,3211,51395,3493,63123,3675,43042,2894,39800,3317,11291,1592,7334,1393,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
