GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001MA,B19001D_001EA,B19001D_002MA,B19001D_002EA,B19001D_003MA,B19001D_003EA,B19001D_004EA,B19001D_004MA,B19001D_005EA,B19001D_005MA,B19001D_006EA,B19001D_006MA,B19001D_007MA,B19001D_007EA,B19001D_008MA,B19001D_008EA,B19001D_009MA,B19001D_009EA,B19001D_010EA,B19001D_010MA,B19001D_011EA,B19001D_011MA,B19001D_012MA,B19001D_012EA,B19001D_013MA,B19001D_013EA,B19001D_014MA,B19001D_014EA,B19001D_015EA,B19001D_015MA,B19001D_016EA,B19001D_016MA,B19001D_017MA,B19001D_017EA,state
0400000US06,1585165,11631,105461,4710,67680,3639,64126,3655,60319,3496,49002,3112,51605,3378,52666,3138,54393,3490,48477,2937,100955,4512,139783,5708,195531,5612,173187,6197,113627,4080,146437,5458,161916,5925,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46156,2440,3599,950,1488,621,2016,768,1920,667,1579,504,2359,645,1642,659,2131,571,1490,678,3291,880,4154,917,5797,1030,6162,1140,2690,765,2832,644,3006,816,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44295,1927,1600,625,1122,497,811,516,1129,453,1267,607,1225,518,1340,534,1368,474,1605,603,2613,755,4658,1267,5525,1142,5511,1204,4427,940,3793,999,6301,950,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8915,685,580,310,88,106,537,315,182,218,101,101,399,252,61,71,122,131,399,368,766,457,800,405,1067,415,1742,611,507,292,674,250,890,337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9195,1166,714,300,130,139,146,139,183,197,73,87,113,158,56,69,308,206,328,257,366,167,905,484,1096,535,1446,698,722,351,1015,444,1594,479,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,150071,4771,10260,1978,6009,1209,6760,1119,5930,1215,6711,1474,8969,1900,7979,1462,5669,1332,5008,1239,12241,2077,16780,2061,18583,2059,15920,2057,8451,1407,6001,1010,8800,1644,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,98633,3193,5324,1142,2992,780,4269,1226,5273,1321,4234,909,4592,1152,3620,1198,3730,1040,3633,920,7138,1755,10798,1588,13635,2076,9724,1765,5041,1257,5932,1204,8698,1556,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,174746,3493,8875,1453,6106,1047,6340,1259,5558,977,6617,1154,6194,1172,5712,1057,7296,1160,6893,964,12065,1398,19097,1749,26367,2243,22128,1681,10916,959,14560,1422,10022,1312,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6014,1134,300,203,166,171,875,513,137,163,117,139,90,108,470,351,494,373,0,187,1064,621,586,427,852,497,215,187,204,179,253,198,191,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,202196,4226,17632,2301,7270,1510,5564,1182,7436,1431,6769,1352,6857,1053,7266,1491,6111,1199,6408,1369,10477,1709,20583,2422,26439,2250,26050,2414,12812,1718,15627,1623,18895,2143,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,36191,1962,4897,1170,1494,529,1508,680,2200,785,1988,780,930,473,2406,936,1070,561,1425,849,2340,803,3097,1027,4429,1104,2356,725,1727,713,1727,567,2597,720,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16226,1164,1756,650,1042,524,538,334,696,381,586,346,301,219,760,410,583,289,887,413,1461,493,2249,662,2120,683,1399,511,584,315,333,235,931,420,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21576,1245,1847,688,881,508,1016,448,1168,467,1124,721,917,410,949,399,1146,543,551,301,1588,491,2046,675,3118,788,2424,747,1054,502,995,406,752,365,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
