GEO_ID,B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,NAME,B20017E_001MA,B20017E_001EA,B20017E_002MA,B20017E_002EA,B20017E_003EA,B20017E_003MA,B20017E_004EA,B20017E_004MA,B20017E_005EA,B20017E_005MA,B20017E_006MA,B20017E_006EA,B20017E_007MA,B20017E_007EA,state
0400000US06,29409,3746,31239,2945,41844,1770,10236,2357,26598,3499,40307,4277,9577,1605,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,19423,9554,18061,14069,32297,18538,11464,4536,21012,10142,26056,3776,6793,6286,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51337,32236,250001,-333333333,250001,-333333333,-666666666,-222222222,50930,20299,51754,32310,21328,6260,Connecticut,null,null,***,"250,000+","250,000+",***,-,**,null,null,null,null,null,null,09
0400000US10,30278,48552,2499,-333333333,2499,-333333333,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Delaware,null,null,***,"2,500-","2,500-",***,-,**,-,**,**,-,**,-,10
0400000US11,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,District of Columbia,**,-,**,-,-,**,-,**,-,**,**,-,**,-,11
0400000US12,24424,10509,24149,11529,31863,18523,11465,2964,28579,14363,35901,2368,8737,21425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,18398,6381,21799,19728,38357,48508,7589,8829,11229,8367,19038,7090,9467,7972,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24641,2104,27266,3235,39824,3518,8180,1682,22916,1635,32981,2713,10325,1257,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17287,5871,18948,1364,25781,14485,8281,11377,6620,12309,50981,12443,5210,2909,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,36916,21024,36834,19275,50636,21741,12272,39033,37422,49395,62313,8474,11914,16155,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
