GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001EA,B19101B_001MA,B19101B_002MA,B19101B_002EA,B19101B_003MA,B19101B_003EA,B19101B_004MA,B19101B_004EA,B19101B_005MA,B19101B_005EA,B19101B_006MA,B19101B_006EA,B19101B_007EA,B19101B_007MA,B19101B_008EA,B19101B_008MA,B19101B_009EA,B19101B_009MA,B19101B_010MA,B19101B_010EA,B19101B_011MA,B19101B_011EA,B19101B_012MA,B19101B_012EA,B19101B_013EA,B19101B_013MA,B19101B_014EA,B19101B_014MA,B19101B_015MA,B19101B_015EA,B19101B_016MA,B19101B_016EA,B19101B_017MA,B19101B_017EA,state
0400000US06,488281,8299,54617,3985,28928,2646,26309,2857,25931,2304,22022,2485,23656,2525,20936,2715,21770,2229,19686,2322,36620,2932,48865,3893,57557,3740,40131,3363,23153,2361,21606,2374,16494,2200,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47516,2717,4466,1042,2078,662,2899,833,2652,937,3491,1095,2728,818,2371,820,2720,879,1744,664,3470,932,4963,1011,5693,992,2664,826,2071,773,2670,994,836,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84069,2796,7962,1496,3724,1137,5155,1189,6009,1452,4386,1138,4457,1291,3821,1083,3318,869,3721,1079,6052,1293,9706,1585,9628,1329,6363,1213,4309,1011,3663,908,1795,652,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45208,2082,3553,987,2211,684,1713,751,1558,644,3573,905,1465,629,1941,595,3490,777,1534,786,4580,1197,5409,1222,6291,1259,3823,1086,1778,669,1169,563,1120,638,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60466,2734,7213,1094,3290,779,3621,905,2852,844,2873,836,2493,788,3778,904,3161,882,1742,513,3566,942,5198,971,6690,1181,4370,932,3050,961,3431,785,3138,766,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,642642,8286,70705,4699,42218,4114,48506,3455,43261,3292,43799,3252,43206,3707,39268,3195,37435,2796,29280,3836,57013,4627,60496,3479,60833,3867,31641,2998,15465,1718,12347,2071,7169,1516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,680671,9398,82323,5318,42884,3749,45358,3778,46743,3862,41706,3358,40232,3475,33526,3298,31874,3117,32438,3807,51325,3907,70081,4658,74324,4503,40025,3431,20158,2638,16152,2075,11522,1981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6044,1005,288,307,0,177,0,177,143,170,401,405,253,205,571,428,138,170,154,180,390,479,1045,515,809,518,926,687,494,354,242,238,190,168,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,400620,6652,57140,3424,27456,2556,25180,2372,26675,2115,23757,2339,24427,2444,18396,2124,16010,2123,16989,2190,27474,2480,35649,3129,43042,2894,25661,2616,14139,1708,11291,1592,7334,1393,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,131208,4216,17001,1964,9142,1454,11426,1810,9063,1522,8446,1552,9560,1451,7918,1234,5954,1260,5771,1334,10867,1695,10835,1807,11025,1422,6664,1494,2773,859,2669,848,2094,829,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19537,1636,2507,805,1786,725,2139,772,1486,653,1790,623,1101,541,1216,537,240,150,478,392,1793,699,874,381,1604,540,1325,567,175,134,437,409,586,403,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37514,2319,4387,1053,1978,697,2403,919,2410,789,1967,681,2429,871,1951,683,1551,624,2015,699,3132,937,4296,902,5760,1080,1313,469,1285,607,349,217,288,221,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,79394,3007,11534,2023,6072,1148,6756,1438,5627,1066,6214,1163,5078,1152,3349,1032,3851,858,2898,909,6819,1391,6960,1553,6153,1148,3974,946,2090,748,1444,590,575,355,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,331195,5923,43414,3230,29993,3196,32737,2979,24778,2478,23782,2907,20576,1919,19015,2135,16730,2022,13801,2173,24151,2717,26036,2168,27483,2542,14846,2071,6378,1212,5469,1172,2006,531,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,395500,6488,25925,2682,13958,2071,14100,1778,14340,1882,15944,1956,16470,2214,17764,2111,14869,2217,17590,2089,30910,2785,42703,3813,50133,3193,40180,3451,27170,2470,32737,2448,20707,1963,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
