GEO_ID,C19037F_001E,C19037F_001M,C19037F_002E,C19037F_002M,C19037F_003E,C19037F_003M,C19037F_004E,C19037F_004M,C19037F_005E,C19037F_005M,C19037F_006E,C19037F_006M,C19037F_007E,C19037F_007M,C19037F_008E,C19037F_008M,C19037F_009E,C19037F_009M,C19037F_010E,C19037F_010M,C19037F_011E,C19037F_011M,C19037F_012E,C19037F_012M,C19037F_013E,C19037F_013M,C19037F_014E,C19037F_014M,C19037F_015E,C19037F_015M,C19037F_016E,C19037F_016M,C19037F_017E,C19037F_017M,C19037F_018E,C19037F_018M,C19037F_019E,C19037F_019M,C19037F_020E,C19037F_020M,C19037F_021E,C19037F_021M,C19037F_022E,C19037F_022M,C19037F_023E,C19037F_023M,C19037F_024E,C19037F_024M,C19037F_025E,C19037F_025M,C19037F_026E,C19037F_026M,C19037F_027E,C19037F_027M,C19037F_028E,C19037F_028M,C19037F_029E,C19037F_029M,C19037F_030E,C19037F_030M,C19037F_031E,C19037F_031M,C19037F_032E,C19037F_032M,C19037F_033E,C19037F_033M,C19037F_034E,C19037F_034M,C19037F_035E,C19037F_035M,C19037F_036E,C19037F_036M,C19037F_037E,C19037F_037M,C19037F_038E,C19037F_038M,C19037F_039E,C19037F_039M,C19037F_040E,C19037F_040M,C19037F_041E,C19037F_041M,C19037F_042E,C19037F_042M,C19037F_043E,C19037F_043M,C19037F_044E,C19037F_044M,C19037F_045E,C19037F_045M,NAME,C19037F_001MA,C19037F_001EA,C19037F_002EA,C19037F_002MA,C19037F_003EA,C19037F_003MA,C19037F_004EA,C19037F_004MA,C19037F_005EA,C19037F_005MA,C19037F_006MA,C19037F_006EA,C19037F_007MA,C19037F_007EA,C19037F_008EA,C19037F_008MA,C19037F_009EA,C19037F_009MA,C19037F_010EA,C19037F_010MA,C19037F_011MA,C19037F_011EA,C19037F_012MA,C19037F_012EA,C19037F_013EA,C19037F_013MA,C19037F_014EA,C19037F_014MA,C19037F_015EA,C19037F_015MA,C19037F_016EA,C19037F_016MA,C19037F_017MA,C19037F_017EA,C19037F_018MA,C19037F_018EA,C19037F_019EA,C19037F_019MA,C19037F_020EA,C19037F_020MA,C19037F_021EA,C19037F_021MA,C19037F_022MA,C19037F_022EA,C19037F_023MA,C19037F_023EA,C19037F_024MA,C19037F_024EA,C19037F_025EA,C19037F_025MA,C19037F_026EA,C19037F_026MA,C19037F_027EA,C19037F_027MA,C19037F_028MA,C19037F_028EA,C19037F_029MA,C19037F_029EA,C19037F_030EA,C19037F_030MA,C19037F_031EA,C19037F_031MA,C19037F_032EA,C19037F_032MA,C19037F_033MA,C19037F_033EA,C19037F_034MA,C19037F_034EA,C19037F_035EA,C19037F_035MA,C19037F_036EA,C19037F_036MA,C19037F_037EA,C19037F_037MA,C19037F_038EA,C19037F_038MA,C19037F_039MA,C19037F_039EA,C19037F_040MA,C19037F_040EA,C19037F_041EA,C19037F_041MA,C19037F_042EA,C19037F_042MA,C19037F_043EA,C19037F_043MA,C19037F_044MA,C19037F_044EA,C19037F_045MA,C19037F_045EA,state
0400000US06,1184391,13540,60172,3291,7651,1398,5935,1273,12555,1792,10109,1313,11359,2016,8373,1235,2879,1214,1281,553,30,49,0,197,606901,12459,40456,3169,34959,3041,90745,5507,80810,4806,109426,5323,120356,5833,61833,3921,51913,3718,10492,1731,5911,1272,425819,8998,25847,2533,24323,2404,52035,3331,52385,3967,74360,3959,82384,4341,51465,3761,42694,3642,13519,1806,6807,1328,91499,4003,9587,1469,12242,1590,17908,2042,11905,1544,13049,1437,13074,1445,6651,1186,5406,932,848,416,829,365,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66659,3832,5819,1539,1011,535,533,396,1668,989,705,458,833,519,866,504,99,81,0,189,104,172,0,189,32491,2749,2318,722,2444,945,5500,1267,6804,1550,5397,1262,4753,1151,2624,826,1908,689,184,206,559,326,21898,2119,3245,964,1910,1013,2582,731,1893,678,4414,1093,3201,880,2126,631,1643,573,619,297,265,209,6451,1042,775,391,1085,505,1737,477,309,188,907,418,816,395,412,282,279,223,131,126,0,189,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48100,3125,2597,816,482,279,603,417,287,253,171,187,575,437,378,310,0,193,101,166,0,193,0,193,26675,2631,2482,914,2565,935,4819,1175,2950,961,4079,1297,5069,1435,1975,922,1264,535,1037,640,435,298,15042,1714,1573,635,1313,559,2040,796,2500,783,1716,791,2649,656,1674,828,1180,460,278,234,119,168,3786,952,1281,513,999,583,312,281,282,248,145,232,104,121,134,179,387,366,90,100,52,87,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,123629,6557,6951,1367,1030,526,469,296,1412,721,1266,552,1135,496,956,483,186,195,304,332,193,323,0,211,62971,4737,5891,1541,4786,1428,11537,2404,7297,1740,13026,2436,9048,1833,5906,1441,3204,1209,1252,905,1024,611,42787,3800,2964,859,2767,915,6298,1439,5754,1515,7512,1658,7023,1458,5292,1284,2946,918,1048,690,1183,806,10920,1411,1777,670,1170,438,2277,878,1404,489,1845,743,1175,598,416,299,323,274,238,224,295,263,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,73875,3889,6258,1809,1273,668,288,279,1651,782,1240,810,1311,792,310,388,182,196,3,7,0,208,0,208,48123,3590,5588,1763,4516,1559,11414,2163,7539,1712,7336,1812,7330,1685,2366,1127,1704,885,150,157,180,168,17517,2178,1391,909,1031,561,2742,1149,2447,903,2526,795,2520,928,2235,806,1676,738,700,350,249,283,1977,824,201,340,196,177,375,359,205,173,279,316,239,281,412,407,70,114,0,208,0,208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,183275,5543,8521,1969,1459,591,681,409,1191,489,1370,709,1200,531,1743,683,618,416,259,309,0,179,0,179,104056,5697,4733,1112,5606,1320,15824,2222,14230,2038,22760,3203,20718,2409,10457,1753,8137,1797,1241,553,350,299,60652,3475,3719,807,1818,807,6086,1198,6902,1273,10326,1659,14081,1933,9434,1437,5773,1109,1133,569,1380,574,10046,1237,1315,442,1413,591,1570,573,1333,494,1508,568,1158,505,797,529,395,300,333,376,224,278,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
