GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001MA,B25032F_001EA,B25032F_002MA,B25032F_002EA,B25032F_003EA,B25032F_003MA,B25032F_004EA,B25032F_004MA,B25032F_005MA,B25032F_005EA,B25032F_006MA,B25032F_006EA,B25032F_007EA,B25032F_007MA,B25032F_008EA,B25032F_008MA,B25032F_009EA,B25032F_009MA,B25032F_010MA,B25032F_010EA,B25032F_011MA,B25032F_011EA,state
0400000US06,1184391,13540,601399,9445,79506,4138,40456,4070,97741,4947,96762,4935,80864,4796,76624,4386,66141,4122,44609,3130,289,227,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66659,3832,30316,2481,3672,976,2740,923,3204,759,4131,1215,5707,1534,6468,1426,3535,1023,6776,1447,110,117,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48100,3125,10259,1583,2326,719,10459,2039,11901,1895,4919,1152,2321,683,2429,716,3486,967,0,193,0,193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7734,1517,279,199,1712,628,41,67,375,340,444,340,1281,663,1950,1029,1652,743,0,197,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,123629,6557,57498,4816,7741,1390,3407,970,7086,1657,8837,1511,10466,1754,9488,1718,9005,1606,10101,1949,0,211,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,73875,3889,34563,3154,2014,1023,3269,1118,2853,1025,9769,2105,6943,1778,2600,1002,1054,676,10764,1893,46,85,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4693,1076,1948,625,497,302,172,174,171,178,314,261,850,563,62,102,679,511,0,177,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11342,1710,5800,1368,758,593,247,174,382,344,235,282,331,342,469,468,0,187,3120,1035,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,183275,5543,79214,3825,8021,1716,30803,2931,29801,2958,14385,2218,9034,1929,4888,1536,4123,1101,2966,1062,40,65,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41879,2456,23364,1983,2910,1114,1208,682,4522,1251,3159,1083,2820,1019,586,508,322,265,2988,818,0,184,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,9576,1583,5367,912,281,294,575,352,700,460,510,335,733,573,356,321,17,31,1037,639,0,151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,16212,1796,9654,1429,1115,551,602,340,172,163,1072,449,635,493,25,42,330,247,2607,652,0,165,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
