GEO_ID,B10051C_001E,B10051C_001M,B10051C_002E,B10051C_002M,B10051C_003E,B10051C_003M,B10051C_004E,B10051C_004M,B10051C_005E,B10051C_005M,B10051C_006E,B10051C_006M,B10051C_007E,B10051C_007M,NAME,B10051C_001MA,B10051C_001EA,B10051C_002MA,B10051C_002EA,B10051C_003MA,B10051C_003EA,B10051C_004EA,B10051C_004MA,B10051C_005EA,B10051C_005MA,B10051C_006EA,B10051C_006MA,B10051C_007MA,B10051C_007EA,state
0400000US06,10113,1290,3449,732,2305,628,1144,413,6664,1233,3952,1020,2712,719,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1012,471,708,447,565,416,143,153,304,194,182,136,122,139,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1437,687,1102,639,635,425,467,404,335,238,167,184,168,158,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,626,199,336,173,167,134,169,98,290,164,140,109,150,118,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,467,245,194,120,108,102,86,104,273,201,197,194,76,47,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2004,751,1345,728,824,556,521,449,659,284,469,267,190,129,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1606,447,1098,390,428,167,670,349,508,215,369,203,139,73,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3710,694,2532,628,1598,472,934,391,1178,331,849,307,329,159,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1252,630,1071,613,873,602,198,114,181,135,173,134,8,13,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1316,441,992,388,807,375,185,124,324,186,147,137,177,126,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,9685,1137,4796,808,3067,624,1729,510,4889,797,2508,586,2381,575,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2459,736,1389,587,838,430,551,371,1070,478,320,269,750,376,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,4564,856,2568,789,1672,626,896,432,1996,563,1391,507,605,357,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1716,381,1228,373,912,334,316,178,488,178,366,159,122,85,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,836,414,187,163,149,137,38,59,649,383,387,298,262,258,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
