GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001EA,C17010B_001MA,C17010B_002EA,C17010B_002MA,C17010B_003EA,C17010B_003MA,C17010B_004MA,C17010B_004EA,C17010B_005MA,C17010B_005EA,C17010B_006MA,C17010B_006EA,C17010B_007EA,C17010B_007MA,C17010B_008EA,C17010B_008MA,C17010B_009MA,C17010B_009EA,C17010B_010MA,C17010B_010EA,C17010B_011MA,C17010B_011EA,C17010B_012MA,C17010B_012EA,C17010B_013EA,C17010B_013MA,C17010B_014EA,C17010B_014MA,C17010B_015MA,C17010B_015EA,C17010B_016MA,C17010B_016EA,C17010B_017MA,C17010B_017EA,state
0400000US06,488281,8299,105708,5322,17918,2155,11379,1713,87790,4475,14816,2251,10717,2000,72974,4166,62117,4290,382573,7403,204993,6381,96367,5064,177580,6073,39512,3460,21995,2690,138068,4931,75161,4432,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47516,2717,10503,1688,2451,982,2122,927,8052,1539,887,475,887,475,7165,1424,6260,1420,37013,2769,22930,2088,11625,1658,14083,1881,3124,899,1604,592,10959,1718,7746,1485,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84069,2796,16790,2372,2818,868,2043,744,13972,2149,1217,496,774,420,12755,2072,11282,2114,67279,2852,34242,2774,17200,2146,33037,2624,6254,1391,3162,1001,26783,2310,17569,1739,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45208,2082,6805,1239,777,416,390,306,6028,1205,824,415,760,406,5204,1142,4545,1063,38403,2009,21119,1821,9132,1372,17284,2018,4114,1115,3059,1003,13170,1688,9094,1418,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60466,2734,12952,1417,758,373,272,245,12194,1412,1158,534,520,339,11036,1388,8371,1252,47514,2588,19112,1691,7776,1200,28402,2173,5236,1020,2225,719,23166,1871,12440,1451,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,642642,8286,156658,5404,32841,3423,20946,2927,123817,5047,17614,2381,13392,2082,106203,4845,90602,4538,485984,8072,269712,7073,130903,5673,216272,6704,42290,3060,21603,2352,173982,6294,105835,6013,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,680671,9398,167705,6576,28129,3135,17872,2413,139576,5758,14904,2133,10046,1797,124672,5252,106168,4799,512966,9110,289922,8096,138952,6708,223044,8530,46181,4363,22274,3146,176863,7462,112879,6530,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6044,1005,382,320,37,62,37,62,345,317,0,177,0,177,345,317,345,317,5662,1029,4304,1028,2806,915,1358,717,961,640,587,521,397,400,397,400,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,400620,6652,111358,5047,13043,1853,7909,1326,98315,4635,10151,1611,6957,1273,88164,4384,74756,4155,289262,6164,139555,5267,61468,3308,149707,5677,29071,2442,14010,1678,120636,5099,70909,3671,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,131208,4216,36520,2611,4653,1023,2952,916,31867,2580,4150,1116,3695,1105,27717,2426,24662,2420,94688,3506,50524,2648,23509,2237,44164,3283,8696,1337,4875,1281,35468,2713,23054,2392,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19537,1636,7115,1394,1600,657,1297,565,5515,1135,689,454,600,433,4826,997,4684,991,12422,1442,7463,1192,4228,991,4959,993,1866,732,1229,677,3093,824,2436,761,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37514,2319,8024,1391,914,350,515,265,7110,1406,1293,716,984,549,5817,1086,4905,1117,29490,2262,18712,1814,9403,1264,10778,1809,2585,765,1356,611,8193,1511,5313,1272,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,79394,3007,24759,2798,3438,869,2217,678,21321,2642,2280,723,2104,703,19041,2498,17321,2482,54635,2214,29279,2023,11521,1288,25356,2070,5133,1202,2816,883,20223,1534,13162,1352,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
