GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001EA,B19101F_001MA,B19101F_002MA,B19101F_002EA,B19101F_003MA,B19101F_003EA,B19101F_004MA,B19101F_004EA,B19101F_005EA,B19101F_005MA,B19101F_006EA,B19101F_006MA,B19101F_007EA,B19101F_007MA,B19101F_008MA,B19101F_008EA,B19101F_009MA,B19101F_009EA,B19101F_010MA,B19101F_010EA,B19101F_011EA,B19101F_011MA,B19101F_012EA,B19101F_012MA,B19101F_013MA,B19101F_013EA,B19101F_014MA,B19101F_014EA,B19101F_015MA,B19101F_015EA,B19101F_016EA,B19101F_016MA,B19101F_017EA,B19101F_017MA,state
0400000US06,981053,12943,76656,4878,62165,3815,75207,4305,70974,4111,62402,3810,65729,3717,60396,3693,62577,4058,49160,3521,86244,5006,95100,4308,99564,4682,55654,4263,27072,2557,20780,2316,11373,1759,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,48179,3640,4485,1041,3242,1095,3859,1122,3974,1112,3906,1112,3817,1065,2532,780,2845,879,3000,913,3011,968,4513,922,4535,1110,2004,618,726,418,975,402,755,392,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33909,2903,3285,828,3233,1180,1895,676,3617,949,2229,801,2593,985,1770,789,1882,734,1459,691,2368,1018,3380,1060,2305,856,1477,626,928,491,1125,590,363,258,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5217,1254,513,416,501,322,296,306,399,325,266,270,497,467,698,507,108,133,183,192,135,132,664,508,198,327,330,271,380,270,0,197,49,82,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,90966,5378,8571,1629,6257,1314,7670,1576,9148,1853,6493,1480,5417,1254,6224,1647,5366,1378,4953,1308,6157,1258,6446,1483,9061,1713,3727,1116,1254,699,2130,884,2092,987,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,59199,4090,6187,1501,5402,1556,6014,1486,7348,2026,5046,1459,4386,1195,3583,1128,2844,1028,1985,723,4841,1342,3100,1003,4819,1606,1718,725,990,650,507,259,429,340,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8975,1529,1041,696,232,239,1091,573,963,615,783,450,765,682,815,581,583,352,205,214,572,277,1169,602,263,260,354,455,73,96,44,75,22,43,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,151900,5283,7902,1339,8056,1523,9774,1444,11198,2090,10743,1557,8770,1545,8965,1718,10721,1827,10224,1884,14241,2117,16966,2197,18399,2098,8682,1671,3159,754,2370,768,1730,651,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30848,2330,2678,794,1744,750,3248,1040,2541,850,1739,658,2353,949,2875,820,1589,592,1371,1130,2540,873,2511,686,2779,799,1119,558,1082,694,607,461,72,120,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7435,1328,516,233,174,162,354,268,626,383,872,570,670,530,435,331,752,541,564,354,589,403,1023,514,247,184,84,89,358,331,171,170,0,151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,11879,1502,840,444,583,402,1130,533,1438,595,967,506,1319,552,922,377,846,476,683,390,649,299,1456,524,459,295,397,288,82,97,33,61,75,126,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,7653,1433,1024,634,965,614,638,389,592,383,761,407,238,216,24,42,993,593,314,380,473,399,730,469,620,497,48,92,0,181,67,83,166,267,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,10599,1753,733,459,1107,736,288,254,569,431,478,309,655,440,608,418,764,466,725,429,2211,934,446,321,1326,607,540,306,66,83,33,65,50,86,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,39764,2855,1453,594,1084,699,1864,874,2641,850,1872,738,2912,1112,2351,917,2631,867,2376,1040,5166,1190,4859,1230,4410,1124,2360,771,1114,458,1624,812,1047,563,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,60388,3615,8300,1448,4980,1211,5360,1179,2889,796,3175,953,3979,780,3307,914,3885,938,2260,887,3368,918,6842,1737,5034,1296,3286,776,1000,527,1770,828,953,520,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,19594,1881,2092,586,1104,473,1684,678,2080,818,1926,560,1837,727,883,432,986,514,1076,443,1496,593,1650,615,1449,550,457,282,113,128,408,256,353,243,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
