GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001MA,B19001B_001EA,B19001B_002MA,B19001B_002EA,B19001B_003MA,B19001B_003EA,B19001B_004EA,B19001B_004MA,B19001B_005EA,B19001B_005MA,B19001B_006MA,B19001B_006EA,B19001B_007MA,B19001B_007EA,B19001B_008MA,B19001B_008EA,B19001B_009MA,B19001B_009EA,B19001B_010MA,B19001B_010EA,B19001B_011EA,B19001B_011MA,B19001B_012EA,B19001B_012MA,B19001B_013MA,B19001B_013EA,B19001B_014MA,B19001B_014EA,B19001B_015MA,B19001B_015EA,B19001B_016EA,B19001B_016MA,B19001B_017EA,B19001B_017MA,state
0400000US06,819829,9082,107115,5426,74815,3573,49853,3388,50461,3928,39241,3530,42341,3469,34267,2917,38580,3428,32243,2938,61227,4169,74677,4531,82941,4585,54667,4276,28622,2725,29186,2709,19593,2412,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72416,2908,8959,1432,4928,1113,5017,1160,3831,1048,5459,1323,4476,944,3568,921,4790,1224,2982,815,5146,1139,6397,1153,7245,1261,3200,901,2308,804,3274,1082,836,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,130674,3385,17404,1839,9740,1676,9187,1555,10045,1882,7569,1240,7224,1544,6142,1312,5515,917,4639,1151,9264,1544,12399,1725,12239,1510,7959,1488,4933,1105,4304,1030,2111,669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,67325,2279,5953,1276,5301,920,3507,981,3233,1032,4858,1000,3086,1002,3020,781,4493,976,2449,905,5874,1117,7319,1509,7844,1483,4781,1278,2768,809,1525,662,1314,646,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,124481,2767,20611,2070,9233,1282,7687,1276,7328,1234,6604,1199,5350,901,6346,1152,6114,1121,4661,1006,7631,1356,10605,1366,10959,1521,8163,1394,3993,1106,5108,967,4088,888,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,984074,9997,144122,6757,86219,4783,80996,4462,74403,4660,72057,4244,67183,3969,61909,4674,52948,3528,40405,4119,74672,5210,78616,4142,72079,4114,37987,3030,17532,2016,13914,2171,9032,1779,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1060959,9116,159297,6964,90458,5063,75250,4305,76865,4707,67023,4104,64531,3751,56280,3914,51241,4050,48561,4635,78797,4552,95311,5117,94458,4931,49229,4136,22295,2770,18451,2594,12912,2162,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10013,1218,601,454,0,177,123,122,315,235,518,441,496,321,713,452,610,469,733,498,959,561,1109,507,1350,784,1047,715,558,373,592,505,289,221,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,660432,6744,119272,4869,58224,4113,47116,3254,45848,3300,40066,2969,39406,3139,31742,2551,29365,2382,26861,2734,43471,3056,51078,3444,58444,3663,32287,2638,15672,1676,12857,1564,8723,1451,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,222791,4811,39941,3050,23051,2120,20444,2298,15973,2035,15340,1971,15539,1733,12712,1803,9367,1546,8427,1411,15822,2018,14684,2000,14692,1875,7832,1570,3278,928,3162,876,2527,914,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31585,1967,5537,1172,3488,1014,3224,1053,2129,726,2385,686,2154,807,1331,557,1240,724,675,390,2665,876,1497,486,2350,646,1601,632,286,245,437,409,586,403,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,64124,2282,10372,1592,5326,1080,4621,1236,4267,1057,4382,984,4352,1141,3071,944,3575,971,2944,873,5143,1151,5287,1058,6902,1346,1663,514,1444,641,407,234,368,272,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
