GEO_ID,C27001E_001E,C27001E_001M,C27001E_002E,C27001E_002M,C27001E_003E,C27001E_003M,C27001E_004E,C27001E_004M,C27001E_005E,C27001E_005M,C27001E_006E,C27001E_006M,C27001E_007E,C27001E_007M,C27001E_008E,C27001E_008M,C27001E_009E,C27001E_009M,C27001E_010E,C27001E_010M,NAME,C27001E_001MA,C27001E_001EA,C27001E_002MA,C27001E_002EA,C27001E_003EA,C27001E_003MA,C27001E_004EA,C27001E_004MA,C27001E_005EA,C27001E_005MA,C27001E_006MA,C27001E_006EA,C27001E_007MA,C27001E_007EA,C27001E_008MA,C27001E_008EA,C27001E_009EA,C27001E_009MA,C27001E_010EA,C27001E_010MA,state
0400000US06,143803,4581,34976,2233,30847,2625,4129,1484,99249,3284,74457,4082,24792,3367,9578,1355,9281,1351,297,300,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5136,1292,1332,821,1294,829,38,76,3686,934,2191,734,1495,744,118,141,118,141,0,189,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11387,3404,2437,1795,929,627,1508,1695,8360,2597,5639,1863,2721,1398,590,367,488,332,102,160,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2588,883,265,227,265,227,0,208,2056,755,1492,722,564,426,267,261,267,261,0,208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,143492,5915,44779,3023,42610,3306,2169,1242,86884,3573,76811,3619,10073,2087,11829,934,11793,936,36,61,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
