GEO_ID,C19037B_001E,C19037B_001M,C19037B_002E,C19037B_002M,C19037B_003E,C19037B_003M,C19037B_004E,C19037B_004M,C19037B_005E,C19037B_005M,C19037B_006E,C19037B_006M,C19037B_007E,C19037B_007M,C19037B_008E,C19037B_008M,C19037B_009E,C19037B_009M,C19037B_010E,C19037B_010M,C19037B_011E,C19037B_011M,C19037B_012E,C19037B_012M,C19037B_013E,C19037B_013M,C19037B_014E,C19037B_014M,C19037B_015E,C19037B_015M,C19037B_016E,C19037B_016M,C19037B_017E,C19037B_017M,C19037B_018E,C19037B_018M,C19037B_019E,C19037B_019M,C19037B_020E,C19037B_020M,C19037B_021E,C19037B_021M,C19037B_022E,C19037B_022M,C19037B_023E,C19037B_023M,C19037B_024E,C19037B_024M,C19037B_025E,C19037B_025M,C19037B_026E,C19037B_026M,C19037B_027E,C19037B_027M,C19037B_028E,C19037B_028M,C19037B_029E,C19037B_029M,C19037B_030E,C19037B_030M,C19037B_031E,C19037B_031M,C19037B_032E,C19037B_032M,C19037B_033E,C19037B_033M,C19037B_034E,C19037B_034M,C19037B_035E,C19037B_035M,C19037B_036E,C19037B_036M,C19037B_037E,C19037B_037M,C19037B_038E,C19037B_038M,C19037B_039E,C19037B_039M,C19037B_040E,C19037B_040M,C19037B_041E,C19037B_041M,C19037B_042E,C19037B_042M,C19037B_043E,C19037B_043M,C19037B_044E,C19037B_044M,C19037B_045E,C19037B_045M,NAME,C19037B_001EA,C19037B_001MA,C19037B_002EA,C19037B_002MA,C19037B_003EA,C19037B_003MA,C19037B_004MA,C19037B_004EA,C19037B_005MA,C19037B_005EA,C19037B_006EA,C19037B_006MA,C19037B_007EA,C19037B_007MA,C19037B_008EA,C19037B_008MA,C19037B_009EA,C19037B_009MA,C19037B_010MA,C19037B_010EA,C19037B_011MA,C19037B_011EA,C19037B_012EA,C19037B_012MA,C19037B_013EA,C19037B_013MA,C19037B_014EA,C19037B_014MA,C19037B_015MA,C19037B_015EA,C19037B_016MA,C19037B_016EA,C19037B_017EA,C19037B_017MA,C19037B_018EA,C19037B_018MA,C19037B_019EA,C19037B_019MA,C19037B_020EA,C19037B_020MA,C19037B_021MA,C19037B_021EA,C19037B_022MA,C19037B_022EA,C19037B_023EA,C19037B_023MA,C19037B_024EA,C19037B_024MA,C19037B_025EA,C19037B_025MA,C19037B_026MA,C19037B_026EA,C19037B_027MA,C19037B_027EA,C19037B_028EA,C19037B_028MA,C19037B_029EA,C19037B_029MA,C19037B_030EA,C19037B_030MA,C19037B_031EA,C19037B_031MA,C19037B_032MA,C19037B_032EA,C19037B_033MA,C19037B_033EA,C19037B_034EA,C19037B_034MA,C19037B_035EA,C19037B_035MA,C19037B_036EA,C19037B_036MA,C19037B_037MA,C19037B_037EA,C19037B_038MA,C19037B_038EA,C19037B_039EA,C19037B_039MA,C19037B_040EA,C19037B_040MA,C19037B_041EA,C19037B_041MA,C19037B_042MA,C19037B_042EA,C19037B_043MA,C19037B_043EA,C19037B_044MA,C19037B_044EA,C19037B_045EA,C19037B_045MA,state
0400000US06,819829,9082,33607,2939,11296,1732,3697,1008,6432,1452,4980,1297,2790,975,2982,948,678,510,374,307,312,321,66,80,279565,6193,40246,3463,19833,2199,34419,3400,26668,2939,35743,2966,50563,3711,28893,3007,27942,2634,9042,1598,6216,1787,347349,7159,38770,3237,31300,2617,33872,2937,29725,2836,43645,3357,61195,3956,39144,2976,43577,3830,15663,1873,10458,1662,159308,3051,16803,1719,19985,2002,25591,2444,20209,2312,22912,2234,21164,1717,14226,1727,11396,1344,4169,914,2853,577,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72416,2908,4965,862,1437,593,595,455,623,313,1043,438,578,433,355,362,334,320,0,189,0,189,0,189,27174,1869,3138,868,1630,657,3727,1179,3805,1148,5032,1263,4740,1063,2145,739,1469,539,1133,690,355,406,29788,1699,2984,869,1795,611,3003,862,3481,862,4758,1101,4706,986,3990,849,3016,842,1683,751,372,389,10489,919,1400,437,908,329,1495,518,1606,546,972,396,1742,455,776,329,1023,462,458,366,109,124,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,130674,3385,5157,1232,1655,743,615,406,703,500,833,499,730,404,305,367,273,242,43,73,0,193,0,193,48357,2705,4400,1019,3442,1109,7798,1581,5550,1158,7406,1408,7985,1581,5959,1263,3477,1016,1343,636,997,509,54427,2349,7796,1315,2477,862,6327,1282,5943,1114,5606,1060,10794,1484,4296,864,7740,1475,2581,790,867,417,22733,1318,3553,898,3206,870,4404,767,2467,777,2554,669,2579,692,1711,495,1632,776,380,235,247,243,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,67325,2279,2835,988,1023,631,372,292,512,407,140,190,353,340,306,358,28,48,101,174,0,182,0,182,23605,1904,2059,796,1149,575,2554,873,3609,1049,4282,925,3847,1239,2362,871,2791,1004,726,517,226,279,29535,1515,2087,613,1982,587,2379,885,2762,763,3830,897,6748,1315,3888,976,4134,1021,677,350,1048,568,11350,813,784,331,1798,618,1295,393,1433,541,1497,499,2292,633,1566,729,523,297,122,121,40,41,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,124481,2767,3302,842,1174,480,360,290,539,321,289,279,533,462,192,220,137,182,30,49,48,80,0,197,38465,1988,6299,1269,1873,607,4621,984,3288,992,5559,1160,5849,1162,3435,980,4521,1064,1638,587,1382,612,51638,1744,9120,1372,3103,784,5271,968,4786,997,6612,1008,8086,1393,4997,916,5342,958,2213,589,2108,696,31076,1196,4018,855,3897,859,4584,950,3591,734,4417,804,4109,757,2390,581,2263,541,1209,486,598,297,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,984074,9997,52602,4283,16643,2405,8347,1774,10653,1976,7891,1549,5042,1409,2901,812,238,208,466,557,0,211,421,520,375623,8125,48770,4264,26005,2871,59508,4165,57860,3823,69651,5694,59824,4870,26550,2910,20631,2610,3665,1032,3159,1231,392361,8162,51781,3187,28416,2687,55384,3332,50261,3722,58908,3988,69638,3475,35872,2787,29679,2251,8179,1614,4243,1054,163488,4601,26928,2672,23451,2281,29854,2471,23228,2223,21661,2090,20925,1950,9419,1368,4743,906,2070,726,1209,425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1060959,9116,49448,4440,17022,2375,6773,1480,11573,2375,6355,1246,3996,1333,2368,1007,1070,740,195,234,96,115,0,208,429837,7986,60042,4723,28005,3052,56691,4663,59754,4316,70536,4991,74869,5288,40815,3550,29613,3237,6287,1413,3225,1100,430842,5350,58324,4439,31266,3075,55844,3563,47154,3353,60964,4620,79536,4501,42866,2776,35980,3059,10456,2184,8452,1625,150832,3462,23909,1572,24414,2087,28007,2003,18291,1824,20586,2350,17335,1647,9707,1579,5736,1151,1612,686,1235,437,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,660432,6744,28932,2382,12500,1483,5044,1311,4914,958,2844,813,2213,829,776,388,361,351,280,319,0,179,0,179,234045,4892,41057,3443,16454,2224,35231,3350,30850,3204,32474,3259,35430,2948,21134,2447,15070,2050,4075,1002,2270,724,269901,4690,45487,2669,20549,2227,29192,2229,29208,2644,36422,2654,41461,2405,28120,2605,26793,2714,7362,1223,5307,1209,127554,2672,20228,1801,16177,1764,23627,2100,16570,1796,16859,1506,16882,1604,8829,1227,5816,1094,1420,467,1146,298,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
