GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001EA,B19001F_001MA,B19001F_002EA,B19001F_002MA,B19001F_003EA,B19001F_003MA,B19001F_004EA,B19001F_004MA,B19001F_005EA,B19001F_005MA,B19001F_006MA,B19001F_006EA,B19001F_007EA,B19001F_007MA,B19001F_008EA,B19001F_008MA,B19001F_009EA,B19001F_009MA,B19001F_010EA,B19001F_010MA,B19001F_011MA,B19001F_011EA,B19001F_012EA,B19001F_012MA,B19001F_013EA,B19001F_013MA,B19001F_014EA,B19001F_014MA,B19001F_015EA,B19001F_015MA,B19001F_016EA,B19001F_016MA,B19001F_017MA,B19001F_017EA,state
0400000US06,1184391,13540,83541,5023,77459,4036,88973,5099,84270,4800,74831,4030,80378,4660,73811,4709,74176,4276,60207,4019,105851,5110,118336,4902,122828,5603,67079,4884,34215,2951,24889,2504,13547,1907,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66659,3832,7349,1351,5972,1567,5050,1271,6437,1445,5366,1287,4345,1220,3580,932,3722,1056,4249,1104,4067,1152,5569,1091,5261,1116,2745,782,1085,485,1038,422,824,389,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48100,3125,5818,1264,5480,1429,2629,769,4829,1174,3338,1010,2565,841,2186,931,2748,946,1581,709,3295,1070,4905,1237,3783,1247,1780,684,1152,488,1405,697,606,357,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6185,1341,186,171,604,473,123,151,467,455,148,163,452,331,208,199,389,346,313,249,510,457,1643,837,606,355,251,248,129,215,0,182,156,283,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7734,1517,797,509,634,459,349,338,488,318,415,353,648,515,791,546,218,260,281,261,316,225,888,590,514,513,802,530,380,270,56,92,157,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,123629,6557,11662,2079,9192,1778,10505,2201,11019,2124,8595,1719,7126,1474,9032,1900,7448,1553,7038,1476,9139,1556,9063,1889,11800,2012,5173,1362,1604,758,2731,1216,2502,1078,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,73875,3889,8453,2217,6031,1757,6969,1586,9213,2269,5900,1556,5531,1125,4956,1463,3937,1224,2559,913,6599,1516,3800,1207,5195,1609,2211,843,1242,692,850,404,429,340,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4693,1076,337,241,445,371,263,170,499,453,134,133,226,226,354,305,252,194,109,129,835,527,458,361,268,199,143,138,172,180,103,119,95,116,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11342,1710,1469,761,347,288,784,424,1221,681,860,490,1009,668,738,410,771,408,95,113,1291,507,1546,609,475,358,597,543,73,96,44,75,22,43,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,183275,5543,11226,1548,9518,1813,11439,1567,13232,2133,11945,1561,11890,1682,11871,2093,12308,1998,11615,1993,17178,2132,20522,2553,21306,2315,10855,2031,3709,822,2707,814,1954,673,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41879,2456,4189,1041,2111,881,4104,1213,3047,997,3529,1086,2995,1081,3733,936,2112,713,1714,1166,3148,1008,4532,976,3563,784,1241,552,1121,694,668,464,72,120,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,9576,1583,1121,490,565,492,219,179,739,405,1231,636,588,373,726,389,721,536,737,345,770,473,1163,590,247,184,144,135,434,400,171,170,0,151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,16212,1796,1281,405,821,447,1525,626,1410,447,1073,506,1878,599,1326,559,1285,576,1185,483,1243,559,1960,667,609,332,360,288,148,120,33,61,75,126,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,10076,1419,1222,737,1070,613,767,451,655,385,737,420,657,325,150,196,836,481,314,380,975,654,1360,799,949,601,114,137,0,181,67,83,203,271,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,14910,2294,1281,613,1232,529,733,413,1179,623,1001,660,625,412,806,468,1013,499,905,516,2230,880,1080,878,1568,682,660,335,190,218,196,173,211,175,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,46644,3172,878,434,758,480,2308,1118,2329,838,1950,829,2578,957,2361,844,3425,995,3256,961,6659,1483,6158,1422,6481,1357,3238,987,1286,552,1649,810,1330,652,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,83312,4007,15137,1982,6971,1255,6423,1313,4606,1101,4337,1112,4914,1091,4380,1176,5260,1038,2616,974,5281,1202,8149,1786,6936,1488,3813,815,1242,613,2218,919,1029,538,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,25760,1988,2738,654,1830,589,2447,756,2970,933,1810,549,2008,699,1251,534,1349,551,1664,532,1943,649,2342,647,1674,614,569,283,160,156,408,256,597,390,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,18112,1989,809,386,970,515,1282,573,760,447,1391,680,1426,633,1512,724,457,267,1030,540,2592,809,1820,676,2178,727,901,468,106,93,665,471,213,208,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
