GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001MA,C23002F_001EA,C23002F_002EA,C23002F_002MA,C23002F_003EA,C23002F_003MA,C23002F_004MA,C23002F_004EA,C23002F_005EA,C23002F_005MA,C23002F_006MA,C23002F_006EA,C23002F_007MA,C23002F_007EA,C23002F_008EA,C23002F_008MA,C23002F_009EA,C23002F_009MA,C23002F_010MA,C23002F_010EA,C23002F_011MA,C23002F_011EA,C23002F_012MA,C23002F_012EA,C23002F_013EA,C23002F_013MA,C23002F_014EA,C23002F_014MA,C23002F_015MA,C23002F_015EA,C23002F_016MA,C23002F_016EA,C23002F_017MA,C23002F_017EA,C23002F_018MA,C23002F_018EA,C23002F_019EA,C23002F_019MA,C23002F_020EA,C23002F_020MA,C23002F_021EA,C23002F_021MA,C23002F_022MA,C23002F_022EA,C23002F_023MA,C23002F_023EA,C23002F_024EA,C23002F_024MA,C23002F_025EA,C23002F_025MA,C23002F_026EA,C23002F_026MA,C23002F_027EA,C23002F_027MA,state
0400000US06,3539101,38912,1811305,23553,1715620,22744,1383820,20108,5493,1446,1378327,20018,1215952,20526,162375,6381,331800,9683,95685,4300,20595,2288,18465,1992,2130,900,75090,4256,1727796,20906,1599375,19111,1010328,15495,112,100,1010216,15494,858336,15115,151880,6286,589047,12133,128421,4855,12587,1472,11447,1499,1140,476,115834,5108,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,157420,8675,81108,5321,76003,5224,63677,4614,693,434,62984,4623,55753,4425,7231,1618,12326,1910,5105,841,1022,429,987,429,35,58,4083,824,76312,4784,70543,4771,46837,3577,176,227,46661,3526,40819,3470,5842,1419,23706,2670,5769,1008,1240,569,1240,569,0,189,4529,839,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,121265,7709,64017,5326,60879,5129,47575,4693,0,193,47575,4693,40442,4584,7133,1656,13304,1933,3138,727,860,500,860,500,0,193,2278,674,57248,3976,53194,3931,37828,3490,0,193,37828,3490,32409,2973,5419,1309,15366,2006,4054,871,321,334,321,334,0,193,3733,853,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,347672,17723,181979,10945,171644,10512,136138,8934,1228,721,134910,8956,121950,8628,12960,2256,35506,4280,10335,1673,2493,704,2128,631,365,355,7842,1524,165693,9477,154410,8991,104948,7012,156,134,104792,6980,89427,6871,15365,2888,49462,4869,11283,1674,1183,454,1045,433,138,180,10100,1612,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,197949,9378,113064,6089,110489,6170,89716,5456,1074,563,88642,5406,81590,5270,7052,1970,20773,3374,2575,691,1325,623,1269,623,56,90,1250,427,84885,5264,82630,5158,46110,4320,457,442,45653,4298,39956,4224,5697,1523,36520,4172,2255,837,188,227,101,169,87,158,2067,833,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12698,2006,6838,1304,6556,1269,5673,1080,1299,531,4374,1039,3938,1057,436,298,883,541,282,182,20,32,20,32,0,177,262,187,5860,1126,5440,1092,3979,969,103,83,3876,963,3296,831,580,424,1461,540,420,284,92,145,0,177,92,145,328,218,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31343,4223,16465,2411,16034,2390,14657,2257,0,187,14657,2257,13896,2163,761,557,1377,645,431,238,257,192,257,192,0,187,174,145,14878,3128,14043,3069,10944,3099,81,159,10863,3105,9610,2927,1253,665,3099,1194,835,451,0,187,0,187,0,187,835,451,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,511376,15856,269602,8882,258051,8871,218704,8545,56,98,218648,8550,195873,8298,22775,2863,39347,3539,11551,1509,1723,602,1436,550,287,222,9828,1505,241774,8798,227735,8570,148699,6962,45,76,148654,6959,126685,6367,21969,2393,79036,4177,14039,1647,1437,511,1398,495,39,65,12602,1554,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
