GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003MA,B19101D_003EA,B19101D_004MA,B19101D_004EA,B19101D_005EA,B19101D_005MA,B19101D_006EA,B19101D_006MA,B19101D_007MA,B19101D_007EA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010EA,B19101D_010MA,B19101D_011EA,B19101D_011MA,B19101D_012MA,B19101D_012EA,B19101D_013MA,B19101D_013EA,B19101D_014MA,B19101D_014EA,B19101D_015EA,B19101D_015MA,B19101D_016EA,B19101D_016MA,B19101D_017MA,B19101D_017EA,state
0400000US06,1197646,9738,45644,3271,30894,2503,47010,3220,41587,2905,38959,2557,38089,2620,38721,2458,41170,2801,37138,2753,75349,3452,105170,4865,154665,4940,141558,5268,95670,3821,125602,5366,140420,5263,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31778,1993,1136,609,739,464,1493,652,1168,453,1039,395,1190,484,1161,531,1390,472,909,547,2386,775,2785,803,4349,889,4660,857,2263,700,2530,590,2580,734,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35302,1656,668,418,386,246,464,416,931,433,1299,663,1043,497,863,417,841,388,1051,459,1909,705,3130,964,4647,957,4913,1135,3855,865,3524,992,5778,870,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7210,632,157,164,88,106,311,243,182,218,94,99,271,216,25,42,5,9,72,82,734,433,800,405,885,390,1523,602,507,292,666,249,890,337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,112764,3780,4703,1512,3104,867,4003,941,3695,868,4878,1252,5260,1177,6182,1250,4564,1190,4315,1113,9717,1835,13364,1727,14416,1850,13405,1925,7961,1403,5614,988,7583,1556,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,77187,3344,2296,804,2413,748,2945,943,3745,1070,3719,887,3235,883,3052,1171,2830,937,2870,772,5327,1656,7940,1370,10857,1869,7972,1525,5069,1223,5240,1083,7677,1475,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125485,3365,3246,940,2197,677,2593,792,3352,791,2942,708,3764,846,3107,861,4709,815,4399,821,8931,1436,13701,1225,22123,2150,18703,1401,10458,975,12188,1256,9072,1282,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4297,961,91,112,0,187,674,538,137,163,117,139,54,91,567,432,287,272,0,187,750,497,323,219,575,361,259,197,93,110,179,165,191,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,145815,2935,5018,1059,3060,906,3547,1028,4053,886,4164,1014,4624,867,4872,1116,4537,1041,5497,1212,7487,1423,14975,2180,21180,1852,21012,1998,10791,1434,13861,1507,17137,1808,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
