S2507_C01_002M,S2507_C01_012E,S2507_C01_015E,S2507_C01_015M,S2507_C01_016E,S2507_C01_016M,S2507_C01_017E,S2507_C01_017M,S2507_C01_018E,S2507_C01_018M,S2507_C01_019E,S2507_C01_019M,S2507_C01_020M,S2507_C01_021E,S2507_C01_021M,S2507_C01_022E,S2507_C01_022M,S2507_C01_023E,S2507_C01_023M,S2507_C01_024E,S2507_C01_024M,S2507_C01_025E,S2507_C01_025M,S2507_C01_026E,S2507_C01_026M,S2507_C01_027E,S2507_C01_027M,S2507_C01_028E,S2507_C01_028M,S2507_C01_029E,S2507_C01_029M,S2507_C01_030E,S2507_C01_030M,S2507_C01_031E,S2507_C01_031M,S2507_C01_032E,S2507_C01_032M,S2507_C01_033E,S2507_C01_033M,S2507_C01_034E,S2507_C01_034M,S2507_C01_035E,S2507_C01_035M,S2507_C01_036E,S2507_C01_036M,S2507_C01_037E,S2507_C01_037M,S2507_C01_038E,S2507_C01_038M,S2507_C01_039E,S2507_C01_039M,S2507_C01_040E,S2507_C01_040M,S2507_C01_041E,S2507_C01_041M,S2507_C01_042E,S2507_C01_042M,S2507_C01_043E,S2507_C01_043M,S2507_C01_044E,S2507_C01_044M,S2507_C01_045E,S2507_C01_045M,S2507_C01_046E,S2507_C01_046M,S2507_C01_047E,S2507_C01_020E,S2507_C01_048M,S2507_C01_047M,S2507_C01_048E,S2507_C01_049E,S2507_C01_049M,S2507_C01_050E,S2507_C01_050M,S2507_C01_051E,S2507_C01_051M,S2507_C01_052E,S2507_C01_052M,S2507_C01_053E,S2507_C01_053M,S2507_C01_054E,S2507_C01_054M,S2507_C01_055E,S2507_C01_055M,S2507_C01_056E,S2507_C01_056M,S2507_C01_057E,S2507_C01_057M,S2507_C01_058E,S2507_C01_058M,S2507_C01_059E,S2507_C01_059M,S2507_C01_060E,S2507_C01_060M,S2507_C01_061E,S2507_C01_061M,S2507_C01_062E,S2507_C01_062M,GEO_ID,S2507_C01_001E,S2507_C01_001M,S2507_C01_002E,S2507_C01_003E,S2507_C01_003M,S2507_C01_004E,S2507_C01_004M,S2507_C01_005E,S2507_C01_005M,S2507_C01_006E,S2507_C01_006M,S2507_C01_007E,S2507_C01_007M,S2507_C01_008E,S2507_C01_008M,S2507_C01_009E,S2507_C01_009M,S2507_C01_010E,S2507_C01_010M,S2507_C01_011E,S2507_C01_011M,S2507_C01_012M,S2507_C01_013E,S2507_C01_013M,S2507_C01_014E,S2507_C01_014M,S2507_C01_002MA,S2507_C01_012EA,S2507_C01_012MA,S2507_C01_015EA,S2507_C01_015MA,S2507_C01_016EA,S2507_C01_016MA,S2507_C01_017EA,S2507_C01_017MA,S2507_C01_018MA,S2507_C01_018EA,S2507_C01_019EA,S2507_C01_019MA,S2507_C01_020MA,S2507_C01_021MA,S2507_C01_021EA,S2507_C01_022EA,S2507_C01_022MA,S2507_C01_023MA,S2507_C01_023EA,S2507_C01_024MA,S2507_C01_024EA,S2507_C01_025MA,S2507_C01_025EA,S2507_C01_026EA,S2507_C01_026MA,S2507_C01_027EA,S2507_C01_027MA,S2507_C01_028EA,S2507_C01_028MA,S2507_C01_029EA,S2507_C01_029MA,S2507_C01_030MA,S2507_C01_030EA,S2507_C01_031EA,S2507_C01_031MA,S2507_C01_032EA,S2507_C01_032MA,S2507_C01_033EA,S2507_C01_033MA,S2507_C01_034EA,S2507_C01_034MA,S2507_C01_035MA,S2507_C01_035EA,S2507_C01_036MA,S2507_C01_036EA,S2507_C01_037EA,S2507_C01_037MA,S2507_C01_038EA,S2507_C01_038MA,S2507_C01_039EA,S2507_C01_039MA,S2507_C01_040MA,S2507_C01_040EA,S2507_C01_041MA,S2507_C01_041EA,S2507_C01_042EA,S2507_C01_042MA,S2507_C01_043EA,S2507_C01_043MA,S2507_C01_044MA,S2507_C01_044EA,S2507_C01_045MA,S2507_C01_045EA,S2507_C01_046MA,S2507_C01_046EA,S2507_C01_047MA,S2507_C01_047EA,S2507_C01_020EA,S2507_C01_048MA,S2507_C01_048EA,S2507_C01_049EA,S2507_C01_049MA,S2507_C01_050MA,S2507_C01_050EA,S2507_C01_051MA,S2507_C01_051EA,S2507_C01_052MA,S2507_C01_052EA,S2507_C01_053EA,S2507_C01_053MA,S2507_C01_054EA,S2507_C01_054MA,S2507_C01_055MA,S2507_C01_055EA,S2507_C01_056MA,S2507_C01_056EA,S2507_C01_057MA,S2507_C01_057EA,S2507_C01_058MA,S2507_C01_058EA,S2507_C01_059MA,S2507_C01_059EA,S2507_C01_060EA,S2507_C01_060MA,S2507_C01_061MA,S2507_C01_061EA,S2507_C01_062EA,S2507_C01_062MA,NAME,S2507_C01_001EA,S2507_C01_001MA,S2507_C01_002EA,S2507_C01_003MA,S2507_C01_003EA,S2507_C01_004EA,S2507_C01_004MA,S2507_C01_005EA,S2507_C01_005MA,S2507_C01_006EA,S2507_C01_006MA,S2507_C01_007EA,S2507_C01_007MA,S2507_C01_008EA,S2507_C01_008MA,S2507_C01_009MA,S2507_C01_009EA,S2507_C01_010EA,S2507_C01_010MA,S2507_C01_011EA,S2507_C01_011MA,S2507_C01_013EA,S2507_C01_013MA,S2507_C01_014MA,S2507_C01_014EA,state
0.8,14.0,7.6,0.5,6.6,0.6,4.2,0.4,35243,918,42.3,1.0,0.7,9.7,0.5,30.0,1.0,1.6,0.2,1.2,0.2,3.5,0.3,7.6,0.5,11.7,0.7,13.5,0.7,14.1,0.8,12.0,0.7,16.6,0.7,9.0,0.7,4.7,0.5,6.1,0.5,344,4,25.9,0.9,6.5,0.5,6.1,0.5,13.3,0.8,22.3,0.8,16.3,0.7,4.6,0.5,1.5,0.2,15.9,0.7,15.0,0.7,0.8,0.2,0.1,16.4,0.9,0.1,16.0,15.8,0.9,0.2,0.1,0.0,0.1,18.4,0.8,18.3,0.8,0.0,0.1,0.0,0.1,1.6,0.2,55.7,1.0,10.1,0.5,6.7,0.6,27.5,0.7,397,11,31.5,-888888888.0,0400000US01,519233,10290,26.9,26.5,0.8,15.4,0.6,12.3,0.7,10.2,0.5,5.4,0.4,3.3,0.4,91900,2336,9.7,0.7,26.0,1.0,0.7,15.9,0.7,16.0,0.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1.8,9.9,11.9,2.1,14.5,2.2,8.8,1.4,58321,3193,33.6,2.5,2.2,13.0,2.0,36.3,2.9,0.2,0.2,2.5,1.1,2.1,0.6,3.1,0.8,4.3,1.0,6.4,1.4,5.9,1.5,6.3,1.2,15.3,2.3,15.2,2.1,13.0,2.2,26.0,2.5,529,17,14.3,1.8,2.8,1.0,1.7,0.6,9.8,1.7,16.1,2.3,9.0,1.8,4.5,1.2,2.5,0.8,11.5,1.9,9.1,1.7,2.2,0.8,0.2,16.9,2.7,0.2,22.7,21.5,2.6,1.0,0.6,0.2,0.3,35.2,2.5,35.2,2.5,0.0,0.2,0.0,0.2,0.2,0.2,16.1,2.9,13.1,2.0,41.2,2.8,29.5,2.6,2035,225,23.2,-888888888.0,0400000US02,56597,2674,12.9,14.6,2.0,11.2,2.0,13.4,2.3,22.9,2.4,19.3,2.3,5.7,1.3,192400,9982,6.3,1.5,14.4,2.0,1.7,11.5,1.9,22.7,2.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1.1,14.4,8.7,0.7,7.5,0.7,5.6,0.6,38623,993,35.3,1.1,1.0,11.2,0.6,35.5,1.2,2.2,0.4,3.4,0.4,4.0,0.5,6.8,0.7,10.4,0.9,10.2,0.8,10.8,0.8,11.3,0.9,17.8,1.1,10.4,0.8,6.1,0.6,8.7,0.6,370,5,20.5,1.0,5.2,0.5,4.8,0.5,10.4,0.8,22.7,1.0,15.8,0.8,4.7,0.6,2.2,0.3,16.2,1.0,14.7,1.0,1.2,0.3,0.2,15.8,1.1,0.1,16.7,16.4,1.1,0.3,0.2,0.1,0.1,21.8,0.9,21.7,0.9,0.1,0.1,0.1,0.1,2.2,0.4,31.6,1.1,25.8,1.1,31.1,1.1,11.5,0.8,1120,29,29.0,-888888888.0,0400000US04,468870,10367,21.2,19.3,1.1,15.6,1.0,13.5,0.9,15.1,1.0,9.2,0.8,6.1,0.6,127800,4273,8.8,0.7,22.1,1.2,1.0,16.2,1.0,16.7,1.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1.0,14.1,8.9,0.7,5.3,0.5,3.6,0.5,35580,937,45.3,1.3,0.9,9.6,0.8,27.7,1.3,1.4,0.3,1.8,0.4,5.2,0.6,9.2,0.6,14.3,0.9,16.8,0.9,13.7,0.8,11.0,0.9,14.5,1.0,6.5,0.7,3.1,0.5,3.9,0.6,310,4,25.6,1.3,8.7,0.8,6.5,0.7,10.4,0.8,22.2,0.9,18.1,0.8,3.3,0.4,0.8,0.2,16.2,0.8,15.4,0.8,0.7,0.2,0.1,16.0,1.0,0.1,16.7,16.5,0.9,0.2,0.1,0.1,0.1,17.8,1.0,17.8,1.0,0.0,0.1,0.0,0.1,1.4,0.3,61.8,1.1,18.7,1.1,9.5,0.8,10.0,0.7,511,16,29.2,-888888888.0,0400000US05,309403,7087,28.4,28.4,1.1,16.0,0.8,12.5,0.8,9.1,0.8,3.6,0.5,2.1,0.4,85700,1725,8.2,0.7,27.0,1.1,0.8,16.2,0.8,16.7,1.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0.3,11.9,10.4,0.3,10.8,0.3,10.1,0.4,47942,633,18.6,0.4,0.4,9.4,0.3,60.4,0.6,1.4,0.1,1.7,0.1,2.3,0.2,4.1,0.2,6.4,0.3,8.4,0.3,8.6,0.3,8.7,0.3,15.4,0.4,12.3,0.3,8.7,0.3,23.3,0.5,464,3,17.4,0.4,3.6,0.2,3.3,0.2,10.5,0.3,18.6,0.5,10.4,0.3,4.5,0.3,3.6,0.2,14.4,0.4,11.4,0.3,2.2,0.1,0.8,10.2,0.4,0.1,16.9,15.5,0.4,1.1,0.1,0.2,0.1,31.4,0.6,30.9,0.6,0.4,0.1,0.1,0.1,1.4,0.1,18.9,0.5,22.6,0.5,51.7,0.6,6.8,0.3,1761,28,28.8,-888888888.0,0400000US06,1741202,18648,10.4,7.8,0.3,6.5,0.3,7.3,0.3,14.5,0.3,23.4,0.4,30.0,0.5,325900,4051,5.7,0.2,19.8,0.4,0.3,14.4,0.4,16.9,0.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1.0,12.5,9.8,0.8,9.8,0.7,9.6,0.8,46995,1250,24.4,1.1,0.8,11.8,0.7,48.4,1.1,0.9,0.3,0.8,0.2,2.1,0.4,4.2,0.6,7.0,0.6,10.6,0.7,13.0,0.9,11.7,0.8,19.7,1.1,12.7,0.8,7.2,0.5,11.0,0.9,403,7,17.6,0.9,2.9,0.4,4.4,0.5,10.3,0.7,19.2,0.9,12.4,0.9,5.0,0.6,1.8,0.3,14.9,0.9,13.3,0.9,1.2,0.3,0.4,14.5,1.0,0.2,18.2,17.8,1.0,0.3,0.1,0.1,0.1,29.2,1.1,29.0,1.2,0.1,0.1,0.0,0.1,0.9,0.3,26.5,1.1,29.5,1.2,42.1,1.4,1.9,0.3,1332,32,27.7,-888888888.0,0400000US08,316810,6526,12.1,7.6,0.6,10.7,0.7,15.5,0.9,24.1,1.1,17.8,1.0,12.2,0.8,214800,4261,6.0,0.6,19.3,0.9,0.8,14.9,0.9,18.2,1.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0.5,10.6,12.2,0.8,12.7,0.9,14.4,0.9,57283,1937,18.8,1.0,1.0,11.7,0.8,52.5,1.3,0.9,0.3,0.2,0.1,0.2,0.1,0.3,0.1,0.7,0.2,0.6,0.2,0.9,0.3,1.6,0.3,6.4,0.6,10.3,0.7,13.4,0.9,65.3,1.2,805,11,12.7,0.9,0.3,0.1,0.6,0.2,11.8,0.9,16.6,1.1,1.4,0.3,5.1,0.5,10.1,0.9,13.4,1.0,5.1,0.6,5.7,0.5,2.7,16.1,1.0,0.4,17.0,12.8,0.8,3.4,0.4,0.9,0.3,39.4,1.4,37.7,1.4,1.4,0.3,0.4,0.2,0.9,0.3,3.9,0.6,2.7,0.4,92.1,0.7,1.3,0.2,4887,71,29.0,-888888888.0,0400000US09,266687,5457,3.5,4.2,0.6,7.4,0.7,14.7,0.8,28.3,1.1,25.9,1.2,16.0,1.0,267500,5050,4.0,0.5,15.5,0.9,0.9,13.4,1.0,17.0,1.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1.9,11.2,12.1,1.7,11.0,1.5,7.2,1.4,49628,2373,25.3,2.2,1.9,11.3,1.3,48.3,2.7,0.4,0.3,0.0,0.1,1.4,0.7,5.2,1.2,6.6,1.2,8.3,1.4,9.4,1.4,11.2,1.5,19.0,2.1,12.9,1.7,9.0,1.6,17.0,1.9,442,13,16.4,1.8,4.1,1.3,2.5,0.8,9.7,1.5,17.7,1.8,10.7,1.6,4.2,0.9,2.8,0.9,15.9,1.8,13.6,1.7,2.0,0.7,0.3,14.7,2.0,0.2,19.3,18.9,2.0,0.4,0.3,0.0,0.2,30.3,2.4,29.6,2.2,0.7,0.8,0.0,0.2,0.4,0.3,44.0,2.5,24.7,2.2,24.9,2.3,6.5,1.3,868,58,33.1,-888888888.0,0400000US10,72022,3318,13.6,6.6,1.3,9.4,1.6,14.3,1.9,27.5,2.4,19.7,2.0,8.9,1.2,220500,8268,4.6,1.0,18.7,1.9,1.7,15.9,1.8,19.3,2.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1.3,6.9,9.2,2.3,16.5,3.7,23.2,3.8,72303,8716,12.2,2.6,2.6,10.9,2.6,63.9,3.9,1.1,0.7,1.8,1.3,1.3,0.8,1.9,1.0,4.0,1.7,5.8,2.2,6.8,2.3,7.5,2.1,13.6,3.2,10.5,2.6,8.6,2.4,38.3,3.9,573,34,11.9,2.6,0.8,0.6,2.8,1.1,8.3,2.3,12.5,2.8,6.8,2.1,2.7,1.1,3.1,1.7,11.5,2.7,9.1,2.4,1.8,1.1,0.6,11.9,3.0,0.6,14.3,13.1,2.9,1.0,1.0,0.1,0.2,48.8,4.1,47.6,4.2,0.9,0.8,0.3,0.5,1.1,0.7,20.8,3.1,27.2,4.0,48.6,4.1,3.3,1.4,1528,296,25.6,-888888888.0,0400000US11,23328,1822,2.6,1.9,1.2,4.4,1.9,4.0,1.6,20.9,3.4,25.2,3.1,41.1,3.8,399700,34259,4.4,1.4,14.2,3.0,1.7,11.5,2.7,14.3,3.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0.5,13.5,8.7,0.3,7.5,0.3,6.1,0.3,39086,626,33.4,0.5,0.5,11.6,0.4,37.0,0.6,1.8,0.2,1.4,0.2,2.9,0.2,4.5,0.3,6.2,0.3,7.6,0.4,8.6,0.4,8.6,0.3,16.8,0.4,13.4,0.5,9.3,0.4,20.7,0.5,461,4,21.7,0.6,4.0,0.2,4.4,0.3,13.3,0.4,21.5,0.6,11.4,0.5,6.2,0.3,3.9,0.3,16.0,0.5,12.9,0.4,2.4,0.2,0.7,16.2,0.5,0.1,16.7,15.6,0.5,0.8,0.1,0.4,0.1,22.3,0.4,21.7,0.4,0.5,0.1,0.2,0.1,1.8,0.2,27.1,0.6,21.9,0.5,41.7,0.6,9.3,0.3,1371,19,30.4,-888888888.0,0400000US12,1765361,19804,17.5,22.6,0.5,15.6,0.5,13.7,0.5,14.1,0.4,9.6,0.4,6.9,0.3,128000,2379,7.9,0.3,23.5,0.6,0.5,16.0,0.5,16.7,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
