GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003MA,B19101D_003EA,B19101D_004MA,B19101D_004EA,B19101D_005EA,B19101D_005MA,B19101D_006EA,B19101D_006MA,B19101D_007MA,B19101D_007EA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010MA,B19101D_010EA,B19101D_011EA,B19101D_011MA,B19101D_012MA,B19101D_012EA,B19101D_013MA,B19101D_013EA,B19101D_014MA,B19101D_014EA,B19101D_015MA,B19101D_015EA,B19101D_016EA,B19101D_016MA,B19101D_017MA,B19101D_017EA,state
0400000US01,12305,1285,451,269,407,348,114,138,615,385,691,418,451,388,719,413,733,460,668,528,1171,539,1517,709,1826,664,789,441,1099,540,480,360,574,365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6880,847,48,68,113,134,208,180,316,287,317,310,166,150,489,304,455,323,156,178,668,325,632,444,1346,463,1148,530,371,224,285,252,162,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40270,2761,2581,1069,1169,745,1310,635,678,356,2067,724,1557,763,1252,633,1703,846,626,322,4819,1798,4116,1298,6586,1615,4282,1210,2131,701,2574,940,2819,1123,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7511,1284,6,13,43,64,596,450,408,490,191,341,529,339,425,372,357,371,490,430,900,406,535,355,905,499,827,517,712,446,207,295,380,410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1156717,10715,43968,3702,30140,2462,47323,3828,42158,3017,34749,2661,41084,3131,37669,2949,40513,3327,36033,2760,77073,4425,106384,5159,149601,5818,131526,5607,87181,4584,120280,5518,131035,5658,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30993,2111,1617,615,593,347,1115,548,957,453,408,222,1471,562,1317,665,1007,553,738,403,3068,1072,3990,1086,3465,908,3369,910,2497,840,2723,929,2658,840,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31833,1983,669,372,858,637,520,606,693,490,476,325,1154,609,1250,634,734,325,379,299,2467,882,3307,727,4553,1109,3512,934,2044,659,4457,1234,4760,929,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7407,690,132,158,146,168,90,106,58,94,0,192,367,247,217,327,166,191,282,303,803,407,977,446,958,409,1171,491,540,330,601,306,899,347,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,104622,3876,3306,1185,2932,1029,4376,1203,4271,1147,5231,1829,4969,1321,4204,972,4685,1073,3496,1066,9074,1793,9287,1796,15188,2145,12198,2059,5905,1292,7169,1459,8331,1474,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
