GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001EA,C17010B_001MA,C17010B_002MA,C17010B_002EA,C17010B_003MA,C17010B_003EA,C17010B_004MA,C17010B_004EA,C17010B_005EA,C17010B_005MA,C17010B_006EA,C17010B_006MA,C17010B_007MA,C17010B_007EA,C17010B_008MA,C17010B_008EA,C17010B_009MA,C17010B_009EA,C17010B_010MA,C17010B_010EA,C17010B_011EA,C17010B_011MA,C17010B_012EA,C17010B_012MA,C17010B_013MA,C17010B_013EA,C17010B_014EA,C17010B_014MA,C17010B_015MA,C17010B_015EA,C17010B_016EA,C17010B_016MA,C17010B_017MA,C17010B_017EA,state
0400000US01,305813,6643,89764,4504,14847,2055,8951,1596,74917,4209,8053,1411,5840,1257,66864,3962,56546,3686,216049,5712,120872,4634,52008,3656,95177,5521,16745,2067,6800,1401,78432,4680,46932,3365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53146,3172,10318,2694,1132,610,669,434,9186,2663,2386,1276,2003,1219,6800,2020,5543,1948,42828,3020,25134,2718,12594,2404,17694,2656,5034,1319,2887,1010,12660,2237,8937,2066,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,107888,3814,31487,3514,4765,1088,2528,679,26722,3099,2995,980,1854,765,23727,3045,20281,3095,76401,3557,38770,2516,15430,1753,37631,2964,7330,1660,4173,1371,30301,2671,19600,2384,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,494733,8698,101687,5587,14192,2017,10465,1929,87495,5504,12211,2285,9385,1949,75284,4631,65194,4359,393046,7703,206465,6394,98063,5601,186581,6673,44199,3944,24225,2954,142382,5179,83033,4567,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44060,2469,9731,1976,1668,758,1093,632,8063,1971,1268,673,921,605,6795,1733,5621,1518,34329,2288,21598,2127,11082,2090,12731,1720,3801,1096,2930,1046,8930,1460,5192,1104,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84279,3436,16870,2379,2308,971,1372,729,14562,2182,1500,690,1393,684,13062,2015,12307,1947,67409,3464,34174,2640,17545,1902,33235,2991,5521,1363,3209,1095,27714,2363,18182,2179,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45066,2058,8090,1486,1061,596,295,247,7029,1433,1290,756,961,706,5739,1276,4781,1245,36976,1902,21321,1981,10256,1772,15655,1938,4137,1077,2741,934,11518,1687,7223,1348,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65138,2547,15752,1982,1507,592,726,405,14245,1994,1588,632,1015,542,12657,1864,9964,1593,49386,2620,16063,1467,5358,1038,33323,2620,6169,1124,2024,702,27154,2296,14711,1830,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,649422,10400,163784,7437,36014,3728,25001,3337,127770,6146,18436,2614,13867,2250,109334,5622,93831,5553,485638,8830,265260,7841,126360,6096,220378,7146,42404,3726,22390,2911,177974,6431,112550,6240,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
