GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,NAME,B21001C_001EA,B21001C_001MA,B21001C_002EA,B21001C_002MA,B21001C_003MA,B21001C_003EA,B21001C_004MA,B21001C_004EA,B21001C_005MA,B21001C_005EA,B21001C_006EA,B21001C_006MA,B21001C_007EA,B21001C_007MA,B21001C_008EA,B21001C_008MA,B21001C_009MA,B21001C_009EA,B21001C_010MA,B21001C_010EA,B21001C_011EA,B21001C_011MA,B21001C_012EA,B21001C_012MA,B21001C_013EA,B21001C_013MA,B21001C_014MA,B21001C_014EA,B21001C_015EA,B21001C_015MA,B21001C_016MA,B21001C_016EA,B21001C_017EA,B21001C_017MA,B21001C_018EA,B21001C_018MA,B21001C_019MA,B21001C_019EA,B21001C_020EA,B21001C_020MA,B21001C_021MA,B21001C_021EA,B21001C_022EA,B21001C_022MA,B21001C_023EA,B21001C_023MA,B21001C_024MA,B21001C_024EA,B21001C_025EA,B21001C_025MA,B21001C_026EA,B21001C_026MA,B21001C_027MA,B21001C_027EA,B21001C_028EA,B21001C_028MA,B21001C_029MA,B21001C_029EA,B21001C_030EA,B21001C_030MA,B21001C_031EA,B21001C_031MA,B21001C_032MA,B21001C_032EA,B21001C_033EA,B21001C_033MA,state
0400000US01,18422,1975,8847,1421,2945,982,79,168,2866,958,3371,1001,774,479,2597,847,1859,570,785,435,1074,418,545,279,249,207,296,191,127,131,127,131,0,190,9575,1220,3005,844,160,212,2845,823,3742,831,361,433,3381,853,1704,601,105,128,1599,591,470,227,0,190,470,227,654,264,78,122,576,254,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,71116,2391,37051,1385,14988,1109,309,152,14679,1102,12905,927,1155,299,11750,926,5138,557,1435,445,3703,564,2659,599,1170,470,1489,353,1361,289,690,226,671,231,34065,1592,12772,907,12,20,12760,909,12423,960,107,84,12316,973,4738,511,158,192,4580,503,2808,390,9,15,2799,391,1324,188,0,149,1324,188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,196978,3793,95498,2740,40422,1618,1545,681,38877,1820,35147,1618,4541,1002,30606,1596,10471,879,2759,700,7712,1010,5844,927,2078,751,3766,787,3614,499,971,413,2643,533,101480,2085,41163,1425,411,374,40752,1483,35982,1480,420,255,35562,1433,12180,601,136,170,12044,627,7624,677,0,229,7624,677,4531,585,0,229,4531,585,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12673,2039,7129,1440,2571,787,114,234,2457,815,2045,782,234,195,1811,759,1075,546,298,315,777,410,815,414,456,332,359,246,623,428,473,398,150,136,5544,1133,1253,502,0,192,1253,502,2581,841,33,60,2548,824,968,553,0,192,968,553,544,269,0,192,544,269,198,151,18,31,180,150,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,214852,10090,104870,5617,36865,3139,1228,568,35637,3130,42222,3640,5022,1115,37200,3468,15176,1936,3794,959,11382,1619,7242,1148,2788,594,4454,913,3365,715,2068,565,1297,499,109982,6001,35595,3045,447,329,35148,3039,41948,3598,723,447,41225,3596,17293,1834,234,204,17059,1819,8895,1226,0,208,8895,1226,6251,1294,100,168,6151,1279,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36857,3076,18862,2104,7894,1329,370,289,7524,1348,6550,1145,926,451,5624,1069,2949,732,1036,478,1913,607,605,321,311,251,294,201,864,378,528,258,336,272,17995,1870,7810,1474,100,103,7710,1443,6508,1039,86,106,6422,1028,2341,702,46,78,2295,692,790,355,0,201,790,355,546,275,0,201,546,275,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,48136,4654,23428,3189,9142,2301,511,461,8631,2278,9089,1578,1439,620,7650,1512,2554,886,650,402,1904,841,2057,901,1029,685,1028,538,586,455,199,259,387,379,24708,2527,8053,1422,67,122,7986,1427,9284,1707,6,15,9278,1707,3653,1155,45,59,3608,1141,1561,789,28,49,1533,784,2157,1145,0,238,2157,1145,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
