GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001MA,B19001D_001EA,B19001D_002EA,B19001D_002MA,B19001D_003EA,B19001D_003MA,B19001D_004EA,B19001D_004MA,B19001D_005EA,B19001D_005MA,B19001D_006MA,B19001D_006EA,B19001D_007EA,B19001D_007MA,B19001D_008MA,B19001D_008EA,B19001D_009EA,B19001D_009MA,B19001D_010EA,B19001D_010MA,B19001D_011MA,B19001D_011EA,B19001D_012MA,B19001D_012EA,B19001D_013EA,B19001D_013MA,B19001D_014EA,B19001D_014MA,B19001D_015EA,B19001D_015MA,B19001D_016EA,B19001D_016MA,B19001D_017MA,B19001D_017EA,state
0400000US01,17799,1443,1143,640,655,461,487,317,1024,511,1223,607,637,440,1308,500,1071,498,872,553,1652,662,1927,792,2115,679,1214,616,1099,540,556,372,816,450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9646,880,151,114,470,269,325,216,351,292,410,232,445,291,535,312,762,479,564,424,925,380,839,437,1639,523,1224,528,407,261,399,331,200,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,60568,2902,6582,1627,2262,910,1847,645,2517,1400,2649,829,2603,984,1609,763,3501,1299,1826,866,6229,1870,6704,1666,8116,1750,6159,1908,2236,730,2776,968,2952,1136,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10686,1403,1082,600,192,162,1044,527,855,639,191,341,481,354,473,374,458,399,819,534,983,475,687,356,1043,527,1065,543,726,448,207,295,380,410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1536143,12721,101439,5197,69745,3650,61988,4507,63371,3959,48491,3431,56902,3624,50040,3558,55508,3956,47452,3213,99536,5446,139319,5678,189708,6435,164136,5919,101038,4732,139155,6184,148315,5827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45035,2633,3903,967,1998,714,1665,611,1711,602,1063,402,3084,1127,1618,694,1567,609,737,397,3738,1093,6016,1458,5127,1093,4305,1063,2814,879,2865,953,2824,836,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41092,1844,1564,694,1308,687,744,628,1428,688,585,340,1610,679,1372,722,1015,387,822,439,3322,964,5064,997,5425,1231,4398,1177,2567,877,4877,1230,4991,937,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9238,664,345,242,302,232,90,106,92,109,0,192,367,247,504,421,509,341,441,344,796,346,1181,498,1049,447,1421,562,595,343,647,317,899,347,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8731,1214,768,393,240,216,249,226,872,1036,92,159,201,124,191,163,568,336,159,156,521,316,1091,647,1468,482,446,298,627,436,651,420,587,350,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,139848,4083,9262,1606,4778,1346,6219,1377,6016,1304,7376,2159,7658,1510,5376,1287,6383,1337,4447,1218,12691,2010,13005,2000,17678,2218,13208,2320,6548,1447,9305,1457,9898,1732,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
