B17001B_007M,B17001B_008E,B17001B_008M,B17001B_009E,B17001B_009M,B17001B_010E,B17001B_010M,B17001B_011E,B17001B_011M,B17001B_012E,B17001B_012M,B17001B_013E,B17001B_013M,B17001B_014E,B17001B_014M,B17001B_015E,B17001B_015M,B17001B_016E,B17001B_016M,B17001B_017E,B17001B_017M,B17001B_018E,B17001B_018M,B17001B_019E,B17001B_019M,B17001B_020E,B17001B_020M,B17001B_021E,B17001B_021M,B17001B_022E,B17001B_022M,B17001B_023E,B17001B_023M,B17001B_024E,B17001B_024M,B17001B_025E,B17001B_025M,B17001B_026E,B17001B_026M,B17001B_027E,B17001B_027M,B17001B_028E,B17001B_028M,B17001B_029E,B17001B_029M,B17001B_030E,B17001B_030M,B17001B_031E,B17001B_031M,B17001B_032E,B17001B_032M,B17001B_033E,B17001B_033M,B17001B_034E,B17001B_034M,B17001B_035E,B17001B_035M,B17001B_036E,B17001B_036M,B17001B_037E,B17001B_037M,B17001B_038E,B17001B_038M,B17001B_039E,B17001B_039M,B17001B_040E,B17001B_040M,B17001B_041E,B17001B_041M,B17001B_042E,B17001B_042M,B17001B_043E,B17001B_043M,B17001B_044E,B17001B_044M,B17001B_045E,B17001B_045M,B17001B_046E,B17001B_046M,B17001B_047E,B17001B_047M,B17001B_048E,B17001B_048M,B17001B_049E,B17001B_049M,B17001B_050E,B17001B_050M,B17001B_051E,B17001B_051M,B17001B_052E,B17001B_052M,B17001B_053E,B17001B_053M,B17001B_054E,B17001B_054M,B17001B_055E,B17001B_055M,B17001B_056E,B17001B_056M,B17001B_057E,B17001B_057M,B17001B_058E,B17001B_058M,B17001B_059E,B17001B_059M,GEO_ID,B17001B_001E,B17001B_001M,B17001B_002E,B17001B_002M,B17001B_003E,B17001B_003M,B17001B_004E,B17001B_004M,B17001B_005E,B17001B_005M,B17001B_006E,B17001B_006M,B17001B_007E,B17001B_007MA,B17001B_008EA,B17001B_008MA,B17001B_009MA,B17001B_009EA,B17001B_010EA,B17001B_010MA,B17001B_011MA,B17001B_011EA,B17001B_012EA,B17001B_012MA,B17001B_013EA,B17001B_013MA,B17001B_014EA,B17001B_014MA,B17001B_015EA,B17001B_015MA,B17001B_016EA,B17001B_016MA,B17001B_017MA,B17001B_017EA,B17001B_018MA,B17001B_018EA,B17001B_019EA,B17001B_019MA,B17001B_020EA,B17001B_020MA,B17001B_021EA,B17001B_021MA,B17001B_022EA,B17001B_022MA,B17001B_023MA,B17001B_023EA,B17001B_024EA,B17001B_024MA,B17001B_025EA,B17001B_025MA,B17001B_026EA,B17001B_026MA,B17001B_027EA,B17001B_027MA,B17001B_028MA,B17001B_028EA,B17001B_029EA,B17001B_029MA,B17001B_030MA,B17001B_030EA,B17001B_031EA,B17001B_031MA,B17001B_032EA,B17001B_032MA,B17001B_033EA,B17001B_033MA,B17001B_034EA,B17001B_034MA,B17001B_035MA,B17001B_035EA,B17001B_036EA,B17001B_036MA,B17001B_037EA,B17001B_037MA,B17001B_038EA,B17001B_038MA,B17001B_039EA,B17001B_039MA,B17001B_040EA,B17001B_040MA,B17001B_041MA,B17001B_041EA,B17001B_042EA,B17001B_042MA,B17001B_043EA,B17001B_043MA,B17001B_044MA,B17001B_044EA,B17001B_045EA,B17001B_045MA,B17001B_046MA,B17001B_046EA,B17001B_047EA,B17001B_047MA,B17001B_048EA,B17001B_048MA,B17001B_049MA,B17001B_049EA,B17001B_050EA,B17001B_050MA,B17001B_051EA,B17001B_051MA,B17001B_052MA,B17001B_052EA,B17001B_053EA,B17001B_053MA,B17001B_054EA,B17001B_054MA,B17001B_055MA,B17001B_055EA,B17001B_056EA,B17001B_056MA,B17001B_057EA,B17001B_057MA,B17001B_058EA,B17001B_058MA,B17001B_059MA,B17001B_059EA,NAME,B17001B_001EA,B17001B_001MA,B17001B_002MA,B17001B_002EA,B17001B_003EA,B17001B_003MA,B17001B_004EA,B17001B_004MA,B17001B_005MA,B17001B_005EA,B17001B_006EA,B17001B_006MA,B17001B_007EA,state
1928,3989,1010,7493,1274,21533,2481,15702,2220,14338,2135,16630,2079,11873,1425,4546,878,2557,611,232863,9735,24974,2070,4426,1217,25509,2692,10606,1392,3394,920,7856,1586,33864,3200,36332,2962,25268,2988,24273,2104,18031,1821,8572,1166,9758,1029,837797,15154,399784,7905,22925,2210,4940,1262,29257,2702,17444,2209,6547,1248,13640,1804,46963,2997,56275,2754,52994,2434,60145,2106,50584,1635,23458,1104,14612,1186,438013,9710,19610,2176,5126,1435,29573,2568,18578,2473,4991,1195,14223,1763,39273,3080,59088,3038,64447,2990,69136,2577,59562,1933,31027,1556,23379,1299,0400000US01,1238796,5344,400999,15082,168136,7337,24316,2410,5971,1419,26702,2677,12486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,02
661,112,142,1979,1423,3890,1168,4086,1144,3264,1298,2359,778,1627,631,964,535,378,256,30019,5431,2489,981,610,445,3003,1096,1985,1097,943,534,703,551,5604,2274,3677,1149,4664,1856,2969,897,1881,703,681,348,810,355,193306,10854,101429,6459,6885,1554,1587,1573,11843,3293,5337,1849,833,544,4171,1470,12629,2234,14854,1668,13791,2049,13677,865,9263,934,4546,865,2013,519,91877,6894,6994,2622,1431,839,7934,1672,3863,1425,1714,1179,3568,1095,8923,1613,15001,2391,11170,1730,12626,1155,10178,1203,5489,586,2986,466,0400000US04,251084,8083,57778,8855,27759,4435,3425,1351,1138,664,3300,1531,1237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,04
958,1306,659,2490,704,7711,1563,6375,1302,5091,1169,5606,1093,4176,835,1891,583,1001,421,82296,6572,9925,1728,1517,531,9107,1956,4785,1177,1470,696,2877,806,10143,1634,13905,2149,9002,1559,8457,1395,5261,1094,2963,614,2884,633,296365,10903,143687,6159,8984,1779,1828,926,11651,1842,7915,1588,2770,647,5418,1160,15371,2116,21944,2373,18724,1750,19705,1531,18243,1213,7366,754,3768,661,152678,6442,7728,1515,1105,577,12141,2171,8145,1910,2795,944,3653,914,13575,1936,20313,2102,21516,1856,24687,1587,20061,998,9075,812,7884,778,0400000US05,442375,4791,146010,10817,63714,5839,9965,1790,1386,660,12354,1984,4362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2370,6121,1392,9052,1762,36808,3401,28876,2673,20900,2385,30250,2919,21096,2622,6129,1220,3088,829,299669,13146,28181,2905,6348,1492,26331,3217,16351,2336,6209,1221,8481,1474,47175,4047,43848,3405,34191,3119,36742,2899,26626,2624,10096,1288,9090,1240,1609705,20887,793346,13109,43071,3756,10015,2224,59508,4110,32373,3000,12892,1809,24515,2597,86582,4098,107112,5446,114637,3670,124639,3958,93246,3142,52420,1864,32336,1215,816359,13434,37144,3531,9894,2079,54383,3443,30289,2834,12591,2505,23404,2482,76593,4259,106070,3832,115380,3553,136182,3666,104596,2510,63622,1807,46211,1454,0400000US06,2147462,16189,537757,18786,238088,9264,27192,3166,4599,1422,28835,2928,15142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,06
708,650,472,322,283,3930,1258,4230,1062,2548,1014,2354,960,1107,547,803,479,271,237,28286,4262,3517,870,436,341,3761,1287,797,474,550,462,753,524,4483,1265,3972,1100,3268,1189,2559,984,2140,787,1226,706,824,362,138823,7201,73821,4467,4437,1302,419,312,5358,1567,3186,1240,1228,550,1603,742,6378,1439,11122,1376,12431,1247,13226,1173,8597,968,3995,638,1841,351,65002,4059,3203,901,769,517,5303,1317,2168,700,1810,923,2078,1052,5791,1197,9710,1647,9639,1417,10783,1051,7511,918,3923,816,2314,517,0400000US08,191005,4973,52182,7183,23896,3945,3198,998,412,322,2788,1180,1283,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,08
860,878,525,1292,795,3487,1185,3705,1007,2460,791,3380,1052,2418,717,415,237,992,497,45694,4882,4692,1109,573,425,6377,1436,2742,934,806,510,1338,548,4536,1004,9476,1925,4197,1075,5564,1210,3085,810,1287,495,1021,431,265060,8051,127832,4701,7903,1305,1283,568,11295,1589,4809,1316,2892,796,4515,936,15020,1366,18214,1474,20138,1208,19574,1493,12277,995,6886,513,3026,560,137228,4341,6970,1113,1186,645,10708,1621,5564,1129,2327,700,4216,863,12688,1280,18013,1713,22681,1365,21570,1340,15919,1091,9258,664,6128,666,0400000US09,343943,5814,78883,8808,33189,4870,4780,1180,1485,817,5022,1297,2875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,09
404,738,676,1075,568,1607,927,1789,787,1381,703,1487,584,1454,758,548,291,370,409,21418,3229,1142,483,400,374,2676,792,1693,983,52,87,715,445,2429,776,3172,846,2428,955,2604,767,2354,757,721,422,1032,396,147311,5914,69902,3427,4571,819,984,513,6750,1502,3845,1273,1002,671,1762,573,7738,1068,8928,806,10297,829,10559,669,7549,718,4655,379,1262,403,77409,3561,4900,846,500,358,6311,1440,3496,1219,791,540,2544,785,7435,1126,9836,1074,11938,1078,12188,905,9205,802,5321,510,2944,594,0400000US10,184484,3120,37173,5225,15755,2962,2294,729,220,207,2342,1000,450,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,10
696,1072,515,1352,549,4326,1048,2860,921,2456,721,4828,1015,3742,1031,1558,535,854,374,47082,4731,4633,924,1204,561,3351,1050,2671,1011,594,470,1389,579,6346,1206,6815,1242,4910,1064,6002,1234,4942,976,1602,423,2623,594,215164,7747,98715,3968,4910,1011,1121,656,6058,1193,3427,850,1382,578,2231,753,9947,1439,13600,1100,13590,847,16232,1060,13152,1064,7369,575,5696,445,116449,4820,4567,906,1274,662,6336,1301,2789,780,968,441,2923,613,9905,1537,15828,1233,14739,1202,18067,1269,16935,957,11476,489,10642,725,0400000US11,297909,3403,82745,7488,35663,3445,5176,979,1166,637,3876,1087,2397,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3407,7382,1808,18649,2213,52601,5028,40128,3856,34444,3751,38277,3775,28789,3186,10845,1679,9069,1550,479140,15170,48037,3813,8923,1930,57679,4530,26388,2717,8642,1932,17704,2308,69800,5621,67239,4408,58851,4482,47545,3711,32555,3347,19482,2324,16295,2318,2062186,30335,982986,17212,62434,4352,10789,2067,83024,6446,42763,4343,13951,2045,33808,2758,119231,5750,149859,5728,136056,4511,145421,5229,99300,3574,57209,2499,29141,2307,1079200,17302,64282,5495,14324,2623,73418,5420,43432,4049,15519,2404,28916,2808,109939,5953,162765,5381,156484,4890,166305,4578,126799,4077,68660,3181,48357,2547,0400000US12,2928947,20050,866761,26287,387621,15587,49922,4551,12785,2290,58899,4663,25831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,12
