GEO_ID,C23002D_001E,C23002D_001M,C23002D_002E,C23002D_002M,C23002D_003E,C23002D_003M,C23002D_004E,C23002D_004M,C23002D_005E,C23002D_005M,C23002D_006E,C23002D_006M,C23002D_007E,C23002D_007M,C23002D_008E,C23002D_008M,C23002D_009E,C23002D_009M,C23002D_010E,C23002D_010M,C23002D_011E,C23002D_011M,C23002D_012E,C23002D_012M,C23002D_013E,C23002D_013M,C23002D_014E,C23002D_014M,C23002D_015E,C23002D_015M,C23002D_016E,C23002D_016M,C23002D_017E,C23002D_017M,C23002D_018E,C23002D_018M,C23002D_019E,C23002D_019M,C23002D_020E,C23002D_020M,C23002D_021E,C23002D_021M,C23002D_022E,C23002D_022M,C23002D_023E,C23002D_023M,C23002D_024E,C23002D_024M,C23002D_025E,C23002D_025M,C23002D_026E,C23002D_026M,C23002D_027E,C23002D_027M,NAME,C23002D_001MA,C23002D_001EA,C23002D_002MA,C23002D_002EA,C23002D_003MA,C23002D_003EA,C23002D_004MA,C23002D_004EA,C23002D_005EA,C23002D_005MA,C23002D_006EA,C23002D_006MA,C23002D_007MA,C23002D_007EA,C23002D_008MA,C23002D_008EA,C23002D_009MA,C23002D_009EA,C23002D_010EA,C23002D_010MA,C23002D_011EA,C23002D_011MA,C23002D_012MA,C23002D_012EA,C23002D_013MA,C23002D_013EA,C23002D_014MA,C23002D_014EA,C23002D_015EA,C23002D_015MA,C23002D_016EA,C23002D_016MA,C23002D_017EA,C23002D_017MA,C23002D_018MA,C23002D_018EA,C23002D_019MA,C23002D_019EA,C23002D_020MA,C23002D_020EA,C23002D_021EA,C23002D_021MA,C23002D_022EA,C23002D_022MA,C23002D_023MA,C23002D_023EA,C23002D_024MA,C23002D_024EA,C23002D_025MA,C23002D_025EA,C23002D_026EA,C23002D_026MA,C23002D_027EA,C23002D_027MA,state
0400000US01,42355,1849,19365,1382,17954,1199,15788,1146,8,16,15780,1147,15358,1174,422,309,2166,614,1411,496,295,241,295,241,0,190,1116,462,22990,1550,20553,1537,13810,1523,278,294,13532,1479,12775,1448,757,359,6743,990,2437,655,50,88,50,88,0,190,2387,646,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30599,1227,13181,814,12180,817,10076,945,554,273,9522,973,8539,1015,983,648,2104,892,1001,215,486,221,486,221,0,149,515,170,17418,958,14855,1154,11558,1074,97,161,11461,1102,11147,1080,314,168,3297,864,2563,729,930,679,930,679,0,149,1633,336,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,144882,3580,65558,2294,59428,2348,47367,2526,396,257,46971,2544,43992,2585,2979,1015,12061,2134,6130,604,988,438,988,438,0,229,5142,686,79324,2203,69064,2127,44408,2773,0,229,44408,2773,41027,2856,3381,917,24656,2266,10260,989,1541,724,1541,724,0,229,8719,961,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25703,1763,11614,1097,11439,1091,9855,1006,0,192,9855,1006,8785,1048,1070,656,1584,809,175,176,112,146,112,146,0,192,63,112,14089,1079,12604,964,7290,1035,0,192,7290,1035,6847,968,443,293,5314,1074,1485,595,31,33,31,33,0,192,1454,595,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4095276,13406,1906420,8161,1651319,7888,1286346,9896,6928,1597,1279418,9829,1152940,10040,126478,6558,364973,8904,255101,1876,45653,2762,41313,2618,4340,1122,209448,3428,2188856,8472,1844576,8099,1244493,13209,1114,496,1243379,13146,1129768,12942,113611,5872,600083,12387,344280,2308,34953,2495,32151,2390,2802,760,309327,2921,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,111221,2747,49194,1725,44383,1833,36740,2049,956,516,35784,2086,32626,2153,3158,1138,7643,1453,4811,614,1032,399,924,380,108,129,3779,546,62027,1800,55253,1924,37550,2768,157,199,37393,2757,33539,2603,3854,1165,17703,2298,6774,554,609,323,455,248,154,173,6165,586,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,108280,1902,50210,1306,46697,1392,38452,1692,169,203,38283,1697,35741,1746,2542,925,8245,1238,3513,450,863,337,863,337,0,198,2650,477,58070,1550,53447,1580,36201,1813,0,198,36201,1813,33435,1806,2766,882,17246,1806,4623,237,1049,496,888,516,161,207,3574,540,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23787,925,11586,935,10161,674,8576,682,33,56,8543,689,8057,729,486,362,1585,573,1425,391,324,284,324,284,0,192,1101,420,12201,529,10567,672,6500,664,0,192,6500,664,6011,682,489,317,4067,654,1634,361,90,117,90,117,0,192,1544,379,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,382246,6117,173960,4183,154409,4035,124868,4092,1503,669,123365,4033,112530,4000,10835,2099,29541,2976,19551,1155,4858,897,4395,823,463,347,14693,1384,208286,4325,180342,4397,124548,5099,274,277,124274,5131,114728,5039,9546,2001,55794,3870,27944,1877,2875,935,2815,949,60,97,25069,1921,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
