B05003G_023E,B05003G_023M,GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023EA,B05003G_023MA,NAME,B05003G_001EA,B05003G_001MA,B05003G_002EA,B05003G_002MA,B05003G_003EA,B05003G_003MA,B05003G_004MA,B05003G_004EA,B05003G_005EA,B05003G_005MA,B05003G_006EA,B05003G_006MA,B05003G_007EA,B05003G_007MA,B05003G_008EA,B05003G_008MA,B05003G_009EA,B05003G_009MA,B05003G_010EA,B05003G_010MA,B05003G_011EA,B05003G_011MA,B05003G_012EA,B05003G_012MA,B05003G_013EA,B05003G_013MA,B05003G_014EA,B05003G_014MA,B05003G_015MA,B05003G_015EA,B05003G_016EA,B05003G_016MA,B05003G_017EA,B05003G_017MA,B05003G_018EA,B05003G_018MA,B05003G_019EA,B05003G_019MA,B05003G_020MA,B05003G_020EA,B05003G_021EA,B05003G_021MA,B05003G_022EA,B05003G_022MA,state
808,364,0400000US01,64450,5189,31224,2939,14286,2147,14031,2155,255,185,99,119,156,154,16938,2071,14889,1929,2049,759,933,484,1116,632,33226,3733,14791,2212,14462,2205,329,262,160,154,169,206,18435,2295,16937,2345,1498,662,690,404,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
290,213,0400000US02,60229,4733,29038,2677,16162,1882,15922,1848,240,150,131,99,109,121,12876,1502,12183,1366,693,523,481,543,212,226,31191,3022,15895,1758,15766,1720,129,157,0,149,129,157,15296,2035,14904,1958,392,252,102,139,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
5447,1433,0400000US04,194293,11560,98350,7341,48655,5009,47904,5013,751,460,94,114,657,448,49695,4540,39648,4008,10047,2234,4118,1180,5929,1694,95943,7245,47690,4997,46586,5047,1104,639,0,229,1104,639,48253,4768,37244,4163,11009,2343,5562,1782,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
912,524,0400000US05,57229,5642,28718,3696,12635,2433,12433,2428,202,229,0,192,202,229,16083,2333,13838,2096,2245,996,704,512,1541,824,28511,3287,12956,2063,12849,2020,107,143,0,192,107,143,15555,2157,13537,1896,2018,749,1106,636,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
42969,4331,0400000US06,1594007,33877,804230,20548,356398,11723,349319,11667,7079,1697,1220,500,5859,1583,447832,15117,340559,11445,107273,7119,58345,4181,48928,5203,789777,19090,344661,11512,339184,11420,5477,1250,1031,433,4446,1162,445116,12668,338635,11856,106481,6461,63512,4522,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2374,823,0400000US08,172773,9552,87444,5435,42205,3786,41567,3734,638,419,131,162,507,372,45239,3786,40078,3653,5161,1365,2550,941,2611,953,85329,6295,38673,4370,38056,4250,617,458,333,367,284,204,46656,3611,41383,3298,5273,1375,2899,1009,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2795,809,0400000US09,88584,5802,45048,3816,21894,2656,21412,2574,482,322,220,236,262,228,23154,2682,18021,2251,5133,1473,1997,709,3136,1243,43536,3316,18265,2020,17999,2002,266,190,76,98,190,162,25271,2655,19708,2217,5563,1237,2768,973,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
517,396,0400000US10,24128,3358,11752,2149,6899,1709,6899,1709,0,192,0,192,0,192,4853,1256,4460,1199,393,278,295,258,98,95,12376,1767,6448,1475,6448,1475,0,192,0,192,0,192,5928,1173,5304,1146,624,416,107,125,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
290,182,0400000US11,12760,1744,5842,1170,1723,489,1723,489,0,200,0,200,0,200,4119,979,3030,864,1089,466,547,327,542,387,6918,1296,2054,625,1842,592,212,257,0,200,212,257,4864,1005,4366,1009,498,244,208,189,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
16300,2818,0400000US12,423481,20163,211607,12020,97590,8073,93704,7700,3886,1572,808,461,3078,1553,114017,7117,82824,6041,31193,3995,17660,2754,13533,2533,211874,12171,95354,7198,93102,7232,2252,936,867,562,1385,748,116520,7719,77821,5539,38699,4449,22399,3203,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
