GEO_ID,B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,NAME,B05003B_001EA,B05003B_001MA,B05003B_002EA,B05003B_002MA,B05003B_003EA,B05003B_003MA,B05003B_004MA,B05003B_004EA,B05003B_005MA,B05003B_005EA,B05003B_006MA,B05003B_006EA,B05003B_007EA,B05003B_007MA,B05003B_008EA,B05003B_008MA,B05003B_009MA,B05003B_009EA,B05003B_010MA,B05003B_010EA,B05003B_011MA,B05003B_011EA,B05003B_012EA,B05003B_012MA,B05003B_013EA,B05003B_013MA,B05003B_014EA,B05003B_014MA,B05003B_015MA,B05003B_015EA,B05003B_016MA,B05003B_016EA,B05003B_017MA,B05003B_017EA,B05003B_018EA,B05003B_018MA,B05003B_019EA,B05003B_019MA,B05003B_020MA,B05003B_020EA,B05003B_021MA,B05003B_021EA,B05003B_022MA,B05003B_022EA,B05003B_023EA,B05003B_023MA,state
0400000US01,1281095,4637,598314,3797,177440,3241,177065,3244,375,258,212,221,163,128,420874,2323,415639,2441,5235,1429,1507,821,3728,1184,682781,3632,170543,2812,169886,2821,657,495,29,54,628,496,512238,2003,507202,2400,5036,1274,2178,737,2858,853,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23143,2072,12133,1218,2581,854,2532,853,49,81,49,81,0,149,9552,844,8174,724,1378,621,396,348,982,537,11010,1399,3441,908,3404,912,37,63,0,149,37,63,7569,817,7014,721,555,331,230,182,325,260,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265940,7841,141912,5028,42338,3372,40382,3465,1956,1138,371,284,1585,1110,99574,2772,87463,3834,12111,2818,5199,1741,6912,2209,124028,5290,35708,3709,34478,3666,1230,756,189,196,1041,740,88320,2579,80017,3141,8303,1955,3403,1386,4900,1377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463364,4287,222587,3128,71272,2349,70710,2304,562,624,101,175,461,597,151315,2011,149806,2148,1509,848,384,238,1125,758,240777,3331,65606,2728,65559,2735,47,88,47,88,0,192,175171,1828,173621,1808,1550,1211,121,92,1429,1211,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2253905,15479,1115401,10246,280760,6349,275619,6168,5141,1669,1864,874,3277,1246,834641,7154,761690,8655,72951,6366,41534,4636,31417,4312,1138504,10148,263537,6835,258252,6724,5285,1627,1031,639,4254,1503,874967,6385,804325,7810,70642,5292,37653,4004,32989,3323,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,203243,4916,107692,2892,25656,2136,24873,2108,783,573,255,269,528,488,82036,2423,69609,2873,12427,2084,5824,1430,6603,1773,95551,3398,25195,2341,24351,2365,844,439,207,188,637,397,70356,2090,60226,3322,10130,2503,5605,1899,4525,1521,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,359683,5702,171824,3216,49629,2540,46650,2596,2979,1200,768,530,2211,987,122195,2181,93144,3563,29051,3039,13616,1975,15435,2258,187859,3255,48061,1737,45876,1923,2185,708,372,300,1813,641,139798,2301,103770,3768,36028,3384,20813,2603,15215,2257,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,193899,2993,92419,1790,27212,1460,26748,1505,464,533,59,97,405,518,65207,784,59921,1777,5286,1660,2397,801,2889,1538,101480,1863,25582,1491,25074,1574,508,539,0,192,508,539,75898,1328,69060,2115,6838,1885,3861,1341,2977,990,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,309845,2181,140943,1430,34296,787,33756,858,540,385,44,74,496,379,106647,944,97944,2122,8703,1907,3936,1064,4767,1496,168902,1339,32865,749,32215,812,650,395,87,101,563,367,136037,930,127219,1966,8818,1838,4064,994,4754,1298,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3046628,20255,1462986,10942,429418,7106,411421,7135,17997,2673,3510,1042,14487,2586,1033568,7940,778583,10289,254985,9174,132761,7428,122224,8005,1583642,13074,412938,8202,391290,8349,21648,2992,5261,1562,16387,2862,1170704,7717,856010,10471,314694,10619,170361,7895,144333,8243,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
