GEO_ID,C19101B_001E,C19101B_001M,C19101B_002E,C19101B_002M,C19101B_003E,C19101B_003M,C19101B_004E,C19101B_004M,C19101B_005E,C19101B_005M,C19101B_006E,C19101B_006M,C19101B_007E,C19101B_007M,C19101B_008E,C19101B_008M,C19101B_009E,C19101B_009M,C19101B_010E,C19101B_010M,C19101B_011E,C19101B_011M,NAME,C19101B_001EA,C19101B_001MA,C19101B_002EA,C19101B_002MA,C19101B_003EA,C19101B_003MA,C19101B_004MA,C19101B_004EA,C19101B_005MA,C19101B_005EA,C19101B_006MA,C19101B_006EA,C19101B_007MA,C19101B_007EA,C19101B_008EA,C19101B_008MA,C19101B_009EA,C19101B_009MA,C19101B_010MA,C19101B_010EA,C19101B_011MA,C19101B_011EA,state
0400000US01,305813,6643,41515,2885,28529,2933,51284,3814,40113,3070,42617,3259,48711,3302,29296,3109,18210,1784,3753,967,1785,650,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4672,1127,176,223,245,406,384,404,639,513,463,361,1070,575,750,626,789,518,64,105,92,138,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53146,3172,4417,1226,4083,2024,5965,1642,5507,1595,8319,1701,12693,2359,5768,1425,4894,1426,1007,498,493,348,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,107888,3814,16580,2364,8679,1813,21592,2419,15963,2067,13863,1823,16132,2050,7738,1404,4901,881,1337,540,1103,531,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,494733,8698,51705,4488,27380,2725,59346,4203,47042,3414,64762,4465,85216,5258,59860,3867,60818,4615,23509,2620,15095,2185,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44060,2469,5197,1290,2423,1111,4895,1131,3420,945,6747,1338,7389,1342,4665,1248,5471,1553,2947,1224,906,475,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84279,3436,7834,1455,4516,1168,9365,1762,10996,1783,11303,1839,13628,1567,11453,1949,10036,1500,3333,939,1815,637,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45066,2058,4608,1276,2789,928,3551,1062,5496,1287,6842,1297,8301,1520,5021,1337,5230,1195,1910,713,1318,748,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65138,2547,9278,1527,4040,958,7600,1445,5938,1093,8586,1531,10283,1480,6744,1058,7608,1157,2912,852,2149,529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,649422,10400,74542,5356,47610,3913,93875,5689,89889,5788,100265,5226,115350,5999,61364,4809,47511,3645,10455,1824,8561,2303,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,678544,10086,82053,4869,42125,3703,94972,6164,86708,5716,105722,6268,117924,7088,62466,4763,61253,5017,16590,2841,8731,2074,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6343,935,336,327,0,187,84,77,720,572,1137,793,1420,608,1007,622,1252,664,275,258,112,121,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
