GEO_ID,C19037I_001E,C19037I_001M,C19037I_002E,C19037I_002M,C19037I_003E,C19037I_003M,C19037I_004E,C19037I_004M,C19037I_005E,C19037I_005M,C19037I_006E,C19037I_006M,C19037I_007E,C19037I_007M,C19037I_008E,C19037I_008M,C19037I_009E,C19037I_009M,C19037I_010E,C19037I_010M,C19037I_011E,C19037I_011M,C19037I_012E,C19037I_012M,C19037I_013E,C19037I_013M,C19037I_014E,C19037I_014M,C19037I_015E,C19037I_015M,C19037I_016E,C19037I_016M,C19037I_017E,C19037I_017M,C19037I_018E,C19037I_018M,C19037I_019E,C19037I_019M,C19037I_020E,C19037I_020M,C19037I_021E,C19037I_021M,C19037I_022E,C19037I_022M,C19037I_023E,C19037I_023M,C19037I_024E,C19037I_024M,C19037I_025E,C19037I_025M,C19037I_026E,C19037I_026M,C19037I_027E,C19037I_027M,C19037I_028E,C19037I_028M,C19037I_029E,C19037I_029M,C19037I_030E,C19037I_030M,C19037I_031E,C19037I_031M,C19037I_032E,C19037I_032M,C19037I_033E,C19037I_033M,C19037I_034E,C19037I_034M,C19037I_035E,C19037I_035M,C19037I_036E,C19037I_036M,C19037I_037E,C19037I_037M,C19037I_038E,C19037I_038M,C19037I_039E,C19037I_039M,C19037I_040E,C19037I_040M,C19037I_041E,C19037I_041M,C19037I_042E,C19037I_042M,C19037I_043E,C19037I_043M,C19037I_044E,C19037I_044M,C19037I_045E,C19037I_045M,NAME,C19037I_001MA,C19037I_001EA,C19037I_002MA,C19037I_002EA,C19037I_003EA,C19037I_003MA,C19037I_004EA,C19037I_004MA,C19037I_005EA,C19037I_005MA,C19037I_006MA,C19037I_006EA,C19037I_007MA,C19037I_007EA,C19037I_008MA,C19037I_008EA,C19037I_009MA,C19037I_009EA,C19037I_010EA,C19037I_010MA,C19037I_011EA,C19037I_011MA,C19037I_012MA,C19037I_012EA,C19037I_013MA,C19037I_013EA,C19037I_014MA,C19037I_014EA,C19037I_015EA,C19037I_015MA,C19037I_016EA,C19037I_016MA,C19037I_017MA,C19037I_017EA,C19037I_018MA,C19037I_018EA,C19037I_019MA,C19037I_019EA,C19037I_020MA,C19037I_020EA,C19037I_021EA,C19037I_021MA,C19037I_022EA,C19037I_022MA,C19037I_023MA,C19037I_023EA,C19037I_024MA,C19037I_024EA,C19037I_025EA,C19037I_025MA,C19037I_026EA,C19037I_026MA,C19037I_027EA,C19037I_027MA,C19037I_028MA,C19037I_028EA,C19037I_029MA,C19037I_029EA,C19037I_030EA,C19037I_030MA,C19037I_031EA,C19037I_031MA,C19037I_032EA,C19037I_032MA,C19037I_033EA,C19037I_033MA,C19037I_034MA,C19037I_034EA,C19037I_035MA,C19037I_035EA,C19037I_036EA,C19037I_036MA,C19037I_037EA,C19037I_037MA,C19037I_038EA,C19037I_038MA,C19037I_039MA,C19037I_039EA,C19037I_040MA,C19037I_040EA,C19037I_041EA,C19037I_041MA,C19037I_042EA,C19037I_042MA,C19037I_043EA,C19037I_043MA,C19037I_044EA,C19037I_044MA,C19037I_045MA,C19037I_045EA,state
0400000US01,46291,2590,4186,1016,848,398,385,419,1201,679,807,447,724,484,138,152,83,94,0,190,0,190,0,190,25659,2326,1524,660,2054,944,6525,1779,3333,1028,4697,1391,3646,987,1621,717,1757,1357,502,357,0,190,13203,1868,593,432,952,688,1431,724,1945,1197,2214,1096,2889,939,569,332,1143,536,613,453,854,832,3243,917,237,186,300,360,1055,580,464,239,339,249,507,455,142,184,70,173,129,176,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,512662,9086,37861,4230,9582,2064,4324,1397,7826,1766,5373,1742,6661,1868,2916,998,367,298,701,695,0,229,111,148,250313,7187,22217,3375,16676,2795,39584,3798,38934,4200,45217,3916,48114,5478,20196,2746,14450,2928,3820,1513,1105,704,169408,4644,17148,2634,11264,1822,23285,3254,21313,2588,26783,3041,29912,3114,16792,2322,15341,2306,4766,1972,2804,1533,55080,2780,7594,1348,6453,1193,11875,1991,8821,1840,8360,1069,5812,1238,2246,730,2301,807,1306,882,312,309,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47808,2987,5084,1241,1373,725,0,192,1125,764,1039,704,996,610,227,272,0,192,324,415,0,192,0,192,28139,2931,2955,1305,3439,1382,6485,1782,3266,984,6181,1656,3077,1170,1127,592,677,422,396,416,536,508,12516,2010,1257,647,772,522,1924,1019,2069,974,1882,903,1783,733,1508,876,980,597,63,107,278,270,2069,614,157,180,342,304,690,368,392,304,249,196,112,115,127,212,0,192,0,192,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3452241,20549,169369,7301,25298,2935,14936,2149,32587,3113,25692,3198,27806,3170,26673,2940,9180,1980,5395,1122,1658,706,144,141,1688387,17810,94506,4969,87891,4905,235173,9068,232043,8737,296068,7925,330359,10668,186766,6631,158576,7042,44406,3296,22599,2960,1228471,12082,68525,4850,63231,4000,136586,5697,135023,6223,192514,6657,246422,7587,151653,6630,156031,6697,49403,4040,29083,2810,366014,6997,30798,2369,50853,3184,68953,4150,48493,2836,52551,3343,52446,3328,26897,2549,23270,2357,7521,1186,4232,843,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,304144,5304,23426,2620,4666,1349,1578,648,4527,1143,3432,1061,4449,1168,3421,1109,780,426,442,338,0,201,131,212,151853,4363,11963,2164,7714,1470,19243,2370,23468,3123,28558,3277,28404,2759,17351,2691,10457,2009,3197,1395,1498,631,96512,3498,10333,1495,4232,1009,12336,1979,10806,1930,16358,2103,18801,2051,9688,1578,8932,1484,2239,712,2787,847,32353,1699,4021,718,2969,722,6588,1130,5260,862,4105,909,5761,1093,2091,856,1304,424,209,317,45,77,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143432,3949,8240,1324,1327,450,878,539,2309,697,1550,697,674,405,772,394,274,377,403,369,53,88,0,198,73163,3171,7966,1488,4262,1006,9497,1767,11815,1938,12832,2140,11904,2001,6216,1301,5844,1077,1724,802,1103,410,49100,2487,6029,1381,3382,985,5529,1200,4947,1219,7914,1534,6781,1386,5117,1248,5540,1287,2051,707,1810,656,12929,1142,3367,905,2079,696,3217,778,953,384,1443,555,620,322,452,260,442,390,52,65,304,275,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19531,1450,1790,749,162,195,291,291,0,192,514,447,179,304,136,198,0,192,508,472,0,192,0,192,10348,1276,866,797,485,382,1661,671,1566,885,2039,924,1035,516,1459,745,915,657,217,220,105,175,5501,731,21,39,39,63,521,435,588,350,1026,532,809,478,735,465,824,471,228,180,710,487,1892,444,217,256,0,192,325,402,209,196,188,170,119,182,224,276,413,314,60,84,137,223,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20576,1497,1022,544,295,331,62,108,132,219,284,337,196,286,28,49,25,43,0,200,0,200,0,200,11859,1142,637,527,279,244,706,489,1017,480,1056,504,2921,917,1068,599,2887,879,562,370,726,754,5646,794,804,595,0,200,862,603,166,173,605,455,912,517,466,403,583,400,437,269,811,482,2049,351,666,423,160,134,264,328,64,70,219,216,132,167,18,38,432,281,0,200,94,123,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1291193,14791,55508,4130,9315,1737,5466,1779,11084,2172,9372,2036,9551,1850,6647,1691,3335,1414,637,384,0,238,101,118,541746,10066,36836,3223,31363,3047,84387,5822,76113,5302,95674,6204,101292,7420,52293,4745,39542,3652,12752,2412,11494,2057,482479,10641,40701,4255,28695,3037,63185,4611,62311,5367,73889,4636,84717,5989,51340,4187,49248,3639,16707,2815,11686,1843,211460,5923,40667,3842,30850,2959,42754,3603,27763,3070,24631,2348,21921,2429,9525,1572,8503,1700,2692,867,2154,829,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
