GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001MA,C21001B_001EA,C21001B_002MA,C21001B_002EA,C21001B_003EA,C21001B_003MA,C21001B_004EA,C21001B_004MA,C21001B_005MA,C21001B_005EA,C21001B_006MA,C21001B_006EA,C21001B_007MA,C21001B_007EA,C21001B_008EA,C21001B_008MA,C21001B_009EA,C21001B_009MA,C21001B_010EA,C21001B_010MA,C21001B_011EA,C21001B_011MA,C21001B_012EA,C21001B_012MA,C21001B_013MA,C21001B_013EA,C21001B_014EA,C21001B_014MA,C21001B_015MA,C21001B_015EA,state
0400000US01,929668,3042,418525,2403,371838,2499,54605,3336,317233,4164,46687,1062,16758,1349,29929,1539,511143,2006,436255,1992,12889,1919,423366,2505,74888,1045,482,308,74406,1101,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15748,1392,8724,865,8345,903,2848,958,5497,1098,379,280,279,254,100,177,7024,934,6330,915,1000,546,5330,976,694,377,0,149,694,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,186756,3950,98715,2825,90704,2588,16332,2413,74372,3704,8011,677,3966,872,4045,843,88041,2566,77863,2586,4419,1756,73444,2594,10178,560,113,142,10065,532,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,326053,2888,151263,2003,136290,2110,17986,2068,118304,2993,14973,598,4619,803,10354,837,174790,1896,151236,1759,3863,1277,147373,2230,23554,768,201,185,23353,788,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1696806,10989,823610,7153,726249,7415,103640,5081,622609,8102,97361,1687,50632,2283,46729,2536,873196,6485,738946,6479,15856,2415,723090,7093,134250,1403,1832,642,132418,1551,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,149115,3459,79529,2703,72573,2716,17727,2334,54846,3045,6956,401,4119,658,2837,589,69586,2137,60800,2162,2153,903,58647,2254,8786,444,177,176,8609,483,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,261394,3654,121596,2186,109613,2182,8441,1533,101172,2068,11983,580,3631,793,8352,941,139798,2301,120627,2209,1395,918,119232,2528,19171,657,55,91,19116,667,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,139854,1802,64116,1013,56957,1009,10102,1553,46855,1698,7159,163,3367,617,3792,589,75738,1326,65246,1333,1788,829,63458,1599,10492,474,165,194,10327,513,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,242464,1337,106539,978,90456,954,9047,1446,81409,1698,16083,228,6925,820,9158,853,135925,954,108558,900,1636,584,106922,983,27367,268,301,251,27066,353,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2197688,13568,1028808,8021,918295,7636,105355,5693,812940,8864,110513,2214,28110,2288,82403,3032,1168880,7734,1010411,7467,20232,2767,990179,7792,158469,2700,619,325,157850,2751,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
